timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,24.8900,24.9300,24.8200,24.8650,24.8650,22881,0.0000,1.0000
2018-07-02,24.7500,24.9300,24.7500,24.8600,24.8600,51159,0.0000,1.0000
2018-06-29,24.7900,24.9400,24.7400,24.7400,24.7400,56286,0.0000,1.0000
2018-06-28,24.7000,24.7900,24.6400,24.7000,24.7000,45456,0.0000,1.0000
2018-06-27,24.8000,24.8000,24.6180,24.6300,24.6300,54749,0.0000,1.0000
2018-06-26,24.7500,24.7700,24.6900,24.7700,24.7700,31641,0.0000,1.0000
2018-06-25,24.7400,24.7800,24.6800,24.7200,24.7200,41207,0.0000,1.0000
2018-06-22,24.6900,24.7400,24.6600,24.7400,24.7400,26440,0.0000,1.0000
2018-06-21,24.7500,24.7600,24.6450,24.6900,24.6900,58557,0.0000,1.0000
2018-06-20,24.7500,24.7520,24.6200,24.7100,24.7100,44435,0.0000,1.0000
2018-06-19,24.7000,24.7899,24.7000,24.7000,24.7000,47586,0.0000,1.0000
2018-06-18,24.8500,24.8500,24.6300,24.6800,24.6800,39719,0.0000,1.0000
2018-06-15,24.8400,24.8700,24.7864,24.8200,24.8200,27900,0.0000,1.0000
2018-06-14,24.8400,24.8400,24.7355,24.7700,24.7700,48025,0.0000,1.0000
2018-06-13,24.6800,24.8100,24.6800,24.8100,24.8100,31648,0.0000,1.0000
2018-06-12,24.8600,24.8600,24.6000,24.7600,24.7600,219590,0.0000,1.0000
2018-06-11,24.8600,24.8600,24.7900,24.8200,24.8200,30741,0.0000,1.0000
2018-06-08,24.8100,24.8800,24.7610,24.7900,24.7900,23081,0.0000,1.0000
2018-06-07,24.9500,24.9500,24.7000,24.8700,24.8700,87346,0.0000,1.0000
2018-06-06,24.9700,24.9700,24.7000,24.7700,24.7700,263507,0.0000,1.0000
2018-06-05,24.9900,25.0800,24.9600,25.0500,25.0500,110612,0.0000,1.0000
2018-06-04,24.8900,25.0400,24.8644,25.0100,25.0100,106164,0.0000,1.0000
2018-06-01,24.6700,24.9600,24.6700,24.9600,24.9600,54125,0.0000,1.0000
2018-05-31,24.7700,24.7700,24.6100,24.7100,24.7100,39969,0.0000,1.0000
2018-05-30,24.7400,24.8000,24.6209,24.7100,24.7100,71287,0.0000,1.0000
2018-05-29,24.6600,24.7488,24.6100,24.7000,24.7000,38616,0.0000,1.0000
2018-05-25,24.7400,24.8032,24.6100,24.6400,24.6400,65988,0.0000,1.0000
2018-05-24,24.5600,24.7500,24.4900,24.7500,24.7500,50380,0.0000,1.0000
2018-05-23,24.4900,24.5300,24.4200,24.4600,24.4600,34843,0.0000,1.0000
2018-05-22,24.5300,24.5300,24.4500,24.4900,24.4900,26169,0.0000,1.0000
2018-05-21,24.5300,24.6469,24.4500,24.4500,24.4500,39973,0.0000,1.0000
2018-05-18,24.5000,24.6000,24.4920,24.5300,24.5300,59162,0.0000,1.0000
2018-05-17,24.5700,24.6000,24.4600,24.5000,24.5000,58745,0.0000,1.0000
2018-05-16,24.5500,24.6300,24.5100,24.6100,24.6100,64346,0.0000,1.0000
2018-05-15,24.5600,24.6300,24.4800,24.5600,24.5600,98832,0.0000,1.0000
2018-05-14,24.6200,24.6700,24.5700,24.6600,24.6600,55400,0.0000,1.0000
2018-05-11,24.5000,24.6500,24.3667,24.6500,24.6500,59473,0.0000,1.0000
2018-05-10,24.3800,24.5400,24.3380,24.5400,24.5400,63192,0.0000,1.0000
2018-05-09,24.3400,24.3900,24.2900,24.3800,24.3800,46672,0.0000,1.0000
2018-05-08,24.3400,24.4000,24.3000,24.3200,24.3200,58460,0.0000,1.0000
2018-05-07,24.3600,24.3600,24.2600,24.3200,24.3200,60329,0.0000,1.0000
2018-05-04,24.2200,24.3200,24.2100,24.3200,24.3200,51996,0.0000,1.0000
2018-05-03,24.2400,24.2900,24.2100,24.2400,24.2400,41807,0.0000,1.0000
2018-05-02,24.3600,24.3600,24.2000,24.2400,24.2400,180468,0.0000,1.0000
2018-05-01,24.3400,24.3500,24.2600,24.3300,24.3300,54843,0.0000,1.0000
2018-04-30,24.3300,24.3900,24.2100,24.3400,24.3400,45814,0.0000,1.0000
2018-04-27,24.2900,24.3496,24.1800,24.2700,24.2700,40614,0.0000,1.0000
2018-04-26,24.3100,24.3900,24.1800,24.2900,24.2900,48080,0.3300,1.0000
2018-04-25,24.5800,24.6300,24.4600,24.6000,24.2703,86498,0.0000,1.0000
2018-04-24,24.6300,24.6400,24.5000,24.6200,24.2900,44037,0.0000,1.0000
2018-04-23,24.6000,24.6600,24.6000,24.6350,24.3048,45965,0.0000,1.0000
2018-04-20,24.6800,24.7100,24.5300,24.5900,24.2604,47401,0.0000,1.0000
2018-04-19,24.6200,24.6800,24.5900,24.6600,24.3295,35549,0.0000,1.0000
2018-04-18,24.7300,24.7400,24.5800,24.5800,24.2505,47698,0.0000,1.0000
2018-04-17,24.7000,24.7300,24.6600,24.7300,24.3985,51629,0.0000,1.0000
2018-04-16,24.6900,24.7300,24.6100,24.6800,24.3492,79220,0.0000,1.0000
2018-04-13,24.5500,24.7000,24.5000,24.6800,24.3492,69556,0.0000,1.0000
2018-04-12,24.4500,24.5000,24.4500,24.5000,24.1716,71579,0.0000,1.0000
2018-04-11,24.3000,24.4200,24.2500,24.4200,24.0927,59667,0.0000,1.0000
2018-04-10,24.3900,24.4248,24.2200,24.2200,23.8954,87047,0.0000,1.0000
2018-04-09,24.3500,24.3700,24.3000,24.3300,24.0039,41854,0.0000,1.0000
2018-04-06,24.2900,24.3500,24.2500,24.3000,23.9743,31413,0.0000,1.0000
2018-04-05,24.2500,24.3000,24.2490,24.3000,23.9743,35883,0.0000,1.0000
2018-04-04,24.1900,24.2500,24.1900,24.2200,23.8954,31322,0.0000,1.0000
2018-04-03,24.3100,24.3200,24.2200,24.2400,23.9151,50067,0.0000,1.0000
2018-04-02,24.3400,24.3400,24.2600,24.2600,23.9348,42744,0.0000,1.0000
2018-03-29,24.3700,24.3700,24.2400,24.2400,23.9151,62699,0.0000,1.0000
2018-03-28,24.3500,24.3700,24.3000,24.3400,24.0138,47582,0.0000,1.0000
2018-03-27,24.3500,24.3500,24.2500,24.3500,24.0236,51307,0.0000,1.0000
2018-03-26,24.3200,24.3384,24.2400,24.3000,23.9743,88493,0.0000,1.0000
2018-03-23,24.3300,24.3400,24.2750,24.3200,23.9940,45570,0.0000,1.0000
2018-03-22,24.2700,24.3300,24.2500,24.2600,23.9348,68933,0.0000,1.0000
2018-03-21,24.3000,24.3000,24.2000,24.2400,23.9151,43352,0.0000,1.0000
2018-03-20,24.3200,24.3600,24.2500,24.2500,23.9250,68286,0.0000,1.0000
2018-03-19,24.4100,24.4100,24.2800,24.2800,23.9546,56579,0.0000,1.0000
2018-03-16,24.3800,24.4200,24.3201,24.4100,24.0828,81170,0.0000,1.0000
2018-03-15,24.4900,24.4900,24.2300,24.2900,23.9644,129609,0.0000,1.0000
2018-03-14,24.3600,24.4100,24.3300,24.4100,24.0828,78575,0.0000,1.0000
2018-03-13,24.2900,24.3500,24.2500,24.3300,24.0039,86283,0.0000,1.0000
2018-03-12,24.3500,24.3500,24.2000,24.2200,23.8954,87158,0.0000,1.0000
2018-03-09,24.3000,24.3800,24.2900,24.3000,23.9743,42416,0.0000,1.0000
2018-03-08,24.2700,24.3000,24.2500,24.2900,23.9644,99235,0.0000,1.0000
2018-03-07,24.2100,24.2400,24.1900,24.2300,23.9052,49442,0.0000,1.0000
2018-03-06,24.1900,24.2500,24.1700,24.1900,23.8658,178027,0.0000,1.0000
2018-03-05,24.1500,24.1500,24.0697,24.1400,23.8164,101538,0.0000,1.0000
2018-03-02,24.1700,24.2300,24.0501,24.1300,23.8066,154719,0.0000,1.0000
2018-03-01,24.1200,24.2500,24.1200,24.1400,23.8164,106034,0.0000,1.0000
2018-02-28,24.1000,24.1500,24.0476,24.1200,23.7967,96721,0.0000,1.0000
2018-02-27,24.0800,24.1899,24.0500,24.0500,23.7276,166636,0.0000,1.0000
2018-02-26,24.0400,24.1400,23.9276,23.9900,23.6684,142844,0.0000,1.0000
2018-02-23,24.0000,24.0200,23.8800,23.8900,23.5698,183189,0.0000,1.0000
2018-02-22,23.8600,23.9400,23.8500,23.8700,23.5501,65693,0.0000,1.0000
2018-02-21,23.9100,24.0700,23.8000,23.8200,23.5007,195666,0.0000,1.0000
2018-02-20,23.7500,23.9200,23.6800,23.8500,23.5303,60659,0.0000,1.0000
2018-02-16,23.8700,23.9573,23.7400,23.7400,23.4218,53956,0.0000,1.0000
2018-02-15,23.9300,24.0200,23.8200,23.8700,23.5501,250744,0.0000,1.0000
2018-02-14,23.9500,24.0300,23.8000,23.8000,23.4810,50630,0.0000,1.0000
2018-02-13,23.9100,23.9900,23.8200,23.9900,23.6684,76230,0.0000,1.0000
2018-02-12,23.8500,23.9300,23.7600,23.8200,23.5007,67608,0.0000,1.0000
2018-02-09,23.5000,23.7700,23.3700,23.7000,23.3823,117902,0.0000,1.0000
2018-02-08,23.4900,23.4900,23.3500,23.4000,23.0864,73351,0.0000,1.0000
2018-02-07,23.3700,23.5600,23.3250,23.4000,23.0864,739497,0.0000,1.0000
2018-02-06,23.2600,23.3400,23.0400,23.2500,22.9384,109827,0.0000,1.0000
2018-02-05,23.4500,23.4700,23.1509,23.2600,22.9482,84098,0.0000,1.0000
2018-02-02,23.5000,23.5700,23.2500,23.3700,23.0568,97471,0.0000,1.0000
2018-02-01,24.0300,24.1900,23.6100,23.6100,23.2935,112553,0.0000,1.0000
2018-01-31,23.8800,23.9850,23.7600,23.8800,23.5599,61573,0.0000,1.0000
2018-01-30,23.8300,24.1000,23.5800,23.6500,23.3330,77165,0.0000,1.0000
2018-01-29,24.1300,24.1300,23.7800,23.8300,23.5106,107747,0.0000,1.0000
2018-01-26,24.2800,24.3000,24.1400,24.1400,23.8164,92527,0.3281,1.0000
2018-01-25,24.6500,24.6500,24.3200,24.4900,23.8377,184699,0.0000,1.0000
