timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,25.6700,25.6700,25.6700,25.6700,25.6700,50,0.0000,1.0000
2018-07-02,25.7380,25.7503,25.6700,25.6700,25.6700,3336,0.0000,1.0000
2018-06-29,25.6700,25.6700,25.6700,25.6700,25.6700,100,0.0000,1.0000
2018-06-28,25.6800,25.7581,25.6800,25.7481,25.7481,500,0.0000,1.0000
2018-06-27,25.7100,25.7300,25.7100,25.7100,25.7100,2744,0.0000,1.0000
2018-06-26,25.6601,25.6601,25.6601,25.6601,25.6601,20,0.0000,1.0000
2018-06-25,25.6600,25.6600,25.6600,25.6600,25.6600,200,0.0000,1.0000
2018-06-22,25.6912,25.7051,25.6912,25.7051,25.7051,300,0.0000,1.0000
2018-06-21,25.7100,25.7100,25.6600,25.6600,25.6600,2200,0.0000,1.0000
2018-06-20,25.6560,25.6560,25.6560,25.6560,25.6560,400,0.0000,1.0000
2018-06-19,25.6000,25.7100,25.6000,25.7100,25.7100,670,0.0000,1.0000
2018-06-18,25.5721,25.5721,25.5200,25.5200,25.5200,900,0.0000,1.0000
2018-06-15,25.5711,25.7100,25.5210,25.6707,25.6707,4559,0.0000,1.0000
2018-06-14,25.6800,25.6800,25.6800,25.6800,25.6800,94,0.0000,1.0000
2018-06-13,25.5500,25.7100,25.5000,25.6800,25.6800,2285,0.0000,1.0000
2018-06-12,25.6600,25.6600,25.5500,25.5500,25.5500,2000,0.0000,1.0000
2018-06-11,25.6600,25.6601,25.6600,25.6600,25.6600,800,0.0000,1.0000
2018-06-08,25.7100,25.7300,25.5601,25.5625,25.5625,6629,0.0000,1.0000
2018-06-07,25.5700,25.7100,25.5601,25.7100,25.7100,9432,0.0000,1.0000
2018-06-06,25.5300,25.5700,25.5300,25.5700,25.5700,4550,0.0000,1.0000
2018-06-05,25.4690,25.5500,25.4690,25.5500,25.5500,2907,0.0000,1.0000
2018-06-04,25.3600,25.4055,25.3600,25.4055,25.4055,350,0.0000,1.0000
2018-06-01,25.5090,25.5090,25.4868,25.5000,25.5000,1050,0.0000,1.0000
2018-05-31,25.4700,25.5500,25.4400,25.5350,25.5350,16144,0.0000,1.0000
2018-05-30,25.3500,25.3500,25.3500,25.3500,25.3500,140,0.0000,1.0000
2018-05-29,25.4240,25.4900,25.2920,25.2920,25.2920,2300,0.0000,1.0000
2018-05-25,25.3994,25.4300,25.3994,25.4300,25.4300,2800,0.0000,1.0000
2018-05-24,25.4000,25.4000,25.3396,25.3396,25.3396,400,0.0000,1.0000
2018-05-23,25.4490,25.4490,25.3990,25.3990,25.3990,620,0.0000,1.0000
2018-05-22,25.4300,25.4300,25.2600,25.3900,25.3900,2536,0.0000,1.0000
2018-05-21,25.4300,25.4700,25.3600,25.4390,25.4390,9061,0.0000,1.0000
2018-05-18,25.3600,25.3618,25.3500,25.3501,25.3501,850,0.0000,1.0000
2018-05-17,25.2500,25.4899,25.2500,25.2948,25.2948,8364,0.0000,1.0000
2018-05-16,25.2700,25.4899,25.1500,25.2816,25.2816,5554,0.0000,1.0000
