timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,2.1000,2.1400,2.0000,2.0000,2.0000,24969,0.0000,1.0000
2018-07-02,2.2500,2.2500,2.1500,2.1500,2.1500,12874,0.0000,1.0000
2018-06-29,2.3000,2.3000,2.2500,2.2500,2.2500,2120,0.0000,1.0000
2018-06-28,2.3000,2.3000,2.2500,2.3000,2.3000,4297,0.0000,1.0000
2018-06-27,2.2000,2.3000,2.2000,2.2750,2.2750,26781,0.0000,1.0000
2018-06-26,2.2000,2.2000,2.1665,2.2000,2.2000,842,0.0000,1.0000
2018-06-25,2.2000,2.2000,2.1500,2.2000,2.2000,5063,0.0000,1.0000
2018-06-22,2.2000,2.2000,2.1708,2.2000,2.2000,25453,0.0000,1.0000
2018-06-21,2.2000,2.2000,2.1600,2.2000,2.2000,2425,0.0000,1.0000
2018-06-20,2.2000,2.2000,2.1550,2.1685,2.1685,3249,0.0000,1.0000
2018-06-19,2.2000,2.2000,2.1500,2.1500,2.1500,4692,0.0000,1.0000
2018-06-18,2.2000,2.2000,2.1500,2.2000,2.2000,2873,0.0000,1.0000
2018-06-15,2.1500,2.2000,2.1000,2.2000,2.2000,32808,0.0000,1.0000
2018-06-14,2.2000,2.2000,2.1000,2.1000,2.1000,5350,0.0000,1.0000
2018-06-13,2.1500,2.2000,2.1000,2.1500,2.1500,9552,0.0000,1.0000
2018-06-12,2.1500,2.2000,2.1000,2.1500,2.1500,13300,0.0000,1.0000
2018-06-11,2.1000,2.1500,2.1000,2.1500,2.1500,5759,0.0000,1.0000
2018-06-08,2.1500,2.1500,2.1000,2.1000,2.1000,7786,0.0000,1.0000
2018-06-07,2.1000,2.1500,2.1000,2.1500,2.1500,4500,0.0000,1.0000
2018-06-06,2.1000,2.1500,2.1000,2.1000,2.1000,21469,0.0000,1.0000
2018-06-05,2.0500,2.1000,2.0500,2.1000,2.1000,5808,0.0000,1.0000
2018-06-04,2.1000,2.1000,2.0500,2.0500,2.0500,7900,0.0000,1.0000
2018-06-01,2.1000,2.1000,2.0500,2.1000,2.1000,15257,0.0000,1.0000
2018-05-31,2.0500,2.1000,2.0500,2.1000,2.1000,879,0.0000,1.0000
2018-05-30,2.0500,2.1000,2.0500,2.0500,2.0500,10334,0.0000,1.0000
2018-05-29,2.0500,2.0500,2.0250,2.0500,2.0500,5847,0.0000,1.0000
2018-05-25,2.0500,2.0662,2.0000,2.0500,2.0500,14541,0.0000,1.0000
2018-05-24,2.0000,2.0500,1.9550,2.0000,2.0000,16019,0.0000,1.0000
2018-05-23,2.1290,2.1290,1.8950,2.0000,2.0000,97567,0.0000,1.0000
2018-05-22,2.1500,2.1900,2.0500,2.1000,2.1000,11390,0.0000,1.0000
2018-05-21,2.0500,2.1500,2.0500,2.1000,2.1000,10267,0.0000,1.0000
2018-05-18,2.1000,2.1000,2.0500,2.0500,2.0500,5721,0.0000,1.0000
2018-05-17,2.1000,2.1000,2.0500,2.1000,2.1000,4709,0.0000,1.0000
2018-05-16,2.1000,2.1000,2.0500,2.0500,2.0500,10941,0.0000,1.0000
2018-05-15,2.0500,2.1000,2.0500,2.0500,2.0500,4414,0.0000,1.0000
2018-05-14,2.0500,2.0750,2.0500,2.0750,2.0750,1728,0.0000,1.0000
2018-05-11,2.1000,2.1000,2.0500,2.0500,2.0500,4751,0.0000,1.0000
2018-05-10,2.1000,2.1450,2.0500,2.0500,2.0500,6083,0.0000,1.0000
2018-05-09,2.0500,2.0905,2.0500,2.0500,2.0500,4851,0.0000,1.0000
2018-05-08,2.0500,2.1000,2.0500,2.1000,2.1000,1441,0.0000,1.0000
2018-05-07,2.0100,2.0840,2.0100,2.0750,2.0750,1228,0.0000,1.0000
2018-05-04,2.0500,2.1500,2.0500,2.1000,2.1000,3701,0.0000,1.0000
2018-05-03,2.1000,2.1100,2.0133,2.0500,2.0500,9512,0.0000,1.0000
2018-05-02,2.1000,2.1000,2.0550,2.1000,2.1000,6902,0.0000,1.0000
2018-05-01,2.0000,2.0900,2.0000,2.0500,2.0500,10850,0.0000,1.0000
2018-04-30,2.1000,2.1000,2.0500,2.0500,2.0500,11186,0.0000,1.0000
2018-04-27,2.1500,2.1500,2.1000,2.1000,2.1000,1290,0.0000,1.0000
2018-04-26,2.0830,2.1500,2.0750,2.1000,2.1000,18050,0.0000,1.0000
2018-04-25,2.0500,2.1000,2.0500,2.0500,2.0500,1388,0.0000,1.0000
2018-04-24,2.0900,2.0900,2.0500,2.0500,2.0500,3839,0.0000,1.0000
2018-04-23,2.1000,2.1500,2.0550,2.1000,2.1000,8238,0.0000,1.0000
2018-04-20,2.0500,2.0500,2.0500,2.0500,2.0500,248,0.0000,1.0000
2018-04-19,2.0500,2.0500,2.0050,2.0050,2.0050,794,0.0000,1.0000
2018-04-18,2.1000,2.1000,2.0000,2.0000,2.0000,1228,0.0000,1.0000
2018-04-17,2.0500,2.0500,2.0500,2.0500,2.0500,878,0.0000,1.0000
2018-04-16,2.0500,2.0500,2.0000,2.0000,2.0000,8528,0.0000,1.0000
2018-04-13,2.0000,2.0214,1.9723,2.0000,2.0000,1737,0.0000,1.0000
2018-04-12,2.0000,2.0000,1.9594,2.0000,2.0000,21241,0.0000,1.0000
2018-04-11,2.0500,2.0641,2.0000,2.0000,2.0000,17961,0.0000,1.0000
2018-04-10,2.1000,2.1290,2.0500,2.1000,2.1000,13191,0.0000,1.0000
2018-04-09,2.0500,2.1300,2.0500,2.0500,2.0500,1383,0.0000,1.0000
2018-04-06,2.1000,2.1500,2.0500,2.0500,2.0500,7658,0.0000,1.0000
2018-04-05,2.1000,2.1500,2.1000,2.1000,2.1000,5193,0.0000,1.0000
2018-04-04,2.1000,2.1295,2.0500,2.0500,2.0500,3913,0.0000,1.0000
2018-04-03,2.1000,2.1500,2.0500,2.0500,2.0500,2834,0.0000,1.0000
2018-04-02,2.0500,2.1500,2.0500,2.1050,2.1050,15598,0.0000,1.0000
2018-03-29,2.1000,2.1500,2.1000,2.1000,2.1000,10359,0.0000,1.0000
2018-03-28,2.1000,2.1400,2.0500,2.1000,2.1000,19145,0.0000,1.0000
2018-03-27,2.1500,2.1500,2.0641,2.1000,2.1000,1088,0.0000,1.0000
2018-03-26,2.1000,2.1500,2.0500,2.0500,2.0500,3716,0.0000,1.0000
2018-03-23,2.1000,2.1338,2.0500,2.1000,2.1000,5783,0.0000,1.0000
2018-03-22,2.1000,2.1000,2.0500,2.0500,2.0500,7173,0.0000,1.0000
2018-03-21,2.1000,2.1000,2.0500,2.1000,2.1000,34524,0.0000,1.0000
2018-03-20,2.1000,2.1000,2.1000,2.1000,2.1000,9704,0.0000,1.0000
2018-03-19,2.0500,2.1000,2.0500,2.1000,2.1000,4426,0.0000,1.0000
2018-03-16,2.0500,2.0500,2.0000,2.0500,2.0500,4438,0.0000,1.0000
2018-03-15,2.1000,2.1000,2.0400,2.0500,2.0500,10971,0.0000,1.0000
2018-03-14,2.1500,2.1500,2.0500,2.0950,2.0950,51967,0.0000,1.0000
2018-03-13,2.1000,2.2000,2.0500,2.1000,2.1000,17254,0.0000,1.0000
2018-03-12,2.1000,2.1250,2.1000,2.1000,2.1000,4318,0.0000,1.0000
2018-03-09,2.1000,2.1433,2.0859,2.1000,2.1000,5701,0.0000,1.0000
2018-03-08,2.1000,2.1500,2.1000,2.1000,2.1000,5115,0.0000,1.0000
2018-03-07,2.0500,2.1500,2.0500,2.0500,2.0500,6837,0.0000,1.0000
2018-03-06,2.1500,2.2000,2.0500,2.0500,2.0500,41581,0.0000,1.0000
2018-03-05,2.1000,2.1500,2.1000,2.1500,2.1500,2183,0.0000,1.0000
2018-03-02,2.1000,2.1000,2.0550,2.1000,2.1000,6859,0.0000,1.0000
2018-03-01,2.0500,2.1000,2.0500,2.1000,2.1000,1542,0.0000,1.0000
2018-02-28,2.1000,2.1000,2.0500,2.1000,2.1000,7300,0.0000,1.0000
2018-02-27,2.1000,2.1050,2.1000,2.1000,2.1000,4464,0.0000,1.0000
2018-02-26,2.0500,2.1500,2.0500,2.1050,2.1050,23068,0.0000,1.0000
2018-02-23,2.0500,2.1000,2.0500,2.0500,2.0500,1329,0.0000,1.0000
2018-02-22,2.1000,2.1000,2.0000,2.0500,2.0500,16983,0.0000,1.0000
2018-02-21,2.1000,2.1000,2.0500,2.1000,2.1000,32948,0.0000,1.0000
2018-02-20,2.0000,2.0500,2.0000,2.0500,2.0500,6574,0.0000,1.0000
2018-02-16,2.0500,2.1000,2.0000,2.0000,2.0000,10060,0.0000,1.0000
2018-02-15,2.0000,2.0500,2.0000,2.0500,2.0500,7564,0.0000,1.0000
2018-02-14,2.0160,2.0500,1.9750,2.0500,2.0500,4967,0.0000,1.0000
2018-02-13,2.0000,2.0000,1.9500,1.9750,1.9750,10309,0.0000,1.0000
2018-02-12,2.0000,2.0000,1.9500,2.0000,2.0000,14192,0.0000,1.0000
2018-02-09,1.8500,1.9000,1.8000,1.8750,1.8750,31881,0.0000,1.0000
2018-02-08,1.9500,1.9500,1.8000,1.8000,1.8000,75156,0.0000,1.0000
2018-02-07,2.0000,2.0450,1.9500,1.9500,1.9500,8935,0.0000,1.0000
