timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,37.5200,37.9400,37.5200,37.6800,37.6800,153762,0.0000,1.0000
2018-07-02,36.8700,36.9400,36.5300,36.6700,36.6700,236514,0.0000,1.0000
2018-06-29,37.1700,37.3700,37.0100,37.1200,37.1200,102405,0.0000,1.0000
2018-06-28,36.6200,36.9400,36.5500,36.7900,36.7900,129468,0.0000,1.0000
2018-06-27,36.9600,37.1000,36.4900,36.5900,36.5900,599188,0.0000,1.0000
2018-06-26,36.0900,36.1400,35.7100,36.0900,36.0900,185081,0.0000,1.0000
2018-06-25,36.2300,36.2700,35.6400,35.7500,35.7500,183864,0.0000,1.0000
2018-06-22,36.2800,36.5500,36.0900,36.4000,36.4000,172218,0.0000,1.0000
2018-06-21,35.3000,35.3100,35.0270,35.1200,35.1200,212783,0.0000,1.0000
2018-06-20,36.1600,36.1600,35.7626,35.9500,35.9500,283145,0.0000,1.0000
2018-06-19,35.5900,36.1800,35.4600,36.1200,36.1200,459736,0.0000,1.0000
2018-06-18,35.6600,36.0900,35.6400,35.9400,35.9400,185975,0.0000,1.0000
2018-06-15,36.5400,36.5400,35.8600,35.9700,35.9700,261245,0.0000,1.0000
2018-06-14,36.6200,36.9400,36.4100,36.6100,36.6100,228245,0.0000,1.0000
2018-06-13,36.5900,36.7000,36.3710,36.5200,36.5200,129190,0.0000,1.0000
2018-06-12,37.2000,37.2700,36.5900,36.6300,36.6300,227262,0.0000,1.0000
2018-06-11,36.5200,37.0600,36.4800,36.8800,36.8800,256386,0.0000,1.0000
2018-06-08,36.3500,36.4300,35.7500,36.0000,36.0000,384140,0.0000,1.0000
2018-06-07,36.7700,37.1500,36.6200,36.7100,36.7100,148133,0.0000,1.0000
2018-06-06,36.0700,36.5700,36.0600,36.5500,36.5500,193016,0.0000,1.0000
2018-06-05,35.9500,36.2600,35.8900,36.0900,36.0900,127572,0.0000,1.0000
2018-06-04,36.6800,36.7900,36.2600,36.3600,36.3600,102519,0.0000,1.0000
2018-06-01,36.7300,36.8000,36.3285,36.5900,36.5900,181442,0.0000,1.0000
2018-05-31,35.9800,36.5900,35.9000,36.4600,36.4600,346622,0.0000,1.0000
2018-05-30,35.6100,36.2200,35.2700,36.1800,36.1800,394137,0.0000,1.0000
2018-05-29,34.9500,35.4400,34.5800,34.7400,34.7400,894135,0.0000,1.0000
2018-05-25,36.1400,36.1400,35.6700,35.8800,35.8800,158223,0.0000,1.0000
2018-05-24,37.2100,37.2300,36.8500,36.9900,36.9900,177084,0.0000,1.0000
2018-05-23,37.3100,37.4000,37.0380,37.3100,37.3100,223727,0.0000,1.0000
2018-05-22,37.6800,38.1000,37.5850,37.6900,37.6900,215414,0.0000,1.0000
2018-05-21,37.8700,37.9600,37.4552,37.8600,37.8600,290749,0.6444,1.0000
2018-05-18,39.1100,39.1400,38.7700,38.8600,38.2096,219597,0.0000,1.0000
2018-05-17,39.3100,39.3500,39.0000,39.0800,38.4259,742446,0.0000,1.0000
2018-05-16,38.8900,39.1400,38.6600,39.0200,38.3669,424534,0.0000,1.0000
2018-05-15,39.7700,40.1200,39.4900,39.8900,39.2224,614031,0.0000,1.0000
2018-05-14,39.6100,40.1500,39.5660,40.0900,39.4190,646573,0.0000,1.0000
2018-05-11,39.1900,39.3900,39.1600,39.3700,38.7111,250376,0.0000,1.0000
2018-05-10,39.1600,39.3500,38.8000,39.3200,38.6619,698541,0.0000,1.0000
2018-05-09,39.4400,39.7000,39.4259,39.6600,38.9962,504165,0.0000,1.0000
2018-05-08,38.9600,39.0100,38.3700,39.0000,38.3473,276949,0.0000,1.0000
2018-05-07,39.2200,39.8300,39.1900,39.4300,38.7701,266423,0.0000,1.0000
2018-05-04,38.6200,39.2300,38.5800,39.1900,38.5341,253176,0.0000,1.0000
2018-05-03,38.9100,38.9500,38.5696,38.9200,38.2686,186785,0.0000,1.0000
2018-05-02,39.0900,39.3100,38.9200,39.0400,38.3866,151423,0.0000,1.0000
2018-05-01,39.0300,39.0400,38.6200,38.7700,38.1211,223643,0.0000,1.0000
2018-04-30,38.7400,39.3100,38.7208,39.1700,38.5144,172102,0.0000,1.0000
2018-04-27,38.8800,39.2900,38.6300,39.1100,38.4554,179499,0.0000,1.0000
2018-04-26,39.1900,39.4200,38.9300,39.3100,38.6521,237132,0.0000,1.0000
2018-04-25,38.6900,38.8600,38.3400,38.8000,38.1506,123737,0.0000,1.0000
2018-04-24,39.3400,39.4800,38.8400,38.9100,38.2588,132725,0.0000,1.0000
2018-04-23,39.0700,39.3600,38.8800,39.2900,38.6324,103717,0.0000,1.0000
2018-04-20,39.1800,39.2500,38.8300,39.1000,38.4456,122007,0.0000,1.0000
2018-04-19,39.3400,39.5700,39.3400,39.4000,38.7406,199249,0.0000,1.0000
2018-04-18,38.8800,39.2500,38.8500,39.1800,38.5243,232987,0.0000,1.0000
2018-04-17,38.5300,38.7300,38.4700,38.6200,37.9736,399648,0.0000,1.0000
2018-04-16,38.3500,38.3900,38.2000,38.3000,37.6590,688013,0.0000,1.0000
2018-04-13,37.9800,38.1300,37.8600,38.1200,37.4820,622013,0.0000,1.0000
2018-04-12,37.9600,38.0000,37.7000,37.7700,37.1379,293699,0.0000,1.0000
2018-04-11,37.8100,37.9400,37.6700,37.7400,37.1084,147392,0.0000,1.0000
2018-04-10,37.1900,37.5400,37.1800,37.4800,36.8527,104723,0.0000,1.0000
2018-04-09,36.9100,37.1325,36.7800,36.9100,36.2923,124235,0.0000,1.0000
2018-04-06,36.6200,36.7500,36.3200,36.4700,35.8596,138183,0.0000,1.0000
2018-04-05,36.2900,36.6000,36.2200,36.4900,35.8793,155815,0.0000,1.0000
2018-04-04,35.6200,36.0600,35.6200,36.0200,35.4171,170705,0.0000,1.0000
2018-04-03,35.5400,35.7800,35.3400,35.7600,35.1615,144873,0.0000,1.0000
2018-04-02,35.2100,35.3200,34.5000,34.7800,34.1979,144775,0.0000,1.0000
2018-03-29,35.3000,35.4300,35.1300,35.3300,34.7387,143309,0.0000,1.0000
2018-03-28,34.8900,35.0300,34.7000,34.8200,34.2372,274842,0.0000,1.0000
2018-03-27,35.4000,35.4500,35.0400,35.1500,34.5617,303141,0.0000,1.0000
2018-03-26,35.3700,35.4500,34.8500,35.3300,34.7387,137551,0.0000,1.0000
