timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,141.0200,141.7300,139.7600,139.9700,139.9700,441735,0.0000,1.0000
2018-07-02,139.7500,140.3300,138.6500,140.2400,140.2400,950279,0.0000,1.0000
2018-06-29,140.4300,141.6700,140.2800,140.3300,140.3300,1405166,0.0000,1.0000
2018-06-28,138.5400,140.3575,138.5400,140.0800,140.0800,1057211,0.0000,1.0000
2018-06-27,139.1200,140.3500,138.3200,138.3300,138.3300,1825322,0.0000,1.0000
2018-06-26,139.0900,140.0500,138.3300,138.4200,138.4200,1178104,0.0000,1.0000
2018-06-25,139.0000,139.8400,137.6200,138.4200,138.4200,1128522,0.0000,1.0000
2018-06-22,139.6500,140.7200,137.5950,138.8700,138.8700,3188207,0.0000,1.0000
2018-06-21,143.3100,143.8300,141.0000,141.5600,141.5600,1134061,0.0000,1.0000
2018-06-20,144.6000,145.1500,143.4675,143.6500,143.6500,716876,0.0000,1.0000
2018-06-19,143.7700,145.1700,143.1350,144.5900,144.5900,1416905,0.0000,1.0000
2018-06-18,145.2300,145.8200,144.2700,144.9300,144.9300,746364,0.4100,1.0000
2018-06-15,145.5600,146.5950,144.0200,146.5700,146.1565,2301749,0.0000,1.0000
2018-06-14,145.3100,145.6800,144.4200,145.4000,144.9898,785539,0.0000,1.0000
2018-06-13,145.0000,145.9000,144.2700,144.7100,144.3018,657189,0.0000,1.0000
2018-06-12,145.8700,146.4100,144.7800,145.0500,144.6408,867967,0.0000,1.0000
2018-06-11,145.8500,146.4600,145.2500,145.3000,144.8901,1015857,0.0000,1.0000
2018-06-08,145.8700,146.7400,145.4235,146.1900,145.7776,743639,0.0000,1.0000
2018-06-07,146.5300,146.9800,145.1900,145.8700,145.4585,833990,0.0000,1.0000
2018-06-06,144.9800,146.6800,143.9600,146.5800,146.1665,1509836,0.0000,1.0000
2018-06-05,144.0100,144.8550,144.0100,144.6100,144.2021,1115233,0.0000,1.0000
2018-06-04,144.2800,144.6500,143.9600,144.2600,143.8530,573888,0.0000,1.0000
2018-06-01,143.5600,144.0100,143.2900,143.6000,143.1949,766650,0.0000,1.0000
2018-05-31,144.0000,144.3200,142.2700,142.6100,142.2077,1042689,0.0000,1.0000
2018-05-30,142.4800,144.6400,142.4375,144.0300,143.6237,1057328,0.0000,1.0000
2018-05-29,143.6800,144.1700,141.5900,141.7500,141.3501,1613386,0.0000,1.0000
2018-05-25,145.0300,145.6300,144.2100,144.7100,144.3018,932211,0.0000,1.0000
2018-05-24,145.5200,146.2500,145.2736,145.4700,145.0596,913040,0.0000,1.0000
2018-05-23,145.4900,146.2400,144.9900,145.6300,145.2192,1016155,0.0000,1.0000
2018-05-22,148.3000,148.4400,146.3800,146.5100,146.0967,911448,0.0000,1.0000
2018-05-21,148.2800,148.6400,147.5700,148.0000,147.5825,711324,0.0000,1.0000
2018-05-18,146.8900,148.1800,146.8900,147.8300,147.4130,1020732,0.0000,1.0000
2018-05-17,147.4300,148.2300,146.8400,147.0700,146.6551,940648,0.0000,1.0000
2018-05-16,146.7000,148.4100,146.3200,147.7100,147.2933,1101347,0.0000,1.0000
2018-05-15,146.0500,146.3000,145.5400,146.2100,145.7975,1208887,0.0000,1.0000
2018-05-14,147.4400,147.7500,145.9200,146.2900,145.8773,1364532,0.0000,1.0000
2018-05-11,147.6600,147.8600,146.8500,147.1500,146.7349,730942,0.0000,1.0000
2018-05-10,147.4700,148.0000,146.8960,147.6600,147.2435,779610,0.0000,1.0000
2018-05-09,145.9300,147.3100,145.2300,146.9800,146.5654,1397185,0.0000,1.0000
2018-05-08,145.6700,146.4600,145.0600,145.4900,145.0796,1125965,0.0000,1.0000
2018-05-07,145.9300,146.6150,145.3650,145.7900,145.3787,999715,0.0000,1.0000
2018-05-04,143.7400,146.4500,143.2000,145.3900,144.9799,949904,0.0000,1.0000
2018-05-03,143.4100,145.1100,142.9200,144.1800,143.7733,1432074,0.0000,1.0000
2018-05-02,145.5800,146.8500,143.7300,144.2400,143.8331,1641513,0.0000,1.0000
2018-05-01,136.0000,147.4800,136.0000,147.1300,146.7150,1998444,0.0000,1.0000
2018-04-30,147.3800,147.9900,144.4200,144.7700,144.3616,2107748,0.0000,1.0000
2018-04-27,145.9300,147.0900,144.6500,146.7100,146.2961,1196853,0.0000,1.0000
2018-04-26,145.7800,146.8200,144.8200,146.1800,145.7676,1021377,0.0000,1.0000
2018-04-25,146.0300,146.0300,143.7400,145.1700,144.7605,1830411,0.0000,1.0000
2018-04-24,149.4000,149.6400,144.8900,146.2500,145.8374,1538401,0.0000,1.0000
2018-04-23,148.2200,149.6199,148.2200,149.1500,148.7293,1334310,0.0000,1.0000
2018-04-20,148.7800,149.1700,147.6100,148.5500,148.1309,1160731,0.0000,1.0000
2018-04-19,149.9800,149.9800,148.4900,148.9800,148.5597,1129009,0.0000,1.0000
2018-04-18,148.4100,150.4600,147.8600,149.8400,149.4173,1416133,0.0000,1.0000
2018-04-17,147.7800,148.5100,145.9000,148.0700,147.6523,1550869,0.0000,1.0000
2018-04-16,142.3100,147.0500,141.2900,146.9600,146.5454,3491096,0.0000,1.0000
2018-04-13,142.1000,142.1250,140.8150,141.1800,140.7817,847875,0.0000,1.0000
2018-04-12,141.2700,142.0700,140.7000,141.3800,140.9812,921725,0.0000,1.0000
2018-04-11,140.6700,141.1435,139.8500,140.6500,140.2532,1047065,0.0000,1.0000
2018-04-10,141.4500,142.6400,140.5800,141.6400,141.2404,1323276,0.0000,1.0000
2018-04-09,140.6300,141.9100,139.9200,140.2500,139.8544,1470637,0.0000,1.0000
2018-04-06,140.5200,141.9900,139.0000,139.7800,139.3857,1791781,0.0000,1.0000
2018-04-05,139.5800,141.8700,139.1200,141.2500,140.8515,1666084,0.0000,1.0000
2018-04-04,135.2800,139.0200,134.8900,138.8700,138.4783,1525604,0.0000,1.0000
2018-04-03,134.6600,137.4200,133.9800,136.9000,136.5138,1611019,0.0000,1.0000
2018-04-02,136.7100,137.0000,132.7900,133.9700,133.5921,1112024,0.0000,1.0000
2018-03-29,135.9300,137.9300,134.9400,137.0700,136.6833,1319154,0.0000,1.0000
2018-03-28,135.5400,136.7100,134.9600,135.3100,134.9283,1224448,0.0000,1.0000
2018-03-27,134.9200,137.0200,134.1900,134.9800,134.5992,1397095,0.0000,1.0000
2018-03-26,133.6100,134.8500,132.6200,134.7400,134.3599,1121684,0.0000,1.0000
2018-03-23,134.5500,135.1400,132.2500,132.2500,131.8769,1281063,0.0000,1.0000
2018-03-22,135.5000,136.3000,133.9300,134.1200,133.7417,1080602,0.0000,1.0000
2018-03-21,136.6200,137.8200,136.1300,136.4200,136.0352,922072,0.0000,1.0000
2018-03-20,136.4800,137.0100,135.3800,136.6300,136.2446,1131116,0.0000,1.0000
2018-03-19,137.3900,138.0900,136.0500,136.4800,136.0950,1298328,0.4100,1.0000
2018-03-16,136.8400,138.4400,136.6950,138.0800,137.2781,1825923,0.0000,1.0000
2018-03-15,136.3900,136.9200,135.9200,136.7000,135.9061,1255664,0.0000,1.0000
2018-03-14,137.3700,137.7300,136.0500,136.3100,135.5184,1535182,0.0000,1.0000
2018-03-13,137.0700,137.5100,136.0011,136.8300,136.0353,1396000,0.0000,1.0000
2018-03-12,135.0000,137.2200,134.7300,136.7800,135.9856,1445831,0.0000,1.0000
2018-03-09,133.9400,134.9500,133.7500,134.9100,134.1265,2129275,0.0000,1.0000
2018-03-08,133.1900,134.4100,132.8000,134.3400,133.5598,1818480,0.0000,1.0000
2018-03-07,130.1500,133.1900,129.9000,132.8000,132.0287,1999950,0.0000,1.0000
2018-03-06,130.2900,131.6400,129.3600,131.0100,130.2491,933913,0.0000,1.0000
2018-03-05,127.3000,130.4000,127.3000,129.9500,129.1953,1186629,0.0000,1.0000
2018-03-02,128.2200,129.0600,127.2300,127.8600,127.1174,1204626,0.0000,1.0000
2018-03-01,129.9000,131.0550,128.0800,128.7100,127.9625,1309326,0.0000,1.0000
2018-02-28,131.4500,132.0500,130.4400,130.4500,129.6924,1237640,0.0000,1.0000
2018-02-27,132.0000,132.4200,131.0600,131.0900,130.3287,903719,0.0000,1.0000
2018-02-26,131.2300,132.2100,130.8500,131.9900,131.2235,1093060,0.0000,1.0000
2018-02-23,130.1900,130.9600,129.3200,130.8400,130.0801,1511966,0.0000,1.0000
2018-02-22,130.5200,131.3700,129.1400,129.4500,128.6982,1328077,0.0000,1.0000
2018-02-21,132.0800,132.5300,129.8300,129.9000,129.1456,1589195,0.0000,1.0000
2018-02-20,131.4900,133.4400,130.1400,131.7200,130.9550,1380545,0.0000,1.0000
2018-02-16,131.2200,132.9100,130.9500,131.4900,130.7264,1284283,0.0000,1.0000
2018-02-15,130.6800,131.7700,130.3300,131.7700,131.0047,1444633,0.0000,1.0000
2018-02-14,128.4800,130.4100,128.1000,129.8000,129.0462,1336601,0.0000,1.0000
2018-02-13,129.0900,129.9650,127.1900,129.3400,128.5888,1370193,0.0000,1.0000
2018-02-12,129.2400,131.0300,129.0100,130.1600,129.4041,1378768,0.0000,1.0000
2018-02-09,128.8800,129.8040,125.7400,128.5200,127.7736,2205136,0.0000,1.0000
2018-02-08,133.2300,133.6400,127.6600,127.7600,127.0180,2053309,0.0000,1.0000
2018-02-07,130.9400,135.4300,130.9400,133.1200,132.3469,2026353,0.0000,1.0000
2018-02-06,130.4000,132.7700,128.6350,131.7400,130.9749,2818900,0.0000,1.0000
2018-02-05,136.6200,138.1000,132.0500,132.0500,131.2831,1820599,0.0000,1.0000
2018-02-02,137.7300,139.3000,136.9100,137.0600,136.2640,1620855,0.0000,1.0000
2018-02-01,137.3000,138.7300,137.0000,138.4900,137.6857,1551643,0.0000,1.0000
2018-01-31,137.8900,138.5800,137.1750,137.6800,136.8804,1686974,0.0000,1.0000
2018-01-30,137.0800,138.2500,137.0800,137.5800,136.7810,1009859,0.0000,1.0000
2018-01-29,137.5400,138.3100,136.9700,137.5000,136.7015,1084992,0.0000,1.0000
2018-01-26,138.6800,138.9700,137.6700,138.1500,137.3477,1161734,0.0000,1.0000
2018-01-25,137.9800,138.7800,137.2600,138.3200,137.5167,1296406,0.0000,1.0000
2018-01-24,137.7600,138.2400,136.6000,137.3100,136.5126,1995227,0.0000,1.0000
2018-01-23,140.5000,140.5000,136.4100,137.7600,136.9599,2378296,0.0000,1.0000
2018-01-22,139.7900,140.4300,139.3150,140.3400,139.5250,1529502,0.0000,1.0000
2018-01-19,139.2200,139.9700,138.3700,139.7500,138.9384,1064643,0.0000,1.0000
2018-01-18,137.2800,139.0700,137.1500,138.3500,137.5465,879400,0.0000,1.0000
2018-01-17,137.7600,137.8300,136.2500,137.4300,136.6319,1131714,0.0000,1.0000
2018-01-16,138.4100,138.6800,136.6109,137.0200,136.2242,1133658,0.0000,1.0000
2018-01-12,137.4500,138.1200,137.0301,137.6800,136.8804,1266995,0.0000,1.0000
2018-01-11,135.2800,137.0600,135.1100,137.0300,136.2342,1563352,0.0000,1.0000
2018-01-10,136.5200,136.5200,134.6300,135.1200,134.3353,846519,0.0000,1.0000
2018-01-09,136.6200,137.4100,136.3700,136.6600,135.8663,887439,0.0000,1.0000
2018-01-08,136.6400,137.0000,136.0450,136.7000,135.9061,1099850,0.0000,1.0000
2018-01-05,135.9000,137.2700,135.2000,137.1800,136.3833,1047694,0.0000,1.0000
2018-01-04,135.7200,136.8200,135.5500,136.4700,135.6774,722319,0.0000,1.0000
2018-01-03,134.7300,135.4900,134.0000,135.3700,134.5838,762235,0.0000,1.0000
2018-01-02,134.2000,134.8000,133.4136,134.5000,133.7189,940746,0.0000,1.0000
2017-12-29,135.0300,135.5100,134.1800,134.1800,133.4007,611072,0.0000,1.0000
2017-12-28,134.5200,134.6200,133.8100,134.5300,133.7487,861235,0.0000,1.0000
2017-12-27,133.9900,134.5600,133.5600,134.1000,133.3212,702621,0.0000,1.0000
2017-12-26,133.9900,134.2500,133.5204,133.7000,132.9235,324320,0.0000,1.0000
2017-12-22,133.6400,134.1900,133.2200,133.9700,133.1920,655617,0.0000,1.0000
2017-12-21,134.4150,134.8800,133.4100,133.5100,132.7346,1563199,0.0000,1.0000
2017-12-20,135.7000,135.7900,134.0200,134.0800,133.3013,1238059,0.0000,1.0000
2017-12-19,136.1500,136.2600,134.8400,135.0900,134.3054,867254,0.0000,1.0000
2017-12-18,135.4600,136.2995,135.1850,135.8400,135.0511,1475715,0.4100,1.0000
2017-12-15,134.7100,135.4900,134.2900,135.1900,134.0004,1388445,0.0000,1.0000
2017-12-14,134.9100,135.4700,134.3500,134.3700,133.1876,977825,0.0000,1.0000
2017-12-13,135.0100,135.7400,134.5500,135.0000,133.8121,784381,0.0000,1.0000
2017-12-12,134.7000,134.9000,133.7600,134.8500,133.6634,1143601,0.0000,1.0000
2017-12-11,135.8000,136.0000,134.4600,134.6700,133.4850,1485550,0.0000,1.0000
2017-12-08,136.5800,136.5800,135.0800,135.3300,134.1392,857333,0.0000,1.0000
2017-12-07,136.5200,137.0300,135.5400,135.9200,134.7240,937790,0.0000,1.0000
2017-12-06,137.2900,137.5600,136.6150,136.8800,135.6755,1018117,0.0000,1.0000
2017-12-05,137.4300,137.9550,137.1000,137.4200,136.2108,1154370,0.0000,1.0000
2017-12-04,135.4800,137.7900,135.0701,137.2600,136.0522,1509106,0.0000,1.0000
2017-12-01,136.4500,136.6200,133.9610,134.8900,133.7031,1019216,0.0000,1.0000
2017-11-30,135.2300,136.7800,135.1500,135.9200,134.7240,1453220,0.0000,1.0000
2017-11-29,134.2700,135.0700,133.6400,135.0000,133.8121,897673,0.0000,1.0000
2017-11-28,133.4700,134.2500,133.4700,134.2500,133.0687,1825561,0.0000,1.0000
2017-11-27,132.9700,133.5850,132.5900,132.8100,131.6414,880210,0.0000,1.0000
2017-11-24,133.2900,133.5500,132.6600,132.8600,131.6909,281941,0.0000,1.0000
2017-11-22,132.8600,133.6095,132.2250,132.9900,131.8198,1328452,0.0000,1.0000
2017-11-21,132.6200,133.2500,132.1537,132.4500,131.2845,1056487,0.0000,1.0000
2017-11-20,131.2800,132.7000,131.0700,132.1300,130.9673,1222422,0.0000,1.0000
2017-11-17,131.5800,131.9500,130.8350,131.4500,130.2933,1421562,0.0000,1.0000
2017-11-16,130.5200,132.5300,130.3600,131.9900,130.8286,1399179,0.0000,1.0000
2017-11-15,131.2000,131.3500,130.1200,130.2300,129.0841,1099824,0.0000,1.0000
2017-11-14,131.1800,131.9700,130.2400,131.4000,130.2438,1356659,0.0000,1.0000
2017-11-13,130.2200,131.8000,129.8000,131.6400,130.4817,1064751,0.0000,1.0000
2017-11-10,129.8200,130.6300,129.2500,130.3000,129.1534,1269887,0.0000,1.0000
2017-11-09,130.4300,130.6700,129.5100,130.2500,129.1039,825422,0.0000,1.0000
2017-11-08,130.9500,131.3500,130.1100,130.3900,129.2427,1012077,0.0000,1.0000
2017-11-07,131.5800,132.1000,130.5750,130.9500,129.7977,957421,0.0000,1.0000
2017-11-06,131.2000,132.8900,131.1600,131.9100,130.7493,710608,0.0000,1.0000
2017-11-03,131.2300,132.4100,130.8400,131.3800,130.2239,1869828,0.0000,1.0000
