timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,29.8900,34.6000,29.6100,34.1300,34.1300,55465,0.0000,1.0000
2018-07-02,32.6000,33.8000,27.9200,30.2600,30.2600,319202,0.0000,1.0000
2018-06-29,37.1300,37.5900,31.5000,32.4900,32.4900,134848,0.0000,1.0000
2018-06-28,36.8100,37.8600,35.1900,37.0400,37.0400,74412,0.0000,1.0000
2018-06-27,38.7600,39.1100,36.0600,36.7700,36.7700,111508,0.0000,1.0000
2018-06-26,39.5700,40.7100,38.5000,39.0000,39.0000,36200,0.0000,1.0000
2018-06-25,40.9900,42.2600,38.8900,39.5300,39.5300,108228,0.0000,1.0000
2018-06-22,42.3700,42.5000,40.5900,41.0200,41.0200,59592,0.0000,1.0000
2018-06-21,44.9500,47.0000,42.4400,42.4400,42.4400,114098,0.0000,1.0000
2018-06-20,41.2100,41.2100,40.1610,40.5000,40.5000,65951,0.0000,1.0000
2018-06-19,40.9600,42.0200,40.4100,40.8000,40.8000,76906,0.0000,1.0000
2018-06-18,42.0600,42.6000,37.0100,41.2800,41.2800,225487,0.0000,1.0000
2018-06-15,41.9000,44.6500,40.9300,42.2700,42.2700,107224,0.0000,1.0000
2018-06-14,46.1300,46.3200,40.9269,41.9100,41.9100,120977,0.0000,1.0000
2018-06-13,46.4700,46.4700,44.3000,45.7200,45.7200,47531,0.0000,1.0000
2018-06-12,47.0200,47.4400,46.3100,46.3100,46.3100,23535,0.0000,1.0000
2018-06-11,46.6700,48.8400,46.6700,47.1100,47.1100,40312,0.0000,1.0000
2018-06-08,46.0400,47.3400,45.1500,46.8800,46.8800,88251,0.0000,1.0000
2018-06-07,45.9100,46.3000,45.0900,45.3000,45.3000,89310,0.0000,1.0000
2018-06-06,45.6300,46.4000,45.0000,46.0100,46.0100,80312,0.0000,1.0000
2018-06-05,45.4400,46.5000,45.3700,45.9400,45.9400,102392,0.0000,1.0000
2018-06-04,44.9100,45.7300,43.6800,45.3000,45.3000,115325,0.0000,1.0000
2018-06-01,45.1500,45.8500,44.1400,44.9200,44.9200,140767,0.0000,1.0000
2018-05-31,46.4200,46.4200,43.7400,44.5600,44.5600,301176,0.0000,1.0000
2018-05-30,46.4500,46.8395,44.4900,46.0500,46.0500,226577,0.0000,1.0000
2018-05-29,48.3500,48.3500,45.5500,46.4500,46.4500,119388,0.0000,1.0000
2018-05-25,48.4800,48.5000,47.8137,48.3000,48.3000,79981,0.0000,1.0000
2018-05-24,47.2600,49.1150,46.8700,48.4000,48.4000,63471,0.0000,1.0000
2018-05-23,47.5000,48.1700,46.5550,47.3900,47.3900,107943,0.0000,1.0000
