timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,41.4100,41.4750,41.3000,41.3600,41.3600,1729768,0.0000,1.0000
2018-07-02,41.5000,41.5400,41.3200,41.3900,41.3900,4351967,0.0000,1.0000
2018-06-29,41.5000,41.6600,41.3900,41.5000,41.5000,3308888,0.0000,1.0000
2018-06-28,41.3300,41.6150,41.3300,41.5800,41.5800,3115600,0.0000,1.0000
2018-06-27,41.4400,41.4500,41.3050,41.3200,41.3200,4248532,0.0000,1.0000
2018-06-26,41.3200,41.4500,41.3200,41.3900,41.3900,4363850,0.0000,1.0000
2018-06-25,41.4900,41.5800,41.3500,41.3600,41.3600,25659160,0.0000,1.0000
2018-06-22,40.4700,40.9700,40.2700,40.8300,40.8300,1104513,0.0000,1.0000
2018-06-21,40.4800,40.4900,40.1100,40.4100,40.4100,412949,0.0000,1.0000
2018-06-20,40.0800,40.5400,39.8000,40.4400,40.4400,665479,0.0000,1.0000
2018-06-19,40.0300,40.4000,39.8200,39.9100,39.9100,757671,0.0000,1.0000
2018-06-18,40.3000,40.4600,39.8750,40.2000,40.2000,1011053,0.0000,1.0000
2018-06-15,40.3500,41.1600,40.2300,40.3400,40.3400,1939635,0.0000,1.0000
2018-06-14,41.0000,41.0800,40.1900,40.3100,40.3100,2107250,0.0000,1.0000
2018-06-13,40.1600,43.3000,39.2500,40.7200,40.7200,2671552,0.0000,1.0000
2018-06-12,39.3500,40.3600,39.3500,40.0900,40.0900,3363862,0.0000,1.0000
2018-06-11,39.8200,40.0499,39.1350,39.5000,39.5000,1160674,0.0000,1.0000
2018-06-08,39.0200,40.2500,39.0200,39.8800,39.8800,1887364,0.0000,1.0000
2018-06-07,38.3800,39.0500,38.2800,38.9300,38.9300,1113540,0.0000,1.0000
2018-06-06,38.4100,38.5800,38.1000,38.3000,38.3000,711465,0.0000,1.0000
2018-06-05,38.4500,38.7500,38.2800,38.4200,38.4200,1004118,0.0000,1.0000
2018-06-04,38.2300,38.8300,37.8800,38.3800,38.3800,1717159,0.0000,1.0000
2018-06-01,36.5900,40.2400,36.1900,37.9400,37.9400,3915443,0.0000,1.0000
2018-05-31,36.4100,36.6300,36.2300,36.5400,36.5400,1283926,0.0000,1.0000
2018-05-30,35.9800,36.6050,35.7900,36.5600,36.5600,1258956,0.0000,1.0000
2018-05-29,34.6100,36.0500,34.5300,35.9200,35.9200,1205470,0.0000,1.0000
2018-05-25,34.4400,34.8900,34.3900,34.6900,34.6900,560980,0.0000,1.0000
2018-05-24,34.1900,34.4600,34.0650,34.3000,34.3000,730023,0.0000,1.0000
2018-05-23,33.4500,34.5300,33.3300,34.0500,34.0500,590702,0.0000,1.0000
2018-05-22,33.6400,33.6900,33.2900,33.3100,33.3100,657907,0.0000,1.0000
2018-05-21,33.3300,33.8100,33.0000,33.5900,33.5900,1218247,0.0000,1.0000
2018-05-18,33.5400,33.7500,33.0700,33.1800,33.1800,893224,0.0000,1.0000
2018-05-17,34.0000,34.1800,33.4000,33.4700,33.4700,1050084,0.0000,1.0000
2018-05-16,33.3700,34.0300,33.3700,34.0100,34.0100,2593803,0.0000,1.0000
2018-05-15,33.9300,33.9300,33.3600,33.7400,33.7400,1046575,0.0000,1.0000
2018-05-14,34.6200,34.7800,33.9700,34.1400,34.1400,725001,0.0000,1.0000
2018-05-11,34.7700,34.9500,34.6200,34.6900,34.6900,848901,0.0000,1.0000
2018-05-10,34.5600,34.7400,34.3800,34.7200,34.7200,696874,0.0000,1.0000
2018-05-09,34.1000,34.5200,33.8500,34.3500,34.3500,1038050,0.0000,1.0000
2018-05-08,33.9000,34.1800,33.7100,34.1300,34.1300,936461,0.0000,1.0000
2018-05-07,33.7100,33.9300,33.3700,33.9000,33.9000,542219,0.0000,1.0000
2018-05-04,33.4500,33.7500,33.2400,33.5800,33.5800,474589,0.0000,1.0000
2018-05-03,33.4900,33.5900,33.3100,33.4600,33.4600,558297,0.0000,1.0000
2018-05-02,33.5800,33.8000,33.0000,33.5800,33.5800,819029,0.0000,1.0000
2018-05-01,32.8900,33.9000,32.8700,33.6900,33.6900,994950,0.0000,1.0000
2018-04-30,32.7300,33.3100,32.4300,32.9100,32.9100,811670,0.0000,1.0000
2018-04-27,31.8600,32.6800,31.6500,32.5500,32.5500,696557,0.3900,1.0000
2018-04-26,32.0500,32.4800,32.0400,32.2000,31.8188,529806,0.0000,1.0000
2018-04-25,31.7800,32.0900,31.5600,31.9300,31.5520,640149,0.0000,1.0000
2018-04-24,31.8800,31.9900,31.5300,31.8800,31.5026,717118,0.0000,1.0000
2018-04-23,32.1400,32.1400,31.6550,31.7900,31.4136,528730,0.0000,1.0000
2018-04-20,32.4100,32.5700,32.0500,32.0500,31.6705,346413,0.0000,1.0000
2018-04-19,33.1700,33.2000,32.1800,32.4400,32.0559,331468,0.0000,1.0000
2018-04-18,33.2500,33.3900,33.1200,33.2700,32.8761,303841,0.0000,1.0000
2018-04-17,32.9700,33.3600,32.7100,33.1600,32.7674,574629,0.0000,1.0000
2018-04-16,32.5100,32.8400,32.3700,32.6800,32.2931,445400,0.0000,1.0000
2018-04-13,32.4900,32.7700,32.0700,32.3900,32.0065,677805,0.0000,1.0000
2018-04-12,33.3400,33.3400,32.3300,32.3800,31.9966,780581,0.0000,1.0000
2018-04-11,33.3000,33.7700,33.2150,33.3400,32.9453,517141,0.0000,1.0000
2018-04-10,33.2100,33.5200,33.0000,33.3600,32.9650,659178,0.0000,1.0000
2018-04-09,32.9300,33.1600,32.6600,33.0700,32.6785,495032,0.0000,1.0000
2018-04-06,33.0900,33.4700,32.9000,32.9200,32.5302,690316,0.0000,1.0000
2018-04-05,33.1300,33.1300,32.6400,33.0600,32.6686,362355,0.0000,1.0000
2018-04-04,32.5800,33.2700,32.5000,33.0000,32.6093,399434,0.0000,1.0000
2018-04-03,32.4800,33.0500,32.2100,32.8300,32.4413,395083,0.0000,1.0000
2018-04-02,32.7500,32.8300,32.2700,32.4500,32.0658,387429,0.0000,1.0000
2018-03-29,32.8300,33.0900,32.6000,32.7500,32.3622,418300,0.0000,1.0000
2018-03-28,31.8800,32.8700,31.8800,32.8300,32.4413,558570,0.0000,1.0000
2018-03-27,31.2000,32.0700,30.8100,31.7000,31.3247,329655,0.0000,1.0000
