timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,9.4175,9.4300,9.3200,9.4000,9.4000,29492,0.0000,1.0000
2018-07-02,9.4400,9.4408,9.4000,9.4000,9.4000,11654,0.0000,1.0000
2018-06-29,9.3500,9.4400,9.3500,9.4400,9.4400,37673,0.0000,1.0000
2018-06-28,9.4054,9.4200,9.3700,9.3800,9.3800,17206,0.0000,1.0000
2018-06-27,9.3900,9.4500,9.3700,9.4500,9.4500,52568,0.0000,1.0000
2018-06-26,9.4200,9.4200,9.3440,9.3900,9.3900,12806,0.0000,1.0000
2018-06-25,9.3700,9.3700,9.3399,9.3600,9.3600,35065,0.0000,1.0000
2018-06-22,9.3600,9.3600,9.3000,9.3400,9.3400,17397,0.0000,1.0000
2018-06-21,9.3700,9.3700,9.3000,9.3500,9.3500,21757,0.0000,1.0000
2018-06-20,9.3043,9.3500,9.2900,9.3500,9.3500,38143,0.0000,1.0000
2018-06-19,9.3400,9.4047,9.2800,9.3200,9.3200,45422,0.0000,1.0000
2018-06-18,9.4000,9.4100,9.3200,9.4100,9.4100,38301,0.0000,1.0000
2018-06-15,9.4013,9.4200,9.3300,9.3890,9.3890,41881,0.0000,1.0000
2018-06-14,9.3500,9.4900,9.3500,9.3700,9.3700,45961,0.0000,1.0000
2018-06-13,9.4600,9.4900,9.4000,9.4200,9.4200,53182,0.0000,1.0000
2018-06-12,9.5000,9.5300,9.4800,9.4800,9.4800,34110,0.0000,1.0000
2018-06-11,9.5000,9.5200,9.4742,9.5093,9.5093,20629,0.0000,1.0000
2018-06-08,9.5000,9.5100,9.4800,9.5000,9.5000,21213,0.0420,1.0000
2018-06-07,9.7700,9.7700,9.5000,9.5000,9.4582,62093,0.0000,1.0000
2018-06-06,9.5200,9.5800,9.5100,9.5500,9.5080,43447,0.0000,1.0000
2018-06-05,9.5400,9.5400,9.5000,9.5000,9.4582,26732,0.0000,1.0000
2018-06-04,9.5400,9.5600,9.5000,9.5073,9.4655,26949,0.0000,1.0000
2018-06-01,9.4700,9.5200,9.4700,9.5000,9.4582,18146,0.0000,1.0000
2018-05-31,9.7700,9.7700,9.4900,9.5001,9.4583,22021,0.0000,1.0000
2018-05-30,9.5250,9.5499,9.4801,9.4900,9.4482,48981,0.0000,1.0000
2018-05-29,9.5100,9.5200,9.4500,9.5000,9.4582,23401,0.0000,1.0000
2018-05-25,9.5900,9.5900,9.5200,9.5200,9.4781,48722,0.0000,1.0000
2018-05-24,9.5300,9.5300,9.5001,9.5100,9.4681,56015,0.0000,1.0000
2018-05-23,9.5000,9.5400,9.4814,9.5200,9.4781,75140,0.0000,1.0000
2018-05-22,9.5134,9.5300,9.4600,9.4600,9.4184,50595,0.0000,1.0000
2018-05-21,9.5000,9.5100,9.4500,9.5100,9.4681,47352,0.0000,1.0000
2018-05-18,9.5400,9.5402,9.4200,9.4900,9.4482,50500,0.0000,1.0000
2018-05-17,9.4900,9.5300,9.4800,9.5000,9.4582,40121,0.0000,1.0000
2018-05-16,9.5000,9.5400,9.4700,9.4800,9.4383,64250,0.0000,1.0000
