timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,124.9700,125.9000,124.0600,124.1300,124.1300,365117,0.0000,1.0000
2018-07-02,123.8500,124.3200,122.6800,124.2300,124.2300,674414,0.0000,1.0000
2018-06-29,126.0900,127.3300,125.0500,125.1100,125.1100,1412640,0.0000,1.0000
2018-06-28,122.6300,126.2400,122.1600,126.1600,126.1600,1476584,0.0000,1.0000
2018-06-27,124.3200,125.5100,122.9300,122.9900,122.9900,1319619,0.0000,1.0000
2018-06-26,124.6700,124.9300,124.0600,124.4600,124.4600,1198283,0.0000,1.0000
2018-06-25,126.3600,126.6000,124.2700,124.5800,124.5800,674187,0.0000,1.0000
2018-06-22,127.7200,128.1700,126.4300,126.6000,126.6000,1688081,0.0000,1.0000
2018-06-21,127.7300,128.5300,126.7600,127.2200,127.2200,912540,0.0000,1.0000
2018-06-20,126.3900,128.4800,125.8300,128.0300,128.0300,1196072,0.0000,1.0000
2018-06-19,123.5400,126.2200,123.2300,126.0200,126.0200,1389024,0.0000,1.0000
2018-06-18,123.7700,124.9300,123.0400,124.7900,124.7900,761918,0.0000,1.0000
2018-06-15,125.1500,125.1900,123.4100,124.0100,124.0100,1165417,0.0000,1.0000
2018-06-14,125.2600,126.1300,125.2400,125.3400,125.3400,1414791,0.0000,1.0000
2018-06-13,124.9500,125.6650,124.6001,125.0800,125.0800,813613,0.0000,1.0000
2018-06-12,124.2700,124.6500,123.5000,124.6500,124.6500,913726,0.0000,1.0000
2018-06-11,127.9300,128.1300,124.2900,124.4400,124.4400,1876917,0.0000,1.0000
2018-06-08,126.5400,127.9000,125.8600,127.8200,127.8200,1145439,0.0000,1.0000
2018-06-07,125.0800,126.7200,124.8000,126.4900,126.4900,1997435,0.0000,1.0000
2018-06-06,117.7100,125.6300,117.7100,124.7200,124.7200,2686754,0.0000,1.0000
2018-06-05,116.8800,118.5700,116.7600,117.5200,117.5200,814326,0.0000,1.0000
2018-06-04,114.5400,116.8899,114.5400,116.7900,116.7900,1711199,0.0000,1.0000
2018-06-01,114.1800,114.7700,113.2700,114.2900,114.2900,1227163,0.0000,1.0000
2018-05-31,115.3800,115.7700,113.9000,113.9600,113.9600,955523,0.0000,1.0000
2018-05-30,114.7100,114.7200,113.6500,114.5200,114.5200,647088,0.0000,1.0000
2018-05-29,114.3800,114.6100,113.2900,113.9100,113.9100,773367,0.0000,1.0000
2018-05-25,114.5200,115.4100,114.5200,115.2100,115.2100,360176,0.0000,1.0000
2018-05-24,115.3000,115.6900,113.9400,114.6600,114.6600,629912,0.3900,1.0000
2018-05-23,115.2700,116.1200,114.8200,115.7500,115.3576,552463,0.0000,1.0000
2018-05-22,116.5000,116.7100,115.1500,115.6400,115.2480,855869,0.0000,1.0000
2018-05-21,115.2500,116.7600,115.1300,116.4900,116.0951,507220,0.0000,1.0000
2018-05-18,114.8500,114.9700,114.2900,114.7100,114.3212,856350,0.0000,1.0000
