timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,1.0000,1.0200,0.9900,1.0200,1.0200,1969504,0.0000,1.0000
2018-07-02,0.9900,0.9900,0.9646,0.9800,0.9800,1894244,0.0000,1.0000
2018-06-29,0.9818,1.0000,0.9707,0.9935,0.9935,2064964,0.0000,1.0000
2018-06-28,0.9782,0.9809,0.9451,0.9798,0.9798,5435171,0.0000,1.0000
2018-06-27,1.0500,1.0600,0.9440,0.9600,0.9600,10648671,0.0000,1.0000
2018-06-26,1.0900,1.0900,1.0400,1.0600,1.0600,2541253,0.0000,1.0000
2018-06-25,1.1000,1.1100,1.0800,1.0800,1.0800,2550151,0.0000,1.0000
2018-06-22,1.1200,1.1300,1.0900,1.1100,1.1100,2219126,0.0000,1.0000
2018-06-21,1.1300,1.1334,1.0900,1.1200,1.1200,2880369,0.0000,1.0000
2018-06-20,1.1500,1.1600,1.1200,1.1200,1.1200,2093458,0.0000,1.0000
2018-06-19,1.1300,1.1500,1.1200,1.1400,1.1400,2928160,0.0000,1.0000
2018-06-18,1.1600,1.1700,1.1500,1.1500,1.1500,1531764,0.0000,1.0000
2018-06-15,1.1500,1.1700,1.1400,1.1600,1.1600,8917256,0.0000,1.0000
2018-06-14,1.1700,1.1800,1.1600,1.1700,1.1700,3305180,0.0000,1.0000
2018-06-13,1.1400,1.1800,1.1200,1.1600,1.1600,3457656,0.0000,1.0000
2018-06-12,1.1500,1.1700,1.1200,1.1400,1.1400,3026934,0.0000,1.0000
2018-06-11,1.1400,1.1800,1.1300,1.1600,1.1600,4952565,0.0000,1.0000
2018-06-08,1.1400,1.1500,1.1200,1.1300,1.1300,2061390,0.0000,1.0000
2018-06-07,1.1400,1.1500,1.1200,1.1300,1.1300,2387700,0.0000,1.0000
2018-06-06,1.1500,1.1700,1.1100,1.1300,1.1300,4075356,0.0000,1.0000
2018-06-05,1.1000,1.1600,1.0800,1.1500,1.1500,4732047,0.0000,1.0000
2018-06-04,1.1100,1.1200,1.0900,1.0900,1.0900,2486351,0.0000,1.0000
2018-06-01,1.1300,1.1400,1.0900,1.1100,1.1100,3997335,0.0000,1.0000
2018-05-31,1.1500,1.1600,1.1200,1.1200,1.1200,2526809,0.0000,1.0000
2018-05-30,1.1200,1.1600,1.1100,1.1400,1.1400,4465329,0.0000,1.0000
2018-05-29,1.1200,1.1400,1.1100,1.1200,1.1200,3572577,0.0000,1.0000
2018-05-25,1.1600,1.1600,1.1200,1.1300,1.1300,3583675,0.0000,1.0000
2018-05-24,1.1800,1.2100,1.1400,1.1500,1.1500,8101882,0.0000,1.0000
2018-05-23,1.1100,1.1900,1.1100,1.1500,1.1500,10716808,0.0000,1.0000
2018-05-22,0.9850,1.1200,0.9771,1.1100,1.1100,10566002,0.0000,1.0000
2018-05-21,0.9951,1.0100,0.9500,0.9500,0.9500,6817036,0.0000,1.0000
2018-05-18,1.0000,1.0200,0.9900,1.0000,1.0000,7282040,0.0000,1.0000
2018-05-17,0.9600,0.9875,0.9522,0.9800,0.9800,3789721,0.0000,1.0000
2018-05-16,0.9500,0.9623,0.9500,0.9532,0.9532,2122649,0.0000,1.0000
2018-05-15,0.9500,0.9700,0.9310,0.9500,0.9500,3117591,0.0000,1.0000
2018-05-14,0.9500,0.9671,0.9450,0.9541,0.9541,3211768,0.0000,1.0000
2018-05-11,0.9532,0.9648,0.9448,0.9500,0.9500,4702606,0.0000,1.0000
2018-05-10,0.9773,0.9780,0.9550,0.9593,0.9593,3547030,0.0000,1.0000
2018-05-09,0.9961,0.9980,0.9555,0.9700,0.9700,8516610,0.0000,1.0000
2018-05-08,0.9832,1.0100,0.9631,0.9800,0.9800,5524804,0.0000,1.0000
2018-05-07,1.0100,1.0200,0.9820,0.9830,0.9830,3415043,0.0000,1.0000
2018-05-04,0.9747,1.0200,0.9725,1.0100,1.0100,3662931,0.0000,1.0000
2018-05-03,1.0200,1.0400,0.9600,0.9700,0.9700,7611761,0.0000,1.0000
2018-05-02,0.9300,1.0200,0.9300,1.0200,1.0200,15884129,0.0000,1.0000
2018-05-01,0.9400,0.9560,0.9252,0.9300,0.9300,12295715,0.0000,1.0000
2018-04-30,0.9330,0.9600,0.9308,0.9500,0.9500,6559460,0.0000,1.0000
2018-04-27,0.9310,0.9589,0.9005,0.9550,0.9550,11103451,0.0000,1.0000
2018-04-26,0.9590,0.9650,0.9351,0.9421,0.9421,6456623,0.0000,1.0000
2018-04-25,0.9400,0.9599,0.9300,0.9546,0.9546,10054316,0.0000,1.0000
2018-04-24,0.9478,0.9491,0.9312,0.9400,0.9400,5293935,0.0000,1.0000
2018-04-23,0.9700,0.9700,0.9300,0.9500,0.9500,15844669,0.0000,1.0000
2018-04-20,0.9715,0.9849,0.9500,0.9800,0.9800,9787928,0.0000,1.0000
2018-04-19,0.9989,1.0100,0.9627,0.9781,0.9781,9779019,0.0000,1.0000
2018-04-18,0.9850,1.0100,0.9701,0.9900,0.9900,9115679,0.0000,1.0000
2018-04-17,0.9698,0.9868,0.9410,0.9778,0.9778,16313806,0.0000,1.0000
2018-04-16,0.9500,0.9800,0.9360,0.9725,0.9725,27365647,0.0000,1.0000
2018-04-13,0.9603,0.9800,0.9281,0.9410,0.9410,22740103,0.0000,1.0000
2018-04-12,1.0000,1.0100,0.9701,0.9836,0.9836,23719660,0.0000,1.0000
2018-04-11,0.9990,1.0300,0.9905,1.0100,1.0100,8529510,0.0000,1.0000
2018-04-10,0.9900,0.9918,0.9510,0.9837,0.9837,14381123,0.0000,1.0000
2018-04-09,0.9900,1.0000,0.9631,0.9680,0.9680,18053041,0.0000,1.0000
2018-04-06,0.9620,0.9853,0.9500,0.9761,0.9761,14071381,0.0000,1.0000
2018-04-05,0.9400,0.9670,0.9201,0.9532,0.9532,11370000,0.0000,1.0000
2018-04-04,1.0000,1.0200,0.9054,0.9300,0.9300,17626011,0.0000,1.0000
2018-04-03,0.8350,0.9152,0.8261,0.9073,0.9073,15456877,0.0000,1.0000
2018-04-02,0.8484,0.8600,0.8200,0.8273,0.8273,12617719,0.0000,1.0000
2018-03-29,0.8364,0.8466,0.8127,0.8400,0.8400,9691956,0.0000,1.0000
2018-03-28,0.8291,0.8555,0.8100,0.8134,0.8134,8567703,0.0000,1.0000
2018-03-27,0.8599,0.8676,0.8020,0.8357,0.8357,17838438,0.0000,1.0000
2018-03-26,0.9300,0.9300,0.8508,0.8677,0.8677,15186488,0.0000,1.0000
2018-03-23,0.9689,0.9800,0.8950,0.9000,0.9000,12360452,0.0000,1.0000
2018-03-22,0.9877,1.0100,0.9165,0.9200,0.9200,23354114,0.0000,1.0000
2018-03-21,1.0500,1.0600,1.0200,1.0400,1.0400,14614329,0.0000,1.0000
2018-03-20,1.0600,1.0700,1.0300,1.0300,1.0300,9031831,0.0000,1.0000
2018-03-19,1.0800,1.1000,1.0600,1.0600,1.0600,9877708,0.0000,1.0000
2018-03-16,1.0800,1.1000,1.0600,1.0700,1.0700,31059741,0.0000,1.0000
2018-03-15,1.0800,1.0900,1.0500,1.0900,1.0900,13578049,0.0000,1.0000
2018-03-14,1.0800,1.1100,1.0700,1.0900,1.0900,8642663,0.0000,1.0000
2018-03-13,1.1100,1.1300,1.0800,1.0800,1.0800,8849748,0.0000,1.0000
2018-03-12,1.1200,1.1300,1.0900,1.1100,1.1100,7941899,0.0000,1.0000
2018-03-09,1.0900,1.1300,1.0800,1.1100,1.1100,11633863,0.0000,1.0000
2018-03-08,1.1000,1.1000,1.0700,1.0800,1.0800,9124468,0.0000,1.0000
2018-03-07,1.1500,1.1600,1.0900,1.1000,1.1000,5729999,0.0000,1.0000
2018-03-06,1.1700,1.1800,1.1400,1.1400,1.1400,5882147,0.0000,1.0000
2018-03-05,1.1100,1.1500,1.0900,1.1400,1.1400,7362516,0.0000,1.0000
2018-03-02,1.1200,1.1300,1.0700,1.1000,1.1000,10587902,0.0000,1.0000
2018-03-01,1.0500,1.1200,1.0500,1.0900,1.0900,10962020,0.0000,1.0000
2018-02-28,1.0700,1.1000,1.0600,1.0600,1.0600,6739357,0.0000,1.0000
2018-02-27,1.1100,1.1100,1.0600,1.0600,1.0600,5888153,0.0000,1.0000
2018-02-26,1.0900,1.1150,1.0800,1.1100,1.1100,4907844,0.0000,1.0000
2018-02-23,1.0900,1.1000,1.0800,1.0800,1.0800,5569317,0.0000,1.0000
2018-02-22,1.1000,1.1400,1.0900,1.0900,1.0900,9445251,0.0000,1.0000
2018-02-21,1.1000,1.1400,1.0900,1.1000,1.1000,10528612,0.0000,1.0000
2018-02-20,1.1300,1.1300,1.0800,1.0900,1.0900,7697849,0.0000,1.0000
2018-02-16,1.1500,1.1800,1.1100,1.1200,1.1200,11085063,0.0000,1.0000
2018-02-15,1.1700,1.1900,1.1300,1.1600,1.1600,15381299,0.0000,1.0000
2018-02-14,1.1300,1.2000,1.1100,1.1600,1.1600,21087079,0.0000,1.0000
2018-02-13,1.1700,1.1800,1.1100,1.1300,1.1300,12643613,0.0000,1.0000
2018-02-12,1.1600,1.2100,1.1500,1.1600,1.1600,13044416,0.0000,1.0000
2018-02-09,1.2300,1.2400,1.1300,1.1400,1.1400,14991068,0.0000,1.0000
2018-02-08,1.2200,1.2800,1.2100,1.2300,1.2300,13914748,0.0000,1.0000
2018-02-07,1.2000,1.2400,1.1900,1.2100,1.2100,10689931,0.0000,1.0000
2018-02-06,1.2100,1.2500,1.1800,1.1900,1.1900,11952301,0.0000,1.0000
2018-02-05,1.2200,1.2500,1.2100,1.2300,1.2300,10260657,0.0000,1.0000
2018-02-02,1.2700,1.2795,1.2100,1.2200,1.2200,12467786,0.0000,1.0000
2018-02-01,1.3100,1.3100,1.2700,1.3000,1.3000,6563163,0.0000,1.0000
2018-01-31,1.2700,1.3300,1.2500,1.3000,1.3000,10461547,0.0000,1.0000
2018-01-30,1.2900,1.3000,1.2500,1.2500,1.2500,10540364,0.0000,1.0000
2018-01-29,1.3400,1.3400,1.2700,1.2700,1.2700,8239836,0.0000,1.0000
2018-01-26,1.3800,1.4200,1.3250,1.3500,1.3500,7195944,0.0000,1.0000
2018-01-25,1.4400,1.4400,1.3600,1.3700,1.3700,13132397,0.0000,1.0000
2018-01-24,1.4400,1.4700,1.3950,1.4300,1.4300,10126885,0.0000,1.0000
2018-01-23,1.3400,1.4100,1.3300,1.4100,1.4100,8207699,0.0000,1.0000
2018-01-22,1.3300,1.3500,1.3100,1.3400,1.3400,3760339,0.0000,1.0000
2018-01-19,1.3500,1.3600,1.3300,1.3400,1.3400,4193290,0.0000,1.0000
2018-01-18,1.3700,1.3800,1.3200,1.3300,1.3300,6687100,0.0000,1.0000
2018-01-17,1.4000,1.4000,1.3300,1.3600,1.3600,12480426,0.0000,1.0000
2018-01-16,1.3000,1.3500,1.2900,1.3500,1.3500,8399066,0.0000,1.0000
2018-01-12,1.3000,1.3100,1.2800,1.2900,1.2900,11060141,0.0000,1.0000
2018-01-11,1.2700,1.3000,1.2500,1.2700,1.2700,7902939,0.0000,1.0000
2018-01-10,1.2700,1.3000,1.2500,1.2700,1.2700,8363531,0.0000,1.0000
2018-01-09,1.3200,1.3200,1.2500,1.2600,1.2600,11339697,0.0000,1.0000
2018-01-08,1.4100,1.4100,1.3000,1.3200,1.3200,15669680,0.0000,1.0000
2018-01-05,1.4000,1.4300,1.3700,1.4100,1.4100,6513907,0.0000,1.0000
2018-01-04,1.4000,1.4100,1.3700,1.4100,1.4100,6089482,0.0000,1.0000
2018-01-03,1.4500,1.4500,1.3600,1.3900,1.3900,9542338,0.0000,1.0000
2018-01-02,1.4600,1.4600,1.4100,1.4400,1.4400,9336677,0.0000,1.0000
2017-12-29,1.4500,1.4700,1.4000,1.4300,1.4300,9062352,0.0000,1.0000
2017-12-28,1.4400,1.4500,1.3500,1.4400,1.4400,9211194,0.0000,1.0000
2017-12-27,1.4100,1.4400,1.3800,1.4200,1.4200,7684439,0.0000,1.0000
2017-12-26,1.3500,1.4650,1.3450,1.4100,1.4100,10694295,0.0000,1.0000
2017-12-22,1.2600,1.3400,1.2500,1.3400,1.3400,6613158,0.0000,1.0000
2017-12-21,1.2600,1.2799,1.2400,1.2600,1.2600,5250624,0.0000,1.0000
2017-12-20,1.2700,1.2800,1.2300,1.2700,1.2700,5323408,0.0000,1.0000
2017-12-19,1.2650,1.2800,1.2400,1.2600,1.2600,4495906,0.0000,1.0000
2017-12-18,1.2800,1.3100,1.2400,1.2600,1.2600,8151967,0.0000,1.0000
2017-12-15,1.2800,1.2900,1.2300,1.2900,1.2900,33387705,0.0000,1.0000
2017-12-14,1.2750,1.2850,1.2400,1.2700,1.2700,5904399,0.0000,1.0000
2017-12-13,1.2100,1.2882,1.2000,1.2600,1.2600,11825320,0.0000,1.0000
2017-12-12,1.2400,1.2500,1.2000,1.2100,1.2100,5896627,0.0000,1.0000
2017-12-11,1.1700,1.2500,1.1600,1.2400,1.2400,13163114,0.0000,1.0000
2017-12-08,1.1500,1.2300,1.1400,1.1600,1.1600,8924835,0.0000,1.0000
2017-12-07,1.1100,1.1700,1.1000,1.1600,1.1600,5995556,0.0000,1.0000
2017-12-06,1.1300,1.1400,1.1000,1.1200,1.1200,4288133,0.0000,1.0000
2017-12-05,1.1400,1.1600,1.1100,1.1200,1.1200,5614811,0.0000,1.0000
2017-12-04,1.1600,1.1600,1.1400,1.1500,1.1500,2803031,0.0000,1.0000
2017-12-01,1.1400,1.1900,1.1200,1.1600,1.1600,5552228,0.0000,1.0000
2017-11-30,1.1400,1.1700,1.1300,1.1300,1.1300,5208449,0.0000,1.0000
2017-11-29,1.1800,1.1900,1.1400,1.1500,1.1500,5538693,0.0000,1.0000
2017-11-28,1.2000,1.2100,1.1700,1.1900,1.1900,3717592,0.0000,1.0000
2017-11-27,1.2600,1.2600,1.1800,1.1800,1.1800,4590962,0.0000,1.0000
2017-11-24,1.2500,1.2600,1.2200,1.2300,1.2300,2520257,0.0000,1.0000
2017-11-22,1.2000,1.2500,1.1850,1.2500,1.2500,5510807,0.0000,1.0000
2017-11-21,1.2200,1.2400,1.1800,1.1800,1.1800,4438066,0.0000,1.0000
2017-11-20,1.2500,1.2700,1.2100,1.2200,1.2200,5011953,0.0000,1.0000
2017-11-17,1.2100,1.2800,1.2100,1.2600,1.2600,9833315,0.0000,1.0000
2017-11-16,1.1500,1.2100,1.1450,1.2000,1.2000,6002905,0.0000,1.0000
2017-11-15,0.9310,0.9589,0.9005,0.9550,0.9550,11103451,0.0000,1.0000
2017-11-14,1.1900,1.1900,1.1500,1.1700,1.1700,3715453,0.0000,1.0000
2017-11-13,1.2000,1.2200,1.1600,1.1700,1.1700,6860642,0.0000,1.0000
2017-11-10,1.2900,1.2900,1.2000,1.2100,1.2100,5161472,0.0000,1.0000
