timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,40.6000,40.8500,40.3000,40.4000,40.4000,50995,0.0000,1.0000
2018-07-02,40.1500,40.5500,39.9000,40.5000,40.5000,71706,0.0000,1.0000
2018-06-29,40.7000,40.8000,40.1000,40.2000,40.2000,93159,0.0000,1.0000
2018-06-28,40.4500,40.8500,40.4000,40.6000,40.6000,60553,0.0000,1.0000
2018-06-27,41.2500,41.3000,40.3500,40.4500,40.4500,109605,0.0000,1.0000
2018-06-26,41.1000,41.5500,40.6500,41.3500,41.3500,77112,0.0000,1.0000
2018-06-25,41.0000,41.5000,40.7000,41.1000,41.1000,94532,0.0000,1.0000
2018-06-22,41.3000,41.5000,40.8000,41.3000,41.3000,489410,0.0000,1.0000
2018-06-21,41.1000,41.5500,40.9000,41.1500,41.1500,110715,0.0000,1.0000
2018-06-20,41.4500,42.0500,41.0500,41.0500,41.0500,154879,0.0000,1.0000
2018-06-19,40.3000,41.5500,40.3000,41.4500,41.4500,109958,0.0000,1.0000
2018-06-18,40.5000,40.9000,40.3000,40.8000,40.8000,108013,0.0000,1.0000
2018-06-15,40.2500,40.8000,40.0000,40.8000,40.8000,209908,0.0000,1.0000
2018-06-14,40.3500,40.4000,39.9500,40.4000,40.4000,74492,0.0000,1.0000
2018-06-13,40.1500,40.4000,40.0000,40.2000,40.2000,66778,0.0000,1.0000
2018-06-12,40.9000,40.9000,39.8000,40.1500,40.1500,111215,0.0000,1.0000
2018-06-11,40.3000,40.8000,40.3000,40.7500,40.7500,122284,0.0000,1.0000
2018-06-08,40.4000,40.7000,40.2000,40.2000,40.2000,74727,0.0000,1.0000
2018-06-07,40.4000,40.7000,40.1000,40.5000,40.5000,88654,0.0000,1.0000
2018-06-06,40.0000,40.3000,39.8500,40.2500,40.2500,216013,0.0000,1.0000
2018-06-05,39.9000,40.1000,39.3500,40.0500,40.0500,79367,0.0000,1.0000
2018-06-04,40.0000,40.1500,39.8500,39.9500,39.9500,109961,0.0000,1.0000
2018-06-01,40.0000,40.0000,39.5500,39.8000,39.8000,87124,0.0000,1.0000
2018-05-31,40.2000,40.2000,39.4500,39.6000,39.6000,78893,0.0000,1.0000
2018-05-30,39.9500,40.4500,39.8000,40.2000,40.2000,179353,0.0000,1.0000
2018-05-29,40.1500,40.2500,39.4000,39.6000,39.6000,121895,0.0000,1.0000
2018-05-25,40.4500,40.5500,40.1500,40.4500,40.4500,69989,0.0000,1.0000
2018-05-24,40.6000,40.6000,40.1000,40.4500,40.4500,174023,0.0000,1.0000
2018-05-23,40.6000,40.8500,40.4250,40.6000,40.6000,50838,0.0000,1.0000
2018-05-22,40.9500,41.1500,40.4250,40.6000,40.6000,142645,0.0000,1.0000
2018-05-21,40.7500,40.9826,40.7500,40.8500,40.8500,104638,0.0000,1.0000
2018-05-18,40.7500,40.9750,40.5500,40.6500,40.6500,105216,0.0000,1.0000
2018-05-17,40.0000,40.7500,39.7000,40.5000,40.5000,146311,0.0000,1.0000
2018-05-16,39.6000,40.4000,39.5500,40.1000,40.1000,136473,0.0000,1.0000
2018-05-15,39.4000,39.8000,39.3000,39.5000,39.5000,97627,0.0000,1.0000
2018-05-14,40.5500,40.8000,39.4500,39.4500,39.4500,69747,0.0000,1.0000
2018-05-11,40.5000,40.9500,40.5000,40.5500,40.5500,90095,0.0000,1.0000
2018-05-10,40.2500,40.5500,40.0596,40.4500,40.4500,335683,0.0000,1.0000
2018-05-09,40.1500,40.3000,39.7500,40.1500,40.1500,102876,0.0000,1.0000
2018-05-08,39.6000,40.3500,39.6000,39.8500,39.8500,81804,0.2000,1.0000
2018-05-07,40.1000,40.5000,39.7500,40.1000,39.8998,45880,0.0000,1.0000
2018-05-04,39.4500,40.3500,39.4500,40.0000,39.8002,82372,0.0000,1.0000
2018-05-03,40.3000,40.3000,39.1000,39.6500,39.4520,106283,0.0000,1.0000
2018-05-02,40.9500,40.9500,39.9500,40.3500,40.1485,136522,0.0000,1.0000
2018-05-01,40.9000,41.2000,40.6000,41.0500,40.8450,123670,0.0000,1.0000
2018-04-30,41.4500,41.5000,40.7000,40.9000,40.6958,217402,0.0000,1.0000
2018-04-27,41.3000,41.3500,41.0500,41.2500,41.0440,102342,0.0000,1.0000
2018-04-26,40.5500,41.3500,40.0000,41.2000,40.9943,115595,0.0000,1.0000
2018-04-25,40.9500,41.2500,40.5500,40.7500,40.5465,129195,0.0000,1.0000
2018-04-24,41.6500,41.6500,40.7050,40.9500,40.7455,118401,0.0000,1.0000
2018-04-23,41.5500,41.7000,41.2500,41.5000,41.2928,58052,0.0000,1.0000
2018-04-20,41.4500,41.8000,41.3000,41.5000,41.2928,108159,0.0000,1.0000
2018-04-19,41.4500,42.0500,41.2500,41.6000,41.3923,79441,0.0000,1.0000
2018-04-18,41.8500,42.0000,41.4750,41.5500,41.3425,96293,0.0000,1.0000
2018-04-17,42.2500,42.2500,41.7000,41.7000,41.4918,135707,0.0000,1.0000
2018-04-16,41.5500,42.2500,41.4000,41.9500,41.7405,122824,0.0000,1.0000
2018-04-13,41.4000,41.4500,40.8500,41.3000,41.0938,61122,0.0000,1.0000
2018-04-12,41.5000,41.5500,41.0000,41.1500,40.9445,56411,0.0000,1.0000
2018-04-11,40.9000,41.3000,40.8000,41.3000,41.0938,73278,0.0000,1.0000
2018-04-10,40.8000,41.3000,40.6500,41.1500,40.9445,128471,0.0000,1.0000
2018-04-09,41.0500,41.5000,40.3500,40.5500,40.3475,171663,0.0000,1.0000
2018-04-06,41.1500,41.5500,40.7000,40.9000,40.6958,76958,0.0000,1.0000
2018-04-05,42.0000,42.0000,41.1000,41.3000,41.0938,164688,0.0000,1.0000
2018-04-04,40.6500,41.9500,40.4000,41.8000,41.5913,180318,0.0000,1.0000
2018-04-03,39.6500,41.0000,39.4000,40.9000,40.6958,210486,0.0000,1.0000
2018-04-02,40.3000,40.5000,39.2500,39.5000,39.3027,87107,0.0000,1.0000
2018-03-29,40.5000,40.9000,40.0000,40.4500,40.2480,148318,0.0000,1.0000
2018-03-28,39.9500,40.5500,39.8500,40.3000,40.0988,215535,0.0000,1.0000
2018-03-27,40.6500,40.6500,39.9000,39.9000,39.7007,135331,0.0000,1.0000
2018-03-26,40.1500,40.4500,39.4500,40.4500,40.2480,101233,0.0000,1.0000
2018-03-23,40.2000,40.6000,39.6500,39.6500,39.4520,125080,0.0000,1.0000
2018-03-22,40.4500,40.9500,39.9000,40.0000,39.8002,193211,0.0000,1.0000
2018-03-21,40.9500,41.1500,40.6500,40.7000,40.4968,70314,0.0000,1.0000
2018-03-20,40.4000,41.4000,40.3000,41.0000,40.7953,148170,0.0000,1.0000
2018-03-19,40.5500,40.6500,40.1500,40.3000,40.0988,203592,0.0000,1.0000
2018-03-16,40.7000,40.8500,40.2500,40.5500,40.3475,448378,0.0000,1.0000
2018-03-15,40.3500,40.9000,40.1500,40.7500,40.5465,292140,0.0000,1.0000
2018-03-14,41.2000,41.2500,40.2500,40.3000,40.0988,189071,0.0000,1.0000
2018-03-13,41.4000,41.8500,41.1000,41.1500,40.9445,165394,0.0000,1.0000
2018-03-12,40.5500,41.4000,40.5500,41.3000,41.0938,173489,0.0000,1.0000
2018-03-09,40.0500,40.6750,39.8500,40.5000,40.2978,203377,0.0000,1.0000
2018-03-08,40.3500,40.5500,39.8000,39.9000,39.7007,152911,0.0000,1.0000
2018-03-07,39.2000,40.3500,39.2000,40.3000,40.0988,193301,0.0000,1.0000
2018-03-06,39.6000,39.6500,38.9500,39.4000,39.2032,178308,0.2000,1.0000
2018-03-05,39.0000,40.0000,38.8750,39.7000,39.3022,113928,0.0000,1.0000
2018-03-02,38.6000,39.2500,38.3500,39.0000,38.6093,129292,0.0000,1.0000
2018-03-01,39.0500,39.2000,38.3500,38.8000,38.4113,162685,0.0000,1.0000
2018-02-28,40.1500,40.4500,39.1000,39.1500,38.7578,201355,0.0000,1.0000
2018-02-27,41.5500,41.6500,40.1500,40.1500,39.7477,154639,0.0000,1.0000
2018-02-26,40.5500,42.0400,40.5500,41.6500,41.2327,164254,0.0000,1.0000
2018-02-23,43.0000,43.0000,40.3500,40.5000,40.0942,145381,0.0000,1.0000
2018-02-22,43.0000,44.6500,42.6500,43.0500,42.6187,331573,0.0000,1.0000
2018-02-21,40.1500,41.0000,40.1500,40.5000,40.0942,76497,0.0000,1.0000
2018-02-20,40.8500,41.1500,39.9750,40.1500,39.7477,134520,0.0000,1.0000
2018-02-16,40.6000,41.2500,40.6000,40.9000,40.4902,139597,0.0000,1.0000
2018-02-15,41.0500,41.1000,40.4000,40.6500,40.2427,77744,0.0000,1.0000
2018-02-14,40.3000,41.0000,40.3000,40.8500,40.4407,143111,0.0000,1.0000
2018-02-13,40.4000,40.7500,40.2500,40.5500,40.1437,61689,0.0000,1.0000
2018-02-12,41.1000,41.1000,39.9000,40.6000,40.1932,149736,0.0000,1.0000
2018-02-09,40.7500,41.3500,40.6000,41.0000,40.5892,215422,0.0000,1.0000
2018-02-08,41.2000,41.7500,40.3000,40.4000,39.9952,199965,0.0000,1.0000
2018-02-07,41.2000,41.6500,41.0000,41.2000,40.7872,180731,0.0000,1.0000
2018-02-06,41.1000,41.7000,40.3500,41.3000,40.8862,194517,0.0000,1.0000
2018-02-05,42.7000,43.2000,41.4000,41.5000,41.0842,151252,0.0000,1.0000
2018-02-02,42.9000,43.4500,42.9000,43.0000,42.5692,76197,0.0000,1.0000
2018-02-01,42.3000,43.2500,42.2000,43.1000,42.6682,90074,0.0000,1.0000
2018-01-31,43.1500,43.7500,41.9000,42.4000,41.9752,137434,0.0000,1.0000
2018-01-30,42.0000,43.1500,41.8000,43.0000,42.5692,231446,0.0000,1.0000
2018-01-29,43.1000,43.4000,42.3000,42.3000,41.8762,121559,0.0000,1.0000
2018-01-26,43.5500,43.7500,42.8500,43.2000,42.7672,129684,0.0000,1.0000
2018-01-25,43.5000,43.5000,43.0750,43.4000,42.9652,98472,0.0000,1.0000
2018-01-24,43.7500,43.8000,43.2000,43.2000,42.7672,90596,0.0000,1.0000
2018-01-23,43.3000,43.9500,42.7000,43.6000,43.1632,171749,0.0000,1.0000
2018-01-22,43.7000,44.1500,43.2000,43.4000,42.9652,56422,0.0000,1.0000
2018-01-19,42.8000,43.8000,42.8000,43.7500,43.3117,133747,0.0000,1.0000
2018-01-18,43.7000,43.7500,42.9000,42.9500,42.5197,63531,0.0000,1.0000
2018-01-17,42.8000,43.9000,42.6000,43.6500,43.2127,115423,0.0000,1.0000
2018-01-16,43.4000,43.6000,42.8000,42.8000,42.3712,60328,0.0000,1.0000
2018-01-12,43.2000,43.7500,43.0500,43.2000,42.7672,60666,0.0000,1.0000
2018-01-11,42.8000,43.3500,42.8000,43.2000,42.7672,110546,0.0000,1.0000
2018-01-10,42.4500,43.2500,42.3500,42.8000,42.3712,97933,0.0000,1.0000
2018-01-09,43.4500,43.8000,42.3500,42.3500,41.9257,95796,0.0000,1.0000
2018-01-08,43.7500,43.8500,43.2500,43.4500,43.0147,120248,0.0000,1.0000
2018-01-05,43.3000,43.8000,42.7500,43.7500,43.3117,112808,0.0000,1.0000
2018-01-04,43.3500,43.8500,43.2500,43.2500,42.8167,62661,0.0000,1.0000
2018-01-03,43.4000,43.6000,43.1000,43.2500,42.8167,66829,0.0000,1.0000
2018-01-02,44.5500,44.5500,43.3500,43.4000,42.9652,126499,0.0000,1.0000
2017-12-29,44.7500,44.8500,44.4000,44.4000,43.9552,94994,0.0000,1.0000
2017-12-28,44.5500,44.9250,44.3500,44.6500,44.2026,96581,0.0000,1.0000
2017-12-27,44.5500,44.8000,44.3500,44.5500,44.1037,76606,0.0000,1.0000
2017-12-26,44.9000,45.1500,44.5500,44.6000,44.1532,58820,0.0000,1.0000
2017-12-22,45.1000,45.1500,44.8500,44.9000,44.4501,35682,0.0000,1.0000
2017-12-21,45.2500,45.4500,45.1000,45.2000,44.7471,68657,0.0000,1.0000
2017-12-20,45.5500,46.5500,45.1000,45.1500,44.6976,94732,0.0000,1.0000
2017-12-19,46.9500,47.4000,46.1500,46.2500,45.7866,62350,0.0000,1.0000
2017-12-18,47.8500,47.8500,47.0500,47.1500,46.6776,79280,0.0000,1.0000
2017-12-15,46.0500,47.5000,45.9000,47.0000,46.5291,326753,0.0000,1.0000
2017-12-14,46.5500,46.7500,45.8550,46.0500,45.5886,95491,0.0000,1.0000
2017-12-13,46.9500,47.2000,46.4000,46.5000,46.0341,76991,0.0000,1.0000
2017-12-12,47.2500,47.5000,47.0000,47.0000,46.5291,100145,0.0000,1.0000
2017-12-11,48.1500,48.1500,47.2500,47.2500,46.7766,59944,0.0000,1.0000
2017-12-08,48.6500,48.6500,47.9250,48.1500,47.6676,69069,0.0000,1.0000
2017-12-07,48.2000,48.7000,48.2000,48.5000,48.0141,120040,0.0000,1.0000
2017-12-06,48.1500,48.4500,47.9000,48.2000,47.7171,58129,0.0000,1.0000
2017-12-05,48.6000,48.7500,48.1500,48.2000,47.7171,74933,0.0000,1.0000
2017-12-04,49.3000,49.3500,48.4500,48.6000,48.1131,59406,0.0000,1.0000
2017-12-01,49.1000,49.1000,47.1500,48.7000,48.2121,74565,0.0000,1.0000
2017-11-30,49.9500,49.9500,48.6000,49.0000,48.5091,113632,0.0000,1.0000
2017-11-29,50.2000,50.4500,48.8500,49.6500,49.1526,135365,0.0000,1.0000
2017-11-28,48.7500,50.0500,48.6500,50.0000,49.4990,78430,0.0000,1.0000
2017-11-27,48.9000,48.9500,48.5500,48.5500,48.0636,152855,0.0000,1.0000
2017-11-24,49.0000,49.0000,48.4000,48.6000,48.1131,78908,0.0000,1.0000
2017-11-22,49.3000,49.5500,48.8500,48.9000,48.4101,56464,0.0000,1.0000
2017-11-21,48.6000,49.6500,48.5000,49.3500,48.8556,118858,0.0000,1.0000
2017-11-20,48.3000,48.5000,47.8500,48.4500,47.9646,114255,0.0000,1.0000
2017-11-17,47.7500,48.2500,47.5000,48.1000,47.6181,107345,0.0000,1.0000
2017-11-16,47.8500,48.2500,47.7250,48.0000,47.5191,72625,0.0000,1.0000
2017-11-15,47.4500,47.9000,47.2000,47.7500,47.2716,76754,0.0000,1.0000
2017-11-14,47.3500,47.9500,47.2500,47.8500,47.3706,58084,0.0000,1.0000
2017-11-13,47.8000,47.9000,47.4000,47.6000,47.1231,50004,0.0000,1.0000
2017-11-10,47.9500,48.6000,47.7000,47.9000,47.4201,92063,0.0000,1.0000
2017-11-09,47.8000,48.3000,47.3000,48.0000,47.5191,58275,0.0000,1.0000
2017-11-08,47.6500,48.1000,47.3500,48.0500,47.5686,70669,0.0000,1.0000
2017-11-07,48.3000,48.5000,47.4500,47.8000,47.3211,58801,0.1500,1.0000
2017-11-06,48.4000,48.8000,48.1500,48.2500,47.6172,48246,0.0000,1.0000
2017-11-03,48.4000,48.8500,48.0500,48.6000,47.9626,86516,0.0000,1.0000
2017-11-02,47.8000,49.6000,47.8000,48.4000,47.7652,109075,0.0000,1.0000
2017-11-01,48.2000,48.3000,47.3500,47.8000,47.1731,70035,0.0000,1.0000
2017-10-31,47.2000,47.8500,47.1500,47.7000,47.0744,154111,0.0000,1.0000
2017-10-30,47.7500,47.7500,46.4500,47.0000,46.3835,109858,0.0000,1.0000
2017-10-27,46.8000,47.7500,46.2500,47.7500,47.1237,96452,0.0000,1.0000
2017-10-26,45.7000,46.9000,45.7000,46.8000,46.1862,61900,0.0000,1.0000
2017-10-25,45.5000,45.7500,45.2000,45.5500,44.9526,58858,0.0000,1.0000
2017-10-24,45.7500,46.1500,45.4875,45.5000,44.9032,69865,0.0000,1.0000
2017-10-23,46.4500,46.4950,45.5500,45.7000,45.1006,126042,0.0000,1.0000
2017-10-20,47.2000,47.2500,46.2500,46.3500,45.7421,76445,0.0000,1.0000
2017-10-19,46.3000,46.7500,45.8500,46.7000,46.0875,48864,0.0000,1.0000
2017-10-18,46.6000,46.8000,46.3000,46.4500,45.8408,78851,0.0000,1.0000
2017-10-17,47.2000,47.2000,46.1500,46.4000,45.7914,56433,0.0000,1.0000
2017-10-16,47.0000,47.2500,46.5000,47.2000,46.5809,63406,0.0000,1.0000
2017-10-13,46.7000,47.1500,46.6000,46.8500,46.2355,57240,0.0000,1.0000
2017-10-12,46.6500,46.9500,46.3500,46.6000,45.9888,88340,0.0000,1.0000
2017-10-11,46.3000,46.9000,46.2000,46.5000,45.8901,95315,0.0000,1.0000
2017-10-10,46.2000,46.3500,46.1500,46.3000,45.6927,56574,0.0000,1.0000
2017-10-09,46.4000,46.8000,45.8500,46.0000,45.3967,59020,0.0000,1.0000
2017-10-06,46.1000,46.6000,45.9500,46.4000,45.7914,47011,0.0000,1.0000
2017-10-05,45.8500,46.3000,45.2000,46.1500,45.5447,98032,0.0000,1.0000
2017-10-04,46.1500,46.3500,45.7000,45.8000,45.1993,47549,0.0000,1.0000
2017-10-03,46.1000,46.3000,45.7000,46.1500,45.5447,159269,0.0000,1.0000
2017-10-02,45.3000,46.3000,45.1500,46.1000,45.4954,143519,0.0000,1.0000
2017-09-29,45.4500,45.5500,44.9500,45.4500,44.8539,112670,0.0000,1.0000
2017-09-28,45.4500,45.8500,44.9500,45.6000,45.0019,89326,0.0000,1.0000
2017-09-27,44.5500,45.9000,44.2000,45.5500,44.9526,107498,0.0000,1.0000
2017-09-26,43.4500,44.2750,43.0500,44.2500,43.6696,100704,0.0000,1.0000
2017-09-25,43.0500,43.5500,42.9500,43.3500,42.7814,89903,0.0000,1.0000
2017-09-22,42.7000,43.4500,42.7000,43.1000,42.5347,72586,0.0000,1.0000
2017-09-21,42.7500,43.2500,42.0500,42.9500,42.3867,65435,0.0000,1.0000
2017-09-20,42.1000,42.9500,41.9500,42.7500,42.1893,78826,0.0000,1.0000
2017-09-19,42.2500,42.6500,42.0500,42.0500,41.4985,109359,0.0000,1.0000
2017-09-18,41.3500,42.0500,41.1000,41.8000,41.2518,105974,0.0000,1.0000
2017-09-15,41.5000,41.5500,40.8000,41.3000,40.7583,199067,0.0000,1.0000
2017-09-14,40.8500,40.8500,40.4500,40.7000,40.1662,55983,0.0000,1.0000
2017-09-13,40.6500,40.9500,40.3500,40.7500,40.2155,73440,0.0000,1.0000
2017-09-12,41.4500,41.5000,40.8000,40.9000,40.3636,75800,0.0000,1.0000
2017-09-11,40.8000,41.7000,40.8000,41.3500,40.8077,65600,0.0000,1.0000
2017-09-08,39.6000,41.2000,39.3500,40.7500,40.2155,52183,0.0000,1.0000
2017-09-07,39.9000,40.0000,38.7000,39.7500,39.2286,102610,0.0000,1.0000
2017-09-06,40.3000,40.6000,39.9500,40.0000,39.4754,159930,0.0000,1.0000
2017-09-05,42.4500,42.6500,40.2000,40.3000,39.7714,169112,0.0000,1.0000
2017-09-01,42.1500,42.6500,42.1500,42.4500,41.8932,47281,0.0000,1.0000
2017-08-31,42.0500,42.1500,41.6500,42.1500,41.5972,79177,0.0000,1.0000
2017-08-30,41.9000,42.5000,41.8500,41.9500,41.3998,108013,0.0000,1.0000
2017-08-29,41.2000,41.9500,41.1000,41.8500,41.3011,78457,0.0000,1.0000
2017-08-28,41.6000,41.6000,41.0500,41.2000,40.6596,97653,0.0000,1.0000
2017-08-25,41.4500,41.8000,41.1500,41.6000,41.0544,37400,0.0000,1.0000
2017-08-24,41.7500,41.8000,41.2000,41.2500,40.7090,33200,0.0000,1.0000
2017-08-23,41.6500,42.0500,41.6500,41.7000,41.1531,48237,0.0000,1.0000
2017-08-22,42.0000,42.1500,41.5000,41.8500,41.3011,47924,0.0000,1.0000
2017-08-21,41.8000,41.9000,41.5000,41.8000,41.2518,43556,0.0000,1.0000
2017-08-18,42.1500,42.4000,41.7500,41.8000,41.2518,57302,0.0000,1.0000
2017-08-17,42.2500,42.6000,41.9000,42.5500,41.9919,99968,0.0000,1.0000
2017-08-16,42.6000,43.4000,42.2500,42.3500,41.7945,52202,0.0000,1.0000
2017-08-15,43.0000,43.2000,42.3500,42.4000,41.8439,40544,0.0000,1.0000
2017-08-14,42.3500,42.9500,41.1000,42.9500,42.3867,40335,0.0000,1.0000
2017-08-11,41.8000,43.2000,41.8000,42.1500,41.5972,104069,0.0000,1.0000
2017-08-10,42.4000,43.1500,42.4000,42.9000,42.3373,99946,0.0000,1.0000
2017-08-09,42.2000,42.7500,42.1500,42.7000,42.1399,85459,0.0000,1.0000
2017-08-08,42.6000,43.1000,42.4000,42.4500,41.8932,61726,0.0000,1.0000
2017-08-07,43.2000,43.3500,42.6000,42.6500,42.0906,46009,0.1500,1.0000
2017-08-04,43.2500,43.4000,43.0000,43.3500,42.6315,54037,0.0000,1.0000
2017-08-03,43.3500,43.5000,42.9500,43.0500,42.3365,107786,0.0000,1.0000
2017-08-02,43.6000,43.7000,43.1500,43.3500,42.6315,78221,0.0000,1.0000
2017-08-01,43.4500,43.8500,43.1000,43.8000,43.0740,45383,0.0000,1.0000
2017-07-31,44.0000,44.0000,43.0500,43.3500,42.6315,95984,0.0000,1.0000
2017-07-28,43.2500,44.1000,42.3500,43.7500,43.0249,62897,0.0000,1.0000
2017-07-27,44.5500,44.5500,42.5500,43.3000,42.5823,88370,0.0000,1.0000
2017-07-26,44.0000,44.0000,43.4000,43.4500,42.7298,41327,0.0000,1.0000
2017-07-25,43.9500,44.4500,43.6000,43.9500,43.2215,121382,0.0000,1.0000
2017-07-24,43.6500,43.8000,43.1500,43.7000,42.9757,41149,0.0000,1.0000
2017-07-21,44.2500,44.5500,43.4500,43.6500,42.9265,65832,0.0000,1.0000
2017-07-20,43.7000,44.2500,43.1000,43.8500,43.1232,63911,0.0000,1.0000
2017-07-19,43.0000,43.8000,42.8000,43.7500,43.0249,78247,0.0000,1.0000
2017-07-18,42.3000,43.0500,42.2500,43.0000,42.2873,76118,0.0000,1.0000
2017-07-17,42.3500,42.8500,42.0500,42.6500,41.9431,79553,0.0000,1.0000
2017-07-14,42.0000,42.4500,41.9000,42.3500,41.6481,88158,0.0000,1.0000
2017-07-13,42.3500,42.4000,41.9500,42.2000,41.5005,74092,0.0000,1.0000
2017-07-12,42.2500,42.4500,41.9000,42.2500,41.5497,58809,0.0000,1.0000
2017-07-11,42.5000,42.5000,41.9000,42.1500,41.4514,87638,0.0000,1.0000
2017-07-10,42.9000,43.0500,42.2500,42.4500,41.7464,97130,0.0000,1.0000
2017-07-07,42.4500,43.4000,42.2500,43.2500,42.5331,82944,0.0000,1.0000
2017-07-06,42.5000,42.6000,42.0000,42.3000,41.5989,68362,0.0000,1.0000
2017-07-05,43.3000,43.3500,42.4500,42.5500,41.8447,59819,0.0000,1.0000
2017-07-03,42.4500,43.7500,41.8870,43.5000,42.7790,57733,0.0000,1.0000
2017-06-30,42.8000,42.8000,42.1250,42.3000,41.5989,60691,0.0000,1.0000
2017-06-29,43.2500,43.2500,42.1000,42.7000,41.9923,61385,0.0000,1.0000
2017-06-28,42.6000,43.1500,42.5000,42.9000,42.1889,110287,0.0000,1.0000
2017-06-27,41.7500,42.3000,41.5000,42.2500,41.5497,110950,0.0000,1.0000
2017-06-26,41.2500,41.8000,41.0500,41.8000,41.1072,70742,0.0000,1.0000
2017-06-23,41.4000,41.4000,40.9000,41.1500,40.4680,249095,0.0000,1.0000
2017-06-22,41.2500,41.4500,40.8000,41.2000,40.5171,43569,0.0000,1.0000
2017-06-21,41.6500,41.7500,41.1500,41.4500,40.7630,60028,0.0000,1.0000
2017-06-20,42.2000,42.6500,41.2500,41.5000,40.8122,72365,0.0000,1.0000
2017-06-19,42.5500,42.5500,41.8500,42.3500,41.6481,62407,0.0000,1.0000
2017-06-16,41.4000,42.3500,41.4000,42.3500,41.6481,191231,0.0000,1.0000
2017-06-15,41.4000,42.0500,41.4000,41.9500,41.2547,75874,0.0000,1.0000
2017-06-14,41.8500,41.9000,41.3000,41.9000,41.2055,58646,0.0000,1.0000
2017-06-13,41.8000,42.0500,41.5500,42.0000,41.3039,60230,0.0000,1.0000
2017-06-12,42.4500,43.5500,41.4500,41.7000,41.0088,197607,0.0000,1.0000
2017-06-09,42.1000,42.8500,41.8500,42.7000,41.9923,144658,0.0000,1.0000
2017-06-08,41.1500,42.5000,40.6500,41.9500,41.2547,112725,0.0000,1.0000
2017-06-07,40.5500,41.2500,40.1500,41.2500,40.5663,91458,0.0000,1.0000
2017-06-06,40.2500,40.7500,39.9500,40.4000,39.7304,97294,0.0000,1.0000
2017-06-05,41.2500,41.4000,40.4500,40.4500,39.7796,65922,0.0000,1.0000
2017-06-02,40.9000,41.7500,40.8000,41.3500,40.6646,93209,0.0000,1.0000
2017-06-01,40.1000,40.8500,40.0000,40.8500,40.1729,94809,0.0000,1.0000
2017-05-31,40.0000,40.1250,39.4500,40.0500,39.3862,75386,0.0000,1.0000
2017-05-30,39.8500,40.0000,39.2500,39.9000,39.2387,64647,0.0000,1.0000
2017-05-26,40.3500,40.4500,39.9500,39.9500,39.2878,80924,0.0000,1.0000
2017-05-25,40.2000,40.4500,39.9000,40.3500,39.6812,234426,0.0000,1.0000
2017-05-24,40.4500,40.7500,39.7000,40.1500,39.4845,136962,0.0000,1.0000
2017-05-23,40.3500,40.5000,39.9000,40.4500,39.7796,109488,0.0000,1.0000
2017-05-22,40.0000,40.3500,39.7500,40.1500,39.4845,62563,0.0000,1.0000
2017-05-19,39.8000,40.4500,39.8000,39.9500,39.2878,328259,0.0000,1.0000
2017-05-18,39.5000,40.3000,39.3000,39.8000,39.1403,143013,0.0000,1.0000
2017-05-17,39.5500,40.0500,39.4000,39.6500,38.9928,145614,0.0000,1.0000
2017-05-16,40.1000,40.4000,39.8000,40.2500,39.5829,128414,0.0000,1.0000
2017-05-15,39.4000,40.1000,39.4000,40.1000,39.4354,134935,0.0000,1.0000
2017-05-12,40.0500,40.1000,39.0680,39.2000,38.5503,78673,0.0000,1.0000
2017-05-11,40.4500,40.4500,40.0250,40.2500,39.5829,59719,0.0000,1.0000
2017-05-10,40.3500,40.8000,40.3000,40.5500,39.8779,81200,0.0000,1.0000
2017-05-09,40.1500,40.4500,40.0000,40.3500,39.6812,186194,0.0000,1.0000
2017-05-08,40.7000,40.7859,39.8000,40.0000,39.3370,88536,0.1500,1.0000
2017-05-05,41.8500,41.9500,40.5500,40.8000,39.9739,110749,0.0000,1.0000
2017-05-04,41.7500,41.9000,41.4000,41.8000,40.9536,76511,0.0000,1.0000
