timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,5.6200,5.7700,5.6000,5.7000,5.7000,120526,0.0000,1.0000
2018-07-02,5.5300,5.6100,5.4900,5.6000,5.6000,288640,0.0000,1.0000
2018-06-29,5.4900,5.6000,5.4600,5.5800,5.5800,272209,0.0000,1.0000
2018-06-28,5.4300,5.5000,5.4050,5.4700,5.4700,238027,0.0000,1.0000
2018-06-27,5.6200,5.6300,5.3300,5.3700,5.3700,722254,0.0000,1.0000
2018-06-26,5.7400,5.7900,5.6600,5.6800,5.6800,258611,0.0000,1.0000
2018-06-25,5.7300,5.7700,5.6400,5.7300,5.7300,278110,0.0000,1.0000
2018-06-22,5.7300,5.7700,5.5800,5.6600,5.6600,520508,0.0000,1.0000
2018-06-21,5.9800,5.9800,5.7000,5.7100,5.7100,416050,0.0000,1.0000
2018-06-20,5.9500,6.0500,5.8700,5.9700,5.9700,512513,0.0000,1.0000
2018-06-19,5.7300,5.9300,5.7200,5.8400,5.8400,489922,0.0000,1.0000
2018-06-18,5.8400,5.8500,5.7200,5.7700,5.7700,377621,0.0242,1.0000
2018-06-15,5.9900,6.0100,5.8600,5.9700,5.9450,571178,0.0000,1.0000
2018-06-14,6.1500,6.2200,5.9700,5.9800,5.9550,576562,0.0000,1.0000
2018-06-13,5.9700,6.1500,5.8800,6.1200,6.0944,1734116,0.0000,1.0000
2018-06-12,5.9600,6.0150,5.8700,5.9200,5.8952,407847,0.0000,1.0000
2018-06-11,6.1000,6.2050,5.9500,5.9600,5.9351,409301,0.0000,1.0000
2018-06-08,6.1100,6.1500,5.7700,6.0800,6.0546,879965,0.0000,1.0000
2018-06-07,5.7800,5.7900,5.4700,5.7400,5.7160,874331,0.0000,1.0000
2018-06-06,6.0000,6.0500,5.7900,5.8900,5.8654,935152,0.0000,1.0000
2018-06-05,6.3500,6.4000,6.0700,6.0900,6.0645,610653,0.0000,1.0000
2018-06-04,6.3300,6.3800,6.2000,6.3600,6.3334,347481,0.0000,1.0000
2018-06-01,6.4700,6.5200,6.1100,6.2400,6.2139,646800,0.0000,1.0000
2018-05-31,6.3000,6.3450,6.2200,6.2600,6.2338,273775,0.0000,1.0000
2018-05-30,6.3500,6.3600,6.1799,6.2900,6.2637,566737,0.0000,1.0000
2018-05-29,6.3500,6.4800,6.2350,6.3000,6.2736,852216,0.0000,1.0000
2018-05-25,6.8500,6.8900,6.6950,6.7100,6.6819,418234,0.0000,1.0000
2018-05-24,6.8300,6.8500,6.7500,6.8100,6.7815,471670,0.0000,1.0000
2018-05-23,6.8300,6.9750,6.8100,6.9000,6.8711,781532,0.0000,1.0000
2018-05-22,6.7200,6.8500,6.6400,6.8100,6.7815,417162,0.0000,1.0000
2018-05-21,6.4500,6.6100,6.4500,6.5600,6.5326,534496,0.0000,1.0000
2018-05-18,6.3100,6.3750,6.2700,6.3300,6.3035,793825,0.0000,1.0000
2018-05-17,6.6500,6.6550,6.4400,6.4900,6.4629,595977,0.0000,1.0000
2018-05-16,6.6700,6.8300,6.6203,6.6700,6.6421,865303,0.0258,1.0000
2018-05-15,6.5200,6.5800,6.3800,6.5400,6.4875,621052,0.0000,1.0000
2018-05-14,7.0200,7.1100,6.7500,6.8100,6.7554,650702,0.0000,1.0000
2018-05-11,7.2300,7.2500,6.9900,7.0700,7.0133,492399,0.0000,1.0000
2018-05-10,6.9600,7.2700,6.9600,7.1900,7.1323,636795,0.0000,1.0000
2018-05-09,7.0000,7.0100,6.8500,6.8800,6.8248,544982,0.0000,1.0000
2018-05-08,7.1900,7.1900,6.9900,7.0500,6.9934,418071,0.0000,1.0000
2018-05-07,7.3200,7.3300,7.1650,7.1900,7.1323,281798,0.0000,1.0000
2018-05-04,7.2200,7.3900,7.2000,7.3200,7.2613,408628,0.0000,1.0000
2018-05-03,7.3100,7.3400,7.1550,7.2800,7.2216,257588,0.0000,1.0000
2018-05-02,7.4400,7.4800,7.3100,7.3300,7.2712,679037,0.0000,1.0000
2018-05-01,7.6700,7.6700,7.4850,7.5200,7.4597,109698,0.0000,1.0000
2018-04-30,7.7500,7.7750,7.6600,7.6700,7.6085,199534,0.0000,1.0000
2018-04-27,7.6700,7.7400,7.6400,7.7100,7.6481,358640,0.0000,1.0000
