timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,19.4200,19.4900,19.1300,19.1400,19.1400,294333,0.0000,1.0000
2018-07-02,18.9300,19.4100,18.7500,19.4100,19.4100,988975,0.0000,1.0000
2018-06-29,19.3600,19.4050,18.9300,18.9700,18.9700,810622,0.0000,1.0000
2018-06-28,19.0800,19.2300,18.9100,19.2300,19.2300,1366038,0.0000,1.0000
2018-06-27,19.3400,19.4400,19.1300,19.1400,19.1400,1202996,0.0000,1.0000
2018-06-26,19.3100,19.5300,19.2800,19.3400,19.3400,1041314,0.0000,1.0000
2018-06-25,19.5600,19.7100,19.1600,19.2300,19.2300,2109629,0.0000,1.0000
2018-06-22,20.4100,20.4100,19.7200,19.7500,19.7500,2662874,0.0000,1.0000
2018-06-21,20.6400,20.7100,20.2700,20.3400,20.3400,1628136,0.0000,1.0000
2018-06-20,20.7500,20.8199,20.4500,20.7200,20.7200,569351,0.0000,1.0000
2018-06-19,20.4000,20.6700,20.3200,20.6700,20.6700,542482,0.0000,1.0000
2018-06-18,20.2700,20.5950,20.1991,20.5600,20.5600,707216,0.0000,1.0000
2018-06-15,20.0900,20.4200,20.0900,20.3700,20.3700,1008111,0.0000,1.0000
2018-06-14,20.5800,20.7100,20.2200,20.2200,20.2200,821685,0.0000,1.0000
2018-06-13,20.1300,20.2200,20.0400,20.1600,20.1600,549682,0.0000,1.0000
2018-06-12,20.0400,20.2900,19.9500,20.1200,20.1200,653224,0.0000,1.0000
2018-06-11,19.9300,20.1800,19.8400,20.0600,20.0600,860121,0.0000,1.0000
2018-06-08,19.4500,19.9400,19.4500,19.9000,19.9000,729779,0.0000,1.0000
2018-06-07,19.7300,19.8300,19.4300,19.4500,19.4500,770848,0.0000,1.0000
2018-06-06,19.7100,19.7900,19.6300,19.7100,19.7100,866787,0.0000,1.0000
2018-06-05,19.3400,19.7300,19.2100,19.7100,19.7100,1311385,0.0000,1.0000
2018-06-04,19.3900,19.5700,19.2950,19.3400,19.3400,1050691,0.0000,1.0000
2018-06-01,19.0000,19.1950,18.8700,19.1500,19.1500,875042,0.0000,1.0000
2018-05-31,19.1900,19.2200,18.8800,18.9400,18.9400,776020,0.0000,1.0000
2018-05-30,19.4100,19.4890,18.9950,19.1500,19.1500,1019148,0.0000,1.0000
2018-05-29,18.9500,19.2900,18.9400,19.2100,19.2100,977071,0.0000,1.0000
2018-05-25,18.8700,19.0550,18.8700,19.0000,19.0000,752321,0.0000,1.0000
2018-05-24,18.5700,18.8900,18.5200,18.8600,18.8600,1275411,0.0000,1.0000
2018-05-23,18.5600,18.6772,18.4600,18.5800,18.5800,789074,0.0000,1.0000
2018-05-22,18.7300,18.7900,18.4700,18.6000,18.6000,1063160,0.0000,1.0000
2018-05-21,18.5000,18.7850,18.4100,18.7300,18.7300,703315,0.0100,1.0000
2018-05-18,18.3100,18.4400,18.3000,18.4200,18.4102,493333,0.0000,1.0000
2018-05-17,18.1500,18.3150,18.0800,18.2900,18.2802,395355,0.0000,1.0000
2018-05-16,17.9400,18.2250,17.8900,18.1100,18.1003,625594,0.0000,1.0000
2018-05-15,17.8900,17.9900,17.8000,17.9500,17.9404,421635,0.0000,1.0000
2018-05-14,17.9800,18.0000,17.8000,17.8900,17.8805,560988,0.0000,1.0000
2018-05-11,18.1100,18.1300,17.9300,17.9700,17.9604,488481,0.0000,1.0000
2018-05-10,18.3500,18.3500,18.0500,18.1500,18.1403,794165,0.0000,1.0000
2018-05-09,17.7900,18.1900,17.7100,18.1600,18.1503,912521,0.0000,1.0000
2018-05-08,17.5100,17.8500,17.4400,17.7300,17.7205,810866,0.0000,1.0000
2018-05-07,17.3500,17.5700,17.1400,17.5500,17.5406,797584,0.0000,1.0000
2018-05-04,17.1500,17.3000,17.0400,17.2600,17.2508,611274,0.0000,1.0000
2018-05-03,17.2700,17.2890,16.9900,17.1700,17.1608,817270,0.0000,1.0000
2018-05-02,17.2200,17.3300,17.0600,17.2400,17.2308,867143,0.0000,1.0000
2018-05-01,17.0000,17.3000,16.9500,17.2300,17.2208,1486839,0.0000,1.0000
2018-04-30,18.0500,18.0500,17.2200,17.2600,17.2508,1619569,0.0000,1.0000
2018-04-27,17.8300,18.4500,17.8300,17.9500,17.9404,2964787,0.0000,1.0000
2018-04-26,16.8000,16.9600,16.6200,16.8000,16.7910,903073,0.0000,1.0000
2018-04-25,16.7000,16.8200,16.5900,16.7000,16.6911,894816,0.0000,1.0000
2018-04-24,17.0200,17.1000,16.6750,16.7400,16.7311,1068536,0.0000,1.0000
2018-04-23,16.5000,16.8250,16.4550,16.8100,16.8010,965063,0.0000,1.0000
2018-04-20,16.4900,16.8400,16.4400,16.4800,16.4712,968595,0.0000,1.0000
2018-04-19,16.3500,16.5150,16.1200,16.4600,16.4512,958861,0.0000,1.0000
2018-04-18,17.0500,17.0900,16.3500,16.3900,16.3813,2267711,0.0000,1.0000
2018-04-17,17.6400,17.7500,17.4800,17.7100,17.7005,737311,0.0000,1.0000
2018-04-16,17.4300,17.5000,17.3150,17.4700,17.4607,608331,0.0000,1.0000
2018-04-13,17.4000,17.4850,17.2600,17.3700,17.3607,1266683,0.0000,1.0000
2018-04-12,17.3700,17.4100,17.0800,17.4000,17.3907,1415281,0.0000,1.0000
2018-04-11,17.0000,17.3700,16.9010,17.3500,17.3407,1071816,0.0000,1.0000
2018-04-10,16.8200,16.9700,16.7500,16.9300,16.9210,761884,0.0000,1.0000
2018-04-09,16.8600,16.8600,16.5800,16.6400,16.6311,763968,0.0000,1.0000
2018-04-06,16.9600,17.2400,16.6000,16.8400,16.8310,1213979,0.0000,1.0000
2018-04-05,16.8400,17.0000,16.7500,17.0000,16.9909,723330,0.0000,1.0000
2018-04-04,16.3400,16.7500,16.2008,16.7200,16.7111,652040,0.0000,1.0000
2018-04-03,16.2500,16.5100,16.1200,16.4700,16.4612,821250,0.0000,1.0000
2018-04-02,16.3200,16.4350,16.0500,16.1800,16.1714,861088,0.0000,1.0000
2018-03-29,16.3700,16.5100,16.3400,16.3600,16.3513,1003409,0.0000,1.0000
2018-03-28,16.3400,16.5800,16.2500,16.2600,16.2513,984990,0.0000,1.0000
2018-03-27,16.5000,16.6750,16.3300,16.3800,16.3713,830104,0.0000,1.0000
2018-03-26,16.5300,16.6700,16.3000,16.4500,16.4412,726475,0.0000,1.0000
2018-03-23,16.2600,16.5000,16.2600,16.3900,16.3813,1079969,0.0000,1.0000
2018-03-22,16.3000,16.5900,16.2300,16.2300,16.2213,766467,0.0000,1.0000
2018-03-21,16.3500,16.5000,16.2800,16.4200,16.4112,1210315,0.0000,1.0000
2018-03-20,16.0800,16.3600,16.0700,16.2900,16.2813,753882,0.0000,1.0000
