timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,5.1500,5.3000,5.1300,5.3000,5.3000,43555,0.0000,1.0000
2018-07-02,5.1200,5.2700,5.1200,5.1300,5.1300,102279,0.0000,1.0000
2018-06-29,5.1000,5.2100,5.0700,5.1900,5.1900,141921,0.0000,1.0000
2018-06-28,5.0400,5.1200,4.9700,5.1000,5.1000,152042,0.0000,1.0000
2018-06-27,5.4400,5.4400,5.0600,5.0600,5.0600,139497,0.0000,1.0000
2018-06-26,5.3000,5.4600,5.2500,5.4500,5.4500,116501,0.0000,1.0000
2018-06-25,5.2200,5.4800,5.2200,5.3100,5.3100,112512,0.0000,1.0000
2018-06-22,5.4000,5.4000,5.2000,5.2400,5.2400,703152,0.0000,1.0000
2018-06-21,5.5000,5.5200,5.3400,5.3700,5.3700,140910,0.0000,1.0000
2018-06-20,5.4800,5.5100,5.3700,5.4900,5.4900,96755,0.0000,1.0000
2018-06-19,5.4900,5.5400,5.4000,5.4800,5.4800,119232,0.0000,1.0000
2018-06-18,5.5100,5.5800,5.3500,5.5400,5.5400,151913,0.0000,1.0000
2018-06-15,5.8300,5.8300,5.5300,5.5500,5.5500,194119,0.0000,1.0000
2018-06-14,5.9800,6.0100,5.7500,5.8500,5.8500,381393,0.0000,1.0000
2018-06-13,6.0800,6.1100,5.9150,5.9800,5.9800,170703,0.0000,1.0000
2018-06-12,6.1500,6.1800,5.9550,6.1000,6.1000,517099,0.0000,1.0000
2018-06-11,6.5700,6.7290,6.5700,6.7000,6.7000,313009,0.0000,1.0000
2018-06-08,6.6200,6.7250,6.5600,6.5800,6.5800,119956,0.0000,1.0000
2018-06-07,6.5400,6.6600,6.5400,6.6100,6.6100,116810,0.0000,1.0000
2018-06-06,6.4900,6.5800,6.4200,6.5000,6.5000,255886,0.0000,1.0000
2018-06-05,6.4800,6.5700,6.4100,6.5100,6.5100,56360,0.0000,1.0000
2018-06-04,6.6000,6.6600,6.4500,6.4900,6.4900,81324,0.0000,1.0000
2018-06-01,6.5700,6.6700,6.4800,6.5900,6.5900,106883,0.0000,1.0000
2018-05-31,6.5800,6.5800,6.4600,6.5000,6.5000,134996,0.0000,1.0000
2018-05-30,6.6000,6.7600,6.5500,6.5800,6.5800,87786,0.0000,1.0000
2018-05-29,6.5600,6.5900,6.4110,6.5400,6.5400,133294,0.0000,1.0000
2018-05-25,6.5300,6.6500,6.5300,6.5700,6.5700,68368,0.0000,1.0000
2018-05-24,6.7000,6.7000,6.5200,6.5400,6.5400,60620,0.0000,1.0000
2018-05-23,6.4600,6.7200,6.4400,6.6900,6.6900,125066,0.0000,1.0000
2018-05-22,6.5400,6.5700,6.4000,6.4700,6.4700,107019,0.0000,1.0000
2018-05-21,6.5100,6.5931,6.5050,6.5500,6.5500,57129,0.0000,1.0000
2018-05-18,6.8200,6.8904,6.4500,6.4800,6.4800,144164,0.0000,1.0000
