timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,15.4000,15.4200,15.2200,15.2200,15.2200,96338,0.0000,1.0000
2018-07-02,15.3300,15.3500,15.2600,15.2900,15.2900,76330,0.0000,1.0000
2018-06-29,15.3900,15.4600,15.3300,15.3300,15.3300,150152,0.0000,1.0000
2018-06-28,15.3200,15.3500,15.1900,15.2900,15.2900,179102,0.0000,1.0000
2018-06-27,15.4600,15.6100,15.2900,15.3184,15.3184,76939,0.0000,1.0000
2018-06-26,15.5300,15.5750,15.4400,15.4600,15.4600,106640,0.0000,1.0000
2018-06-25,15.6600,15.6600,15.3900,15.4800,15.4800,120157,0.0000,1.0000
2018-06-22,15.7600,15.8200,15.6510,15.7000,15.7000,87473,0.0000,1.0000
2018-06-21,15.7800,15.8000,15.6300,15.6500,15.6500,87385,0.0864,1.0000
2018-06-20,15.9600,15.9900,15.8200,15.8300,15.7431,103935,0.0000,1.0000
2018-06-19,15.9600,15.9600,15.8402,15.8800,15.7928,71621,0.0000,1.0000
2018-06-18,16.1200,16.1200,15.9200,15.9600,15.8724,49170,0.0000,1.0000
2018-06-15,16.4600,16.4600,16.0100,16.0500,15.9619,43495,0.0000,1.0000
2018-06-14,16.0400,16.0700,16.0000,16.0600,15.9718,70910,0.0000,1.0000
2018-06-13,15.9600,16.0133,15.9200,15.9700,15.8823,55960,0.0000,1.0000
2018-06-12,15.9000,15.9400,15.8700,15.9200,15.8326,103404,0.0000,1.0000
2018-06-11,15.8000,15.9200,15.8000,15.8700,15.7829,79192,0.0000,1.0000
2018-06-08,15.8000,15.8490,15.8000,15.8000,15.7133,79925,0.0000,1.0000
2018-06-07,15.8100,15.8700,15.7900,15.8200,15.7331,119799,0.0000,1.0000
2018-06-06,15.7900,15.8100,15.7500,15.7700,15.6834,107526,0.0000,1.0000
2018-06-05,15.7500,15.8200,15.6900,15.8100,15.7232,92193,0.0000,1.0000
2018-06-04,15.6500,15.7700,15.5700,15.7300,15.6436,163711,0.0000,1.0000
2018-06-01,15.5500,15.6300,15.5100,15.6100,15.5243,124715,0.0000,1.0000
2018-05-31,15.5500,15.5700,15.4400,15.4700,15.3851,109297,0.0000,1.0000
2018-05-30,15.4400,15.5600,15.4400,15.5300,15.4447,115088,0.0000,1.0000
2018-05-29,15.4800,15.5000,15.3222,15.3800,15.2956,106752,0.0000,1.0000
2018-05-25,15.6100,15.6300,15.4800,15.5100,15.4248,61637,0.0000,1.0000
2018-05-24,15.7000,15.7900,15.5900,15.6100,15.5243,144853,0.0000,1.0000
2018-05-23,15.6100,15.7200,15.5900,15.6200,15.5342,116396,0.0864,1.0000
2018-05-22,15.8800,15.8800,15.7000,15.7400,15.5675,157991,0.0000,1.0000
2018-05-21,15.5900,15.8300,15.5900,15.8100,15.6367,87623,0.0000,1.0000
