timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,64.6500,65.7000,64.3000,65.1600,65.1600,262015,0.0000,1.0000
2018-07-02,64.7800,65.1600,64.0500,64.6000,64.6000,496025,0.0000,1.0000
2018-06-29,65.0300,65.3800,64.3600,64.7900,64.7900,491868,0.0000,1.0000
2018-06-28,64.7800,65.2500,64.3100,65.1700,65.1700,674765,0.3600,1.0000
2018-06-27,65.7000,66.0100,65.0600,65.0700,64.7125,384313,0.0000,1.0000
2018-06-26,65.5500,66.0715,65.1950,65.5000,65.1402,484042,0.0000,1.0000
2018-06-25,65.5500,65.8299,65.1300,65.5300,65.1700,415390,0.0000,1.0000
2018-06-22,65.6600,65.8800,65.2400,65.6800,65.3192,815128,0.0000,1.0000
2018-06-21,66.0000,66.1700,65.1650,65.4100,65.0507,463858,0.0000,1.0000
2018-06-20,64.9000,66.1700,64.6500,66.0600,65.6971,505725,0.0000,1.0000
2018-06-19,64.6600,65.1600,64.5650,64.7900,64.4341,591026,0.0000,1.0000
2018-06-18,64.2700,64.9700,64.1400,64.8300,64.4738,767732,0.0000,1.0000
2018-06-15,63.7500,64.4400,63.5700,64.3700,64.0164,1533014,0.0000,1.0000
2018-06-14,62.2400,63.7300,62.0500,63.6300,63.2804,576653,0.0000,1.0000
2018-06-13,63.1400,63.5000,61.7800,62.1200,61.7787,468327,0.0000,1.0000
2018-06-12,62.4100,63.6000,62.2500,62.9800,62.6340,639321,0.0000,1.0000
2018-06-11,62.6000,62.9200,62.1100,62.4900,62.1467,427427,0.0000,1.0000
2018-06-08,62.2700,63.0700,62.0600,62.5800,62.2362,538766,0.0000,1.0000
2018-06-07,61.9900,62.5000,61.7000,62.3800,62.0373,442138,0.0000,1.0000
2018-06-06,61.7400,62.3000,61.6100,61.8600,61.5202,644942,0.0000,1.0000
2018-06-05,62.3200,62.5000,61.6100,61.8000,61.4605,393853,0.0000,1.0000
2018-06-04,61.2700,62.1900,61.2700,62.1000,61.7588,615734,0.0000,1.0000
2018-06-01,61.5100,61.7750,61.1000,61.2500,60.9135,414467,0.0000,1.0000
2018-05-31,61.3500,61.7500,61.1800,61.3900,61.0527,527032,0.0000,1.0000
2018-05-30,61.3300,62.0600,59.8020,61.5300,61.1920,592128,0.0000,1.0000
2018-05-29,61.0700,62.0700,60.5900,61.6900,61.3511,514945,0.0000,1.0000
2018-05-25,60.8300,61.3300,60.8100,61.0700,60.7345,213373,0.0000,1.0000
2018-05-24,61.5100,61.6600,60.4200,60.8700,60.5356,371364,0.0000,1.0000
2018-05-23,60.2900,61.5100,60.2300,60.6800,60.3466,418520,0.0000,1.0000
2018-05-22,60.2900,60.4500,59.9200,60.1900,59.8593,393242,0.0000,1.0000
2018-05-21,59.0700,60.5200,58.8000,60.2900,59.9588,646079,0.0000,1.0000
2018-05-18,58.1200,58.6000,57.8500,58.5300,58.2085,372201,0.0000,1.0000
2018-05-17,58.3900,58.7000,57.9800,58.0700,57.7510,410662,0.0000,1.0000
2018-05-16,59.1700,59.6000,58.3800,58.3900,58.0692,498889,0.0000,1.0000
2018-05-15,59.5100,59.5100,58.7100,58.9400,58.6162,1312086,0.0000,1.0000
2018-05-14,60.0100,60.1900,59.4600,59.7000,59.3720,380937,0.0000,1.0000
2018-05-11,60.9900,60.9900,59.9100,60.0800,59.7499,607644,0.0000,1.0000
2018-05-10,59.9300,60.6500,59.8600,60.5400,60.2074,475215,0.0000,1.0000
2018-05-09,58.4500,59.8500,58.0600,59.6600,59.3322,991756,0.0000,1.0000
2018-05-08,57.7100,57.8600,56.9800,57.6500,57.3333,713548,0.0000,1.0000
2018-05-07,56.0000,57.6200,56.0000,57.6100,57.2935,714264,0.0000,1.0000
2018-05-04,55.4700,56.0900,55.4200,55.9700,55.6625,396360,0.0000,1.0000
2018-05-03,55.2800,55.7200,54.9400,55.5000,55.1951,360843,0.0000,1.0000
2018-05-02,55.3300,55.6900,54.6200,55.2800,54.9763,378711,0.0000,1.0000
2018-05-01,55.0000,55.7100,54.6000,55.4900,55.1852,362687,0.0000,1.0000
2018-04-30,55.6400,55.9000,54.9300,55.0200,54.7177,444173,0.0000,1.0000
2018-04-27,54.7000,55.6200,54.7000,55.4500,55.1454,470461,0.3600,1.0000
2018-04-26,54.3900,55.3600,54.2300,55.0800,54.4241,409815,0.0000,1.0000
2018-04-25,53.3400,54.2800,53.0900,54.2300,53.5842,480570,0.0000,1.0000
2018-04-24,53.2300,53.8600,52.8400,53.4500,52.8135,614089,0.0000,1.0000
2018-04-23,53.4400,53.6700,52.8000,53.0400,52.4084,478859,0.0000,1.0000
2018-04-20,54.3500,54.5750,53.1600,53.3500,52.7147,497273,0.0000,1.0000
2018-04-19,54.8900,54.8900,53.9598,54.3400,53.6929,467007,0.0000,1.0000
2018-04-18,55.0500,55.6400,54.9400,55.0300,54.3747,308616,0.0000,1.0000
2018-04-17,54.9200,55.3625,54.7200,54.9700,54.3154,463536,0.0000,1.0000
2018-04-16,54.5500,55.0000,54.3000,54.7700,54.1178,343335,0.0000,1.0000
2018-04-13,54.3700,54.8000,54.1000,54.4600,53.8115,566088,0.0000,1.0000
2018-04-12,55.1800,55.1800,54.1983,54.4200,53.7719,394169,0.0000,1.0000
2018-04-11,54.8200,55.5400,54.8200,55.0600,54.4043,328118,0.0000,1.0000
2018-04-10,55.2400,55.3300,54.6400,54.8500,54.1968,640744,0.0000,1.0000
2018-04-09,56.5700,56.5700,54.9000,54.9300,54.2759,707009,0.0000,1.0000
2018-04-06,55.7000,56.8200,55.7000,56.4000,55.7284,695684,0.0000,1.0000
2018-04-05,55.1600,56.1800,54.7000,56.0000,55.3331,779761,0.0000,1.0000
2018-04-04,54.6400,55.4700,54.4600,55.1500,54.4932,694319,0.0000,1.0000
2018-04-03,54.6900,55.4400,54.0800,55.1700,54.5130,575697,0.0000,1.0000
2018-04-02,55.3800,55.6900,53.8800,54.4100,53.7620,545223,0.0000,1.0000
2018-03-29,55.8100,56.0000,54.9600,55.4000,54.7403,769047,0.0000,1.0000
2018-03-28,54.4200,55.8600,54.4200,55.7800,55.1157,429391,0.3600,1.0000
2018-03-27,53.6900,55.2000,53.2500,54.4400,53.4467,535505,0.0000,1.0000
2018-03-26,54.2100,54.2100,53.2700,53.6900,52.7104,810070,0.0000,1.0000
2018-03-23,55.3500,55.5200,54.0750,54.2100,53.2209,493447,0.0000,1.0000
2018-03-22,55.6300,56.4600,55.5000,55.5200,54.5070,585982,0.0000,1.0000
2018-03-21,56.0500,56.3400,55.6000,55.9300,54.9096,882032,0.0000,1.0000
2018-03-20,56.2300,56.7000,56.1400,56.3200,55.2924,331522,0.0000,1.0000
2018-03-19,56.5000,56.5600,56.0780,56.3400,55.3121,398666,0.0000,1.0000
2018-03-16,56.3800,56.9400,55.9500,56.7800,55.7441,621255,0.0000,1.0000
2018-03-15,56.1800,56.3200,55.7400,56.2700,55.2434,626723,0.0000,1.0000
2018-03-14,56.4100,56.5800,56.0300,56.2900,55.2630,354271,0.0000,1.0000
2018-03-13,56.6500,57.1800,56.2100,56.3000,55.2728,547526,0.0000,1.0000
2018-03-12,56.2000,56.8400,56.0310,56.5800,55.5477,469286,0.0000,1.0000
2018-03-09,55.8500,56.1600,55.1001,56.1600,55.1354,522652,0.0000,1.0000
2018-03-08,56.0100,56.1900,55.6000,55.8500,54.8310,511233,0.0000,1.0000
2018-03-07,55.9000,56.3900,55.5100,56.1300,55.1059,520346,0.0000,1.0000
2018-03-06,55.4800,56.2500,55.0210,55.9700,54.9488,572108,0.0000,1.0000
2018-03-05,53.7000,55.6500,53.7000,55.4600,54.4481,1071969,0.0000,1.0000
2018-03-02,52.6800,54.7700,52.3000,54.2200,53.2308,1065522,0.0000,1.0000
2018-03-01,54.2500,54.8800,51.8700,53.1800,52.2097,3251961,0.0000,1.0000
