timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,20.6800,20.8400,20.6700,20.7900,20.7900,1034034,0.0000,1.0000
2018-07-02,20.4900,20.7300,20.4200,20.6300,20.6300,1500278,0.0000,1.0000
2018-06-29,20.4500,20.7300,20.4500,20.6100,20.6100,2350757,0.0000,1.0000
2018-06-28,20.2500,20.5100,19.9000,20.2500,20.2500,2183447,0.0000,1.0000
2018-06-27,20.7500,20.9400,20.1500,20.2200,20.2200,2331973,0.0000,1.0000
2018-06-26,21.1700,21.1700,20.7800,20.8200,20.8200,2263083,0.0000,1.0000
2018-06-25,21.4700,21.4900,21.0200,21.1000,21.1000,2149227,0.0000,1.0000
2018-06-22,21.2900,21.7700,21.2400,21.6900,21.6900,10002867,0.0000,1.0000
2018-06-21,21.1800,21.3800,21.0210,21.2100,21.2100,1858367,0.0000,1.0000
2018-06-20,21.0800,21.5500,20.9200,21.1300,21.1300,4755567,0.0000,1.0000
2018-06-19,20.8500,20.9800,20.5200,20.9000,20.9000,2577404,0.0000,1.0000
2018-06-18,20.9600,21.2700,20.7600,20.9300,20.9300,1970661,0.0000,1.0000
2018-06-15,21.1500,21.5800,20.7500,21.1200,21.1200,8032703,0.0000,1.0000
2018-06-14,21.6000,21.7900,21.1300,21.2000,21.2000,3660452,0.0000,1.0000
2018-06-13,21.3700,21.8000,21.3050,21.6300,21.6300,3452343,0.0000,1.0000
2018-06-12,21.3500,21.5000,21.1600,21.3800,21.3800,2399909,0.0000,1.0000
2018-06-11,21.1100,21.7500,21.0100,21.3400,21.3400,2892171,0.0000,1.0000
2018-06-08,21.2000,21.5000,21.0300,21.0600,21.0600,2189235,0.0000,1.0000
2018-06-07,21.4000,21.5200,21.0100,21.2600,21.2600,2150172,0.0000,1.0000
2018-06-06,21.5800,21.8100,21.2500,21.3800,21.3800,2174255,0.0000,1.0000
2018-06-05,21.6800,21.7400,21.2200,21.4800,21.4800,5102017,0.0000,1.0000
2018-06-04,21.8100,22.2500,21.6000,21.6800,21.6800,3616445,0.0000,1.0000
2018-06-01,21.5000,21.7500,21.1100,21.5400,21.5400,3026086,0.0000,1.0000
2018-05-31,21.3300,21.4900,20.9500,21.3600,21.3600,2681880,0.0000,1.0000
2018-05-30,21.3500,21.5350,20.7500,21.4400,21.4400,4279337,0.0000,1.0000
2018-05-29,21.8200,21.8800,20.5100,20.7400,20.7400,4339630,0.0000,1.0000
2018-05-25,21.8400,21.9700,21.6800,21.9500,21.9500,1285265,0.0000,1.0000
2018-05-24,21.7800,21.9900,21.3900,21.7800,21.7800,3575964,0.0000,1.0000
2018-05-23,21.7700,21.9100,21.3900,21.7200,21.7200,4198694,0.0000,1.0000
2018-05-22,21.9000,22.0000,21.7000,21.8500,21.8500,2382340,0.0000,1.0000
2018-05-21,21.6100,21.9200,21.5000,21.8600,21.8600,2321792,0.0000,1.0000
2018-05-18,21.6700,21.8000,21.5000,21.5800,21.5800,1774991,0.0000,1.0000
2018-05-17,21.6000,21.8900,21.3200,21.6800,21.6800,3960796,0.0000,1.0000
2018-05-16,21.5000,21.7500,21.3010,21.6000,21.6000,14211001,0.0000,1.0000
2018-05-15,21.3900,21.6700,21.2201,21.6000,21.6000,4338989,0.0000,1.0000
2018-05-14,21.5200,21.6900,21.2500,21.5000,21.5000,3064662,0.0000,1.0000
2018-05-11,20.4000,21.5000,20.3900,21.3900,21.3900,11193415,0.0000,1.0000
2018-05-10,19.7500,20.5000,19.5000,20.3400,20.3400,32487624,0.0000,1.0000
