timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,13.1500,13.1500,12.7800,12.9200,12.9200,21512,0.0000,1.0000
2018-07-02,12.8500,13.0900,12.5900,13.0700,13.0700,45589,0.0000,1.0000
2018-06-29,13.4700,13.4900,12.9050,12.9500,12.9500,42682,0.0000,1.0000
2018-06-28,13.5200,13.5600,13.3200,13.4400,13.4400,27517,0.0000,1.0000
2018-06-27,13.6900,13.9800,13.4900,13.5100,13.5100,36372,0.0000,1.0000
2018-06-26,13.4600,13.7000,13.3000,13.6400,13.6400,51348,0.0000,1.0000
2018-06-25,13.7000,13.7000,13.3400,13.4300,13.4300,47411,0.0000,1.0000
2018-06-22,13.7500,13.8900,13.4400,13.7700,13.7700,197713,0.0000,1.0000
2018-06-21,13.8900,13.8900,13.4000,13.4800,13.4800,51170,0.0000,1.0000
2018-06-20,13.8300,14.0000,13.5600,13.8800,13.8800,31035,0.0000,1.0000
2018-06-19,13.5800,13.8300,13.4700,13.7600,13.7600,38670,0.0000,1.0000
2018-06-18,13.2600,13.8000,13.2600,13.7200,13.7200,47118,0.0000,1.0000
2018-06-15,12.9000,13.3300,12.7500,13.3000,13.3000,128071,0.0000,1.0000
2018-06-14,13.0300,13.1600,12.8600,12.9200,12.9200,52644,0.0000,1.0000
2018-06-13,13.1100,13.2700,12.9500,12.9900,12.9900,27773,0.0000,1.0000
2018-06-12,12.9600,13.2017,12.8800,13.1100,13.1100,26020,0.0000,1.0000
2018-06-11,12.8200,13.0500,12.8200,12.9600,12.9600,40027,0.0000,1.0000
2018-06-08,12.9100,12.9500,12.7300,12.8500,12.8500,70137,0.0000,1.0000
2018-06-07,12.8800,12.9800,12.7900,12.8600,12.8600,17109,0.0000,1.0000
2018-06-06,13.0000,13.0000,12.7500,12.8600,12.8600,41661,0.0000,1.0000
2018-06-05,12.6800,13.0300,12.5001,13.0000,13.0000,35024,0.0000,1.0000
2018-06-04,12.8200,12.8800,12.5400,12.5700,12.5700,79102,0.0000,1.0000
2018-06-01,13.0100,13.0100,12.6600,12.8000,12.8000,60250,0.0000,1.0000
2018-05-31,13.1600,13.1600,12.8500,12.9300,12.9300,38759,0.0000,1.0000
2018-05-30,13.0500,13.3550,12.9600,13.0300,13.0300,53771,0.0000,1.0000
2018-05-29,12.7400,13.0300,12.7400,12.9200,12.9200,41980,0.0000,1.0000
2018-05-25,12.9900,12.9900,12.6900,12.8600,12.8600,37836,0.0000,1.0000
2018-05-24,12.7100,13.1800,12.7000,13.1300,13.1300,55492,0.0000,1.0000
2018-05-23,12.5400,12.8300,12.5100,12.8200,12.8200,57225,0.0000,1.0000
2018-05-22,12.5300,12.9200,12.5300,12.6200,12.6200,78240,0.0000,1.0000
2018-05-21,12.5600,12.8500,12.4400,12.8300,12.8300,34133,0.0000,1.0000
2018-05-18,12.7500,12.7800,12.4500,12.4800,12.4800,38709,0.0000,1.0000
