timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,9.4400,9.4800,9.4400,9.4500,9.4500,170868,0.0000,1.0000
2018-07-02,9.4300,9.4900,9.4000,9.4000,9.4000,274875,0.0000,1.0000
2018-06-29,9.4700,9.5100,9.4300,9.4300,9.4300,321013,0.0000,1.0000
2018-06-28,9.4700,9.4816,9.3700,9.4200,9.4200,477341,0.0000,1.0000
2018-06-27,9.5800,9.6000,9.4500,9.4600,9.4600,229714,0.0000,1.0000
2018-06-26,9.5700,9.6000,9.5400,9.5600,9.5600,211228,0.0000,1.0000
2018-06-25,9.6000,9.6200,9.5500,9.5900,9.5900,376367,0.0000,1.0000
2018-06-22,9.5800,9.6500,9.5700,9.6200,9.6200,157058,0.0000,1.0000
2018-06-21,9.6100,9.6500,9.5400,9.5400,9.5400,301616,0.0760,1.0000
2018-06-20,9.7400,9.7699,9.6500,9.6500,9.5737,404104,0.0000,1.0000
2018-06-19,9.7000,9.7300,9.6200,9.7100,9.6333,219091,0.0000,1.0000
2018-06-18,9.6900,9.7400,9.6700,9.7300,9.6531,217714,0.0000,1.0000
2018-06-15,9.7000,9.7300,9.6400,9.7100,9.6333,242553,0.0000,1.0000
2018-06-14,9.7000,9.7400,9.6212,9.7100,9.6333,456885,0.0000,1.0000
2018-06-13,9.6600,9.7000,9.6592,9.6900,9.6134,312964,0.0000,1.0000
2018-06-12,9.5600,9.6700,9.5401,9.6500,9.5737,385274,0.0000,1.0000
2018-06-11,9.4500,9.5759,9.4400,9.5400,9.4646,673502,0.0000,1.0000
2018-06-08,9.4200,9.4500,9.4012,9.4300,9.3555,119247,0.0000,1.0000
2018-06-07,9.4500,9.4700,9.3900,9.4000,9.3257,452024,0.0000,1.0000
2018-06-06,9.4700,9.4700,9.3900,9.4000,9.3257,355442,0.0000,1.0000
2018-06-05,9.4400,9.4600,9.4330,9.4500,9.3753,229281,0.0000,1.0000
2018-06-04,9.3900,9.4500,9.3900,9.4400,9.3654,391186,0.0000,1.0000
2018-06-01,9.3400,9.4200,9.3400,9.3700,9.2959,166393,0.0000,1.0000
2018-05-31,9.4000,9.4000,9.3200,9.3200,9.2463,237620,0.0000,1.0000
2018-05-30,9.3300,9.3900,9.3300,9.3800,9.3059,138574,0.0000,1.0000
2018-05-29,9.2700,9.3000,9.2400,9.3000,9.2265,224563,0.0000,1.0000
2018-05-25,9.3400,9.3700,9.2700,9.2700,9.1967,369616,0.0000,1.0000
2018-05-24,9.3100,9.3600,9.2800,9.3500,9.2761,283546,0.0000,1.0000
2018-05-23,9.3200,9.3400,9.2713,9.3100,9.2364,127036,0.0760,1.0000
2018-05-22,9.4200,9.4400,9.4000,9.4100,9.2600,200399,0.0000,1.0000
2018-05-21,9.3600,9.4300,9.3600,9.4300,9.2797,178059,0.0000,1.0000
2018-05-18,9.3800,9.3949,9.3300,9.3400,9.1912,232625,0.0000,1.0000
2018-05-17,9.4200,9.4310,9.3600,9.3600,9.2108,214246,0.0000,1.0000
2018-05-16,9.3900,9.4400,9.3873,9.4200,9.2699,244777,0.0000,1.0000
2018-05-15,9.3600,9.4000,9.3300,9.3900,9.2404,167599,0.0000,1.0000
2018-05-14,9.3800,9.4200,9.3600,9.3700,9.2207,139203,0.0000,1.0000
2018-05-11,9.3700,9.3900,9.3410,9.3600,9.2108,128993,0.0000,1.0000
2018-05-10,9.3500,9.4000,9.3300,9.3400,9.1912,175299,0.0000,1.0000
2018-05-09,9.2600,9.3400,9.2600,9.3200,9.1715,113760,0.0000,1.0000
2018-05-08,9.2800,9.3199,9.2400,9.2500,9.1026,150978,0.0000,1.0000
2018-05-07,9.2300,9.3050,9.2201,9.2900,9.1419,242690,0.0000,1.0000
2018-05-04,9.1300,9.2200,9.1300,9.2100,9.0632,139091,0.0000,1.0000
2018-05-03,9.2100,9.2100,9.1300,9.1500,9.0042,233453,0.0000,1.0000
2018-05-02,9.2300,9.2400,9.2100,9.2400,9.0927,121691,0.0000,1.0000
2018-05-01,9.2300,9.2400,9.1900,9.2300,9.0829,163821,0.0000,1.0000
2018-04-30,9.2500,9.2700,9.2200,9.2200,9.0731,225153,0.0000,1.0000
2018-04-27,9.1900,9.2500,9.1700,9.2300,9.0829,141135,0.0000,1.0000
2018-04-26,9.1400,9.1850,9.1400,9.1500,9.0042,173866,0.0000,1.0000
2018-04-25,9.1500,9.1599,9.0800,9.1100,8.9648,115717,0.0000,1.0000
2018-04-24,9.1900,9.2200,9.1200,9.1700,9.0239,240500,0.0000,1.0000
2018-04-23,9.1800,9.1900,9.1400,9.1500,9.0042,158532,0.0000,1.0000
2018-04-20,9.1500,9.1800,9.1300,9.1700,9.0239,218552,0.0760,1.0000
2018-04-19,9.2000,9.2500,9.1901,9.2300,9.0082,227307,0.0000,1.0000
2018-04-18,9.2000,9.2500,9.1810,9.2100,8.9887,182856,0.0000,1.0000
2018-04-17,9.1900,9.2100,9.1600,9.2000,8.9790,303848,0.0000,1.0000
2018-04-16,9.1100,9.1700,9.0800,9.1600,8.9399,179792,0.0000,1.0000
2018-04-13,9.1400,9.1535,9.0700,9.0700,8.8521,167780,0.0000,1.0000
2018-04-12,9.1100,9.1600,9.0900,9.1200,8.9009,109513,0.0000,1.0000
2018-04-11,9.0600,9.1300,9.0600,9.1100,8.8911,158131,0.0000,1.0000
2018-04-10,9.0600,9.1200,9.0393,9.0800,8.8618,235207,0.0000,1.0000
2018-04-09,9.0000,9.1700,8.9700,8.9800,8.7643,138138,0.0000,1.0000
2018-04-06,9.0000,9.0700,8.9400,8.9600,8.7447,208881,0.0000,1.0000
2018-04-05,9.0300,9.0500,9.0000,9.0500,8.8326,156971,0.0000,1.0000
2018-04-04,8.9000,9.0100,8.8900,8.9900,8.7740,438393,0.0000,1.0000
2018-04-03,8.9300,8.9990,8.8900,8.9800,8.7643,166495,0.0000,1.0000
2018-04-02,8.9800,8.9900,8.8200,8.9000,8.6862,342065,0.0000,1.0000
2018-03-29,8.9800,9.0500,8.9524,8.9900,8.7740,259873,0.0000,1.0000
2018-03-28,8.9200,8.9898,8.8850,8.9300,8.7155,162297,0.0000,1.0000
2018-03-27,9.0500,9.0500,8.8850,8.9000,8.6862,357450,0.0000,1.0000
2018-03-26,8.9200,9.0512,8.9100,9.0200,8.8033,200130,0.0000,1.0000
2018-03-23,8.9600,9.0174,8.8400,8.8600,8.6471,315913,0.0000,1.0000
2018-03-22,9.0800,9.0900,8.9600,8.9600,8.7447,296149,0.0000,1.0000
2018-03-21,9.1300,9.1600,9.0819,9.1000,8.8814,170791,0.0760,1.0000
2018-03-20,9.1700,9.2200,9.1550,9.1700,8.8756,127513,0.0000,1.0000
2018-03-19,9.2100,9.2200,9.1300,9.1800,8.8852,275909,0.0000,1.0000
2018-03-16,9.1800,9.2400,9.1600,9.2200,8.9240,272425,0.0000,1.0000
2018-03-15,9.1700,9.2300,9.1698,9.1800,8.8852,212633,0.0000,1.0000
2018-03-14,9.2700,9.2800,9.1400,9.1800,8.8852,260772,0.0000,1.0000
2018-03-13,9.2900,9.3000,9.2400,9.2600,8.9627,127874,0.0000,1.0000
2018-03-12,9.3000,9.3300,9.2500,9.2600,8.9627,245276,0.0000,1.0000
2018-03-09,9.2600,9.3300,9.2600,9.3000,9.0014,149728,0.0000,1.0000
2018-03-08,9.2000,9.2400,9.1800,9.2300,8.9336,151848,0.0000,1.0000
2018-03-07,9.1300,9.1800,9.1100,9.1800,8.8852,233904,0.0000,1.0000
2018-03-06,9.1800,9.1898,9.1300,9.1400,8.8465,197306,0.0000,1.0000
2018-03-05,9.0700,9.1632,9.0700,9.1400,8.8465,145696,0.0000,1.0000
2018-03-02,9.0700,9.1190,9.0100,9.1000,8.8078,169467,0.0000,1.0000
2018-03-01,9.1400,9.1800,9.0300,9.0900,8.7981,209377,0.0000,1.0000
2018-02-28,9.2000,9.2390,9.1200,9.1200,8.8272,297220,0.0000,1.0000
2018-02-27,9.2800,9.2899,9.1900,9.2000,8.9046,206651,0.0000,1.0000
2018-02-26,9.2600,9.3500,9.2300,9.2600,8.9627,338561,0.0000,1.0000
2018-02-23,9.2000,9.2500,9.1979,9.2200,8.9240,136054,0.0000,1.0000
2018-02-22,9.2000,9.2400,9.1700,9.1800,8.8852,162262,0.0000,1.0000
2018-02-21,9.2200,9.2500,9.1900,9.2100,8.9143,173483,0.0000,1.0000
2018-02-20,9.2200,9.2400,9.1700,9.2000,8.9046,320378,0.0760,1.0000
2018-02-16,9.2600,9.3400,9.2100,9.3000,8.9276,355238,0.0000,1.0000
2018-02-15,9.3000,9.3400,9.2200,9.2900,8.9180,241275,0.0000,1.0000
2018-02-14,9.1800,9.2900,9.1500,9.2900,8.9180,369094,0.0000,1.0000
2018-02-13,9.2000,9.2100,9.1400,9.2100,8.8412,220599,0.0000,1.0000
2018-02-12,9.1700,9.2500,9.0900,9.2200,8.8508,345916,0.0000,1.0000
