timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,9.0000,9.1500,8.9500,9.0000,9.0000,531922,0.0000,1.0000
2018-07-02,9.1500,9.2000,8.9750,9.1000,9.1000,703372,0.0000,1.0000
2018-06-29,9.2500,9.3000,9.1000,9.2000,9.2000,450058,0.0000,1.0000
2018-06-28,9.2500,9.2750,9.1000,9.1500,9.1500,545015,0.0000,1.0000
2018-06-27,9.5000,9.6250,9.3500,9.4000,9.4000,368621,0.0000,1.0000
2018-06-26,9.5500,9.5500,9.3750,9.4000,9.4000,401679,0.0000,1.0000
2018-06-25,9.6500,9.7750,9.5000,9.6000,9.6000,291673,0.0000,1.0000
2018-06-22,9.8500,10.1000,9.7500,9.7500,9.7500,898911,0.0000,1.0000
2018-06-21,9.7000,9.8500,9.6000,9.8000,9.8000,717873,0.0000,1.0000
2018-06-20,9.4000,9.7500,9.4000,9.7000,9.7000,868264,0.0000,1.0000
2018-06-19,9.1000,9.5000,9.1000,9.5000,9.5000,1062735,0.0000,1.0000
2018-06-18,9.0500,9.5500,9.0500,9.2500,9.2500,1293217,0.0000,1.0000
2018-06-15,8.9000,9.0000,8.7000,8.7500,8.7500,869818,0.0000,1.0000
2018-06-14,9.2500,9.2750,8.9500,9.0500,9.0500,1208852,0.0000,1.0000
2018-06-13,9.2000,9.2500,9.1000,9.2000,9.2000,1184098,0.0000,1.0000
2018-06-12,9.1000,9.3500,9.1000,9.1500,9.1500,654836,0.0000,1.0000
2018-06-11,9.5500,9.6000,9.0500,9.1000,9.1000,2540397,0.0000,1.0000
2018-06-08,9.5000,9.5500,9.2500,9.3500,9.3500,857375,0.0000,1.0000
2018-06-07,9.5000,9.6500,9.4000,9.5000,9.5000,692306,0.0000,1.0000
2018-06-06,9.5000,9.5500,9.1500,9.2500,9.2500,580150,0.0000,1.0000
2018-06-05,9.3000,9.5000,9.3000,9.4000,9.4000,446639,0.0000,1.0000
2018-06-04,9.4000,9.5000,9.2500,9.3000,9.3000,209952,0.0000,1.0000
2018-06-01,9.4500,9.4500,9.2500,9.3000,9.3000,389564,0.0000,1.0000
2018-05-31,9.2500,9.5500,9.1000,9.4500,9.4500,790336,0.0000,1.0000
2018-05-30,8.9000,9.3000,8.9000,9.2500,9.2500,328378,0.0000,1.0000
2018-05-29,8.7000,8.8000,8.6500,8.8000,8.8000,133596,0.0000,1.0000
2018-05-25,8.6000,8.6500,8.5500,8.6500,8.6500,182967,0.0000,1.0000
2018-05-24,8.6500,8.7500,8.6000,8.6500,8.6500,205450,0.0000,1.0000
2018-05-23,8.6500,8.8000,8.6000,8.6000,8.6000,263800,0.0000,1.0000
2018-05-22,8.5000,8.7000,8.5000,8.5500,8.5500,166368,0.0000,1.0000
2018-05-21,8.3000,8.5000,8.2500,8.4500,8.4500,256887,0.0000,1.0000
2018-05-18,8.2000,8.3500,8.1500,8.2500,8.2500,342322,0.0000,1.0000
2018-05-17,8.3500,8.4500,8.1750,8.2500,8.2500,261640,0.0000,1.0000
2018-05-16,8.3500,8.4000,8.3000,8.3500,8.3500,216335,0.0000,1.0000
2018-05-15,8.4000,8.4500,8.2500,8.3000,8.3000,131200,0.0000,1.0000
2018-05-14,8.4500,8.5000,8.4000,8.4000,8.4000,119828,0.0600,1.0000
2018-05-11,8.4500,8.5500,8.4000,8.4500,8.3901,164124,0.0000,1.0000
2018-05-10,8.3500,8.5000,8.3500,8.4500,8.3901,162732,0.0000,1.0000
2018-05-09,8.2500,8.4500,8.2500,8.4000,8.3404,164709,0.0000,1.0000
2018-05-08,8.2000,8.3000,8.1500,8.2500,8.1915,264440,0.0000,1.0000
2018-05-07,8.1500,8.2500,8.1000,8.1500,8.0922,330542,0.0000,1.0000
2018-05-04,8.1000,8.2500,8.0500,8.1000,8.0426,152045,0.0000,1.0000
2018-05-03,8.2000,8.2500,8.1000,8.1500,8.0922,219120,0.0000,1.0000
2018-05-02,8.1500,8.3500,8.1000,8.2500,8.1915,299027,0.0000,1.0000
2018-05-01,8.1000,8.2000,8.0500,8.1500,8.0922,220913,0.0000,1.0000
2018-04-30,8.1000,8.2000,8.1000,8.1500,8.0922,385814,0.0000,1.0000
2018-04-27,8.3000,8.3500,8.1000,8.2000,8.1418,781463,0.0000,1.0000
2018-04-26,8.5500,8.6011,8.4000,8.5000,8.4397,553372,0.0000,1.0000
2018-04-25,8.4500,8.5000,8.2500,8.3500,8.2908,759167,0.0000,1.0000
2018-04-24,8.9500,8.9750,8.7000,8.8500,8.7872,430911,0.0000,1.0000
2018-04-23,8.9500,9.0500,8.8500,9.0500,8.9858,296856,0.0000,1.0000
2018-04-20,8.9000,9.0000,8.8500,8.9500,8.8865,549735,0.0000,1.0000
2018-04-19,8.8500,8.9000,8.7000,8.7500,8.6879,282267,0.0000,1.0000
2018-04-18,8.7500,8.9000,8.7500,8.8000,8.7376,320620,0.0000,1.0000
2018-04-17,8.7000,8.7500,8.6500,8.7000,8.6383,139611,0.0000,1.0000
2018-04-16,8.7000,8.8000,8.6250,8.8000,8.7376,174112,0.0000,1.0000
2018-04-13,8.5500,8.6500,8.5000,8.6000,8.5390,178828,0.0000,1.0000
2018-04-12,8.8000,8.8000,8.5500,8.6000,8.5390,357375,0.0000,1.0000
2018-04-11,8.5500,8.8500,8.5500,8.7000,8.6383,443634,0.0000,1.0000
2018-04-10,8.3500,8.6000,8.3500,8.5000,8.4397,360524,0.0000,1.0000
2018-04-09,8.2500,8.3500,8.2000,8.3000,8.2411,228996,0.0000,1.0000
2018-04-06,8.3000,8.3500,8.2000,8.2500,8.1915,484430,0.0000,1.0000
2018-04-05,8.3000,8.4000,8.3000,8.4000,8.3404,308560,0.0000,1.0000
2018-04-04,8.1500,8.3250,8.1500,8.2500,8.1915,467390,0.0000,1.0000
2018-04-03,8.2500,8.3000,8.1000,8.2500,8.1915,381500,0.0000,1.0000
2018-04-02,8.2000,8.2500,8.0000,8.0500,7.9929,378053,0.0000,1.0000
2018-03-29,8.3000,8.3345,8.2000,8.2000,8.1418,254262,0.0000,1.0000
2018-03-28,8.3500,8.3500,8.2500,8.3000,8.2411,476899,0.0000,1.0000
2018-03-27,8.4500,8.4500,8.3000,8.3500,8.2908,408976,0.0000,1.0000
2018-03-26,8.4000,8.5000,8.3250,8.4500,8.3901,380560,0.0000,1.0000
2018-03-23,8.4500,8.5500,8.3500,8.3500,8.2908,237205,0.0000,1.0000
2018-03-22,8.4500,8.4750,8.3000,8.3500,8.2908,184467,0.0000,1.0000
2018-03-21,8.4500,8.6375,8.4000,8.6000,8.5390,324025,0.0000,1.0000
2018-03-20,8.3000,8.4750,8.3000,8.4000,8.3404,315904,0.0000,1.0000
2018-03-19,8.4000,8.4500,8.3000,8.3500,8.2908,166383,0.0000,1.0000
2018-03-16,8.3000,8.5500,8.3000,8.5500,8.4894,140742,0.0000,1.0000
2018-03-15,8.5500,8.5750,8.3500,8.4000,8.3404,236198,0.0000,1.0000
2018-03-14,8.6500,8.6500,8.5000,8.5500,8.4894,260357,0.0000,1.0000
2018-03-13,8.7000,8.8000,8.6500,8.7500,8.6879,261847,0.0000,1.0000
2018-03-12,8.5000,8.7000,8.5000,8.6500,8.5887,337541,0.0000,1.0000
2018-03-09,8.5500,8.6000,8.4000,8.5000,8.4397,284352,0.0000,1.0000
2018-03-08,8.5500,8.6000,8.3500,8.5000,8.4397,259256,0.0000,1.0000
2018-03-07,8.6000,8.7000,8.5000,8.6000,8.5390,269725,0.0000,1.0000
2018-03-06,8.7500,8.8000,8.5500,8.6500,8.5887,484580,0.0000,1.0000
2018-03-05,8.3000,8.4500,8.2750,8.4000,8.3404,290050,0.0000,1.0000
2018-03-02,8.2000,8.3500,8.1500,8.3000,8.2411,307467,0.0000,1.0000
2018-03-01,7.9500,8.1500,7.8500,8.1000,8.0426,715998,0.0000,1.0000
2018-02-28,8.2000,8.3000,7.9250,7.9500,7.8936,487183,0.0000,1.0000
2018-02-27,8.4000,8.4500,8.2500,8.2500,8.1915,200812,0.0000,1.0000
2018-02-26,8.4500,8.4500,8.3250,8.4500,8.3901,231925,0.0000,1.0000
2018-02-23,8.4500,8.5250,8.3500,8.4500,8.3901,157015,0.0000,1.0000
2018-02-22,8.3500,8.5500,8.3500,8.4500,8.3901,400874,0.0000,1.0000
2018-02-21,8.3500,8.5000,8.3000,8.3500,8.2908,548257,0.0000,1.0000
2018-02-20,8.4000,8.4750,8.2000,8.3000,8.2411,578064,0.0000,1.0000
2018-02-16,8.3000,8.4750,8.2500,8.3500,8.2908,399347,0.0000,1.0000
2018-02-15,8.3500,8.4000,8.2500,8.3500,8.2908,293085,0.0000,1.0000
2018-02-14,8.1500,8.3000,8.1000,8.3000,8.2411,308495,0.0000,1.0000
2018-02-13,8.3000,8.3000,8.0500,8.1500,8.0922,340600,0.0000,1.0000
2018-02-12,8.2500,8.4000,8.1500,8.3500,8.2908,572668,0.0000,1.0000
2018-02-09,7.8000,7.9000,7.5000,7.7500,7.6950,520878,0.0000,1.0000
2018-02-08,8.0000,8.0500,7.6000,7.6500,7.5957,796733,0.0000,1.0000
2018-02-07,8.1500,8.2500,8.0000,8.0500,7.9929,497273,0.0000,1.0000
2018-02-06,7.9000,8.1500,7.8500,8.1000,8.0426,358687,0.0000,1.0000
2018-02-05,8.1000,8.2500,7.9000,7.9500,7.8936,461031,0.0000,1.0000
2018-02-02,8.5000,8.5500,8.2000,8.2500,8.1915,545538,0.0000,1.0000
2018-02-01,8.5500,8.6750,8.3750,8.4500,8.3901,1223799,0.0000,1.0000
2018-01-31,8.7500,8.7500,8.3000,8.4000,8.3404,862224,0.0000,1.0000
2018-01-30,8.8000,8.8500,8.7000,8.8000,8.7376,523357,0.0000,1.0000
2018-01-29,8.9000,8.9500,8.8000,8.8000,8.7376,911603,0.0000,1.0000
2018-01-26,8.9500,9.0500,8.9300,9.0500,8.9858,1064527,0.0000,1.0000
2018-01-25,9.1000,9.1500,8.9250,9.1000,9.0355,1468687,0.0000,1.0000
2018-01-24,9.0000,9.1000,8.8000,8.8000,8.7376,1225775,0.0000,1.0000
2018-01-23,8.9500,9.0000,8.8500,8.9500,8.8865,528601,0.0000,1.0000
2018-01-22,8.8500,8.9500,8.8500,8.9000,8.8369,673823,0.0000,1.0000
2018-01-19,8.9000,9.0250,8.8250,8.9000,8.8369,1173335,0.0000,1.0000
2018-01-18,9.0000,9.0750,8.9000,8.9000,8.8369,935508,0.0000,1.0000
2018-01-17,9.0500,9.0750,8.9500,9.0000,8.9362,815324,0.0000,1.0000
2018-01-16,9.0000,9.0500,8.8750,8.9000,8.8369,877898,0.0000,1.0000
2018-01-12,9.0000,9.0500,8.8500,8.9500,8.8865,550098,0.0000,1.0000
2018-01-11,8.9000,9.0250,8.9000,8.9500,8.8865,697374,0.0000,1.0000
2018-01-10,9.0000,9.1000,8.9000,8.9000,8.8369,608223,0.0000,1.0000
2018-01-09,9.2000,9.2500,8.9500,9.0000,8.9362,991812,0.0000,1.0000
2018-01-08,9.3500,9.3500,9.1000,9.1000,9.0355,1253728,0.0000,1.0000
2018-01-05,9.5500,9.5500,9.3000,9.3000,9.2340,1358244,0.0000,1.0000
2018-01-04,9.6000,9.6500,9.4500,9.5500,9.4823,1155299,0.0000,1.0000
2018-01-03,9.5000,9.5000,9.3000,9.3500,9.2837,890230,0.0000,1.0000
2018-01-02,9.3000,9.4000,9.2500,9.4000,9.3333,605669,0.0000,1.0000
2017-12-29,9.2000,9.2750,9.1500,9.2500,9.1844,274054,0.0000,1.0000
2017-12-28,9.2500,9.2500,9.1500,9.2500,9.1844,580430,0.0000,1.0000
2017-12-27,9.1000,9.2000,9.0250,9.1500,9.0851,714737,0.0000,1.0000
2017-12-26,8.8000,8.9000,8.7000,8.8000,8.7376,279393,0.0000,1.0000
2017-12-22,8.5750,8.9000,8.5250,8.8000,8.7376,1010732,0.0000,1.0000
2017-12-21,8.2750,8.5000,8.1500,8.3500,8.2908,3274611,0.0000,1.0000
2017-12-20,8.1000,8.1500,8.0750,8.1000,8.0426,150408,0.0000,1.0000
2017-12-19,8.2500,8.2900,8.1500,8.1500,8.0922,204028,0.0000,1.0000
2017-12-18,8.2000,8.3000,8.1500,8.2500,8.1915,351735,0.0000,1.0000
2017-12-15,8.2500,8.3000,8.1500,8.2500,8.1915,620986,0.0000,1.0000
2017-12-14,8.2500,8.3750,8.2000,8.3500,8.2908,1395823,0.0000,1.0000
2017-12-13,8.3500,8.3925,8.1500,8.1500,8.0922,289899,0.0000,1.0000
2017-12-12,8.3000,8.3500,8.2000,8.3500,8.2908,621907,0.0000,1.0000
2017-12-11,8.1500,8.2000,8.1000,8.1000,8.0426,293116,0.0000,1.0000
2017-12-08,8.2000,8.2250,8.0500,8.1500,8.0922,625530,0.0000,1.0000
2017-12-07,8.2000,8.2750,8.1500,8.1500,8.0922,323372,0.0000,1.0000
2017-12-06,8.5500,8.5750,8.1500,8.2000,8.1418,765091,0.0000,1.0000
2017-12-05,8.8500,8.9000,8.7250,8.7500,8.6879,469758,0.0000,1.0000
2017-12-04,8.9500,9.0000,8.8000,8.9000,8.8369,671412,0.0000,1.0000
2017-12-01,8.7000,8.8000,8.6500,8.7000,8.6383,406044,0.0000,1.0000
2017-11-30,8.5000,8.6000,8.4500,8.5500,8.4894,547904,0.0000,1.0000
2017-11-29,8.8000,8.8375,8.5000,8.5000,8.4397,709459,0.0000,1.0000
2017-11-28,8.9000,8.9500,8.8250,8.9000,8.8369,516555,0.0000,1.0000
2017-11-27,8.9000,8.9500,8.7500,8.8000,8.7376,185894,0.0000,1.0000
2017-11-24,8.9000,8.9500,8.8510,8.9000,8.8369,131109,0.0000,1.0000
2017-11-22,8.8000,8.8500,8.6500,8.7500,8.6879,304295,0.0000,1.0000
2017-11-21,8.7000,8.8500,8.7000,8.8500,8.7872,996008,0.0000,1.0000
2017-11-20,8.4500,8.6500,8.4000,8.6500,8.5887,542558,0.0000,1.0000
2017-11-17,8.4500,8.5000,8.4000,8.4500,8.3901,134444,0.0000,1.0000
2017-11-16,8.4500,8.4500,8.3500,8.3500,8.2908,270102,0.0000,1.0000
2017-11-15,8.6000,8.6000,8.4500,8.5000,8.4397,416658,0.0000,1.0000
2017-11-14,8.5000,8.5500,8.4500,8.5000,8.4397,405863,0.0000,1.0000
2017-11-13,8.4000,8.5000,8.3000,8.3000,8.2411,280995,0.0000,1.0000
2017-11-10,8.4500,8.5000,8.4000,8.4000,8.3404,219463,0.0000,1.0000
2017-11-09,8.4500,8.5000,8.4000,8.4500,8.3901,168974,0.0000,1.0000
2017-11-08,8.5000,8.5500,8.4500,8.5000,8.4397,272803,0.0000,1.0000
2017-11-07,8.3500,8.4000,8.2750,8.3500,8.2908,338656,0.0000,1.0000
2017-11-06,8.2500,8.4000,8.2000,8.2500,8.1915,402666,0.0000,1.0000
2017-11-03,8.2500,8.3000,8.1250,8.2000,8.1418,451153,0.0000,1.0000
2017-11-02,8.4500,8.5000,8.3000,8.3500,8.2908,442910,0.0000,1.0000
2017-11-01,8.4000,8.5000,8.4000,8.4500,8.3901,185522,0.0000,1.0000
2017-10-31,8.3500,8.4500,8.2000,8.3500,8.2908,599516,0.0000,1.0000
2017-10-30,8.2500,8.4000,8.2000,8.2000,8.1418,467800,0.0000,1.0000
2017-10-27,8.1500,8.3000,8.1000,8.2000,8.1418,314779,0.0000,1.0000
2017-10-26,8.2000,8.2301,8.1000,8.1500,8.0922,159140,0.0000,1.0000
2017-10-25,8.2500,8.3000,8.2000,8.2500,8.1915,256132,0.0000,1.0000
2017-10-24,8.4000,8.4000,8.3000,8.3500,8.2908,187696,0.0000,1.0000
2017-10-23,8.4500,8.5000,8.3000,8.3000,8.2411,225808,0.0000,1.0000
2017-10-20,8.5000,8.5500,8.4500,8.4500,8.3901,156649,0.0000,1.0000
2017-10-19,8.4500,8.6000,8.4000,8.5200,8.4596,422163,0.0000,1.0000
2017-10-18,8.5000,8.5500,8.4000,8.4500,8.3901,252194,0.0000,1.0000
2017-10-17,8.6000,8.6000,8.5000,8.5000,8.4397,379495,0.0000,1.0000
2017-10-16,8.3500,8.6500,8.3250,8.6000,8.5390,626636,0.0000,1.0000
2017-10-13,8.1500,8.4500,8.1500,8.2500,8.1915,898470,0.0000,1.0000
2017-10-12,8.1000,8.1500,8.0750,8.1500,8.0922,277662,0.0000,1.0000
