timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,7.2600,7.3000,7.1200,7.1300,7.1300,450075,0.0000,1.0000
2018-07-02,7.1100,7.2600,7.1100,7.2600,7.2600,304501,0.0000,1.0000
2018-06-29,7.0800,7.2500,7.0800,7.2000,7.2000,678261,0.0000,1.0000
2018-06-28,7.0400,7.1300,6.9600,7.0500,7.0500,529962,0.0000,1.0000
2018-06-27,7.1400,7.2500,7.0300,7.0400,7.0400,472254,0.0000,1.0000
2018-06-26,7.2300,7.2800,7.1300,7.1500,7.1500,373088,0.0000,1.0000
2018-06-25,7.4500,7.4600,7.1100,7.2300,7.2300,508804,0.0000,1.0000
2018-06-22,7.6500,7.6700,7.4600,7.4800,7.4800,786917,0.0000,1.0000
2018-06-21,7.9100,7.9500,7.6100,7.6400,7.6400,366124,0.0000,1.0000
2018-06-20,7.9500,7.9900,7.8500,7.9200,7.9200,262234,0.0000,1.0000
2018-06-19,7.9300,8.0100,7.7200,7.9500,7.9500,411809,0.0000,1.0000
2018-06-18,7.7100,8.0500,7.6900,8.0300,8.0300,381457,0.0000,1.0000
2018-06-15,7.9000,7.9000,7.7200,7.7800,7.7800,488073,0.0000,1.0000
2018-06-14,7.9200,8.0000,7.8500,7.9200,7.9200,323162,0.0000,1.0000
2018-06-13,8.1200,8.1300,7.8500,7.8600,7.8600,457586,0.0000,1.0000
2018-06-12,8.0400,8.1950,8.0100,8.1200,8.1200,588257,0.0000,1.0000
2018-06-11,8.0900,8.1500,7.9800,8.0400,8.0400,301191,0.0000,1.0000
2018-06-08,8.3000,8.3016,8.0900,8.0900,8.0900,354089,0.0000,1.0000
2018-06-07,8.5700,8.5700,8.2100,8.2800,8.2800,480383,0.0000,1.0000
2018-06-06,8.2200,8.7500,8.2000,8.6000,8.6000,1205494,0.0000,1.0000
2018-06-05,7.8000,8.2700,7.8000,8.2500,8.2500,1533123,0.0000,1.0000
2018-06-04,7.5600,7.7800,7.5600,7.7700,7.7700,518948,0.0000,1.0000
2018-06-01,7.5700,7.5900,7.4800,7.5500,7.5500,291340,0.0000,1.0000
2018-05-31,7.4600,7.5450,7.4400,7.4900,7.4900,367476,0.0000,1.0000
2018-05-30,7.4700,7.6000,7.4050,7.4300,7.4300,288418,0.0000,1.0000
2018-05-29,7.4200,7.4600,7.3900,7.4300,7.4300,310089,0.0000,1.0000
2018-05-25,7.4400,7.4700,7.3900,7.4300,7.4300,255652,0.0000,1.0000
2018-05-24,7.4200,7.4800,7.2400,7.4400,7.4400,447407,0.0000,1.0000
2018-05-23,7.4500,7.4700,7.3650,7.4000,7.4000,256249,0.0000,1.0000
2018-05-22,7.6700,7.6700,7.4500,7.4700,7.4700,256144,0.0000,1.0000
2018-05-21,7.7100,7.7500,7.5800,7.6600,7.6600,280675,0.0000,1.0000
2018-05-18,7.4900,7.7300,7.4500,7.7100,7.7100,446170,0.0000,1.0000
2018-05-17,7.4800,7.5300,7.4300,7.4600,7.4600,447923,0.0000,1.0000
2018-05-16,7.5300,7.5400,7.4400,7.4600,7.4600,348909,0.0000,1.0000
2018-05-15,7.4600,7.5400,7.3200,7.4800,7.4800,530564,0.0000,1.0000
2018-05-14,7.4100,7.5800,7.4100,7.4600,7.4600,538024,0.0000,1.0000
2018-05-11,7.6700,7.7100,7.3700,7.3900,7.3900,679939,0.0000,1.0000
2018-05-10,7.5400,7.7450,7.4400,7.7200,7.7200,939436,0.0000,1.0000
2018-05-09,8.0000,8.0300,7.5450,7.5500,7.5500,1357828,0.0000,1.0000
2018-05-08,7.6600,8.2000,7.5550,8.0300,8.0300,2617015,0.0000,1.0000
2018-05-07,6.8900,7.1000,6.8200,7.1000,7.1000,602244,0.0000,1.0000
2018-05-04,6.6400,6.9000,6.6200,6.8700,6.8700,436095,0.0000,1.0000
2018-05-03,6.6800,6.7700,6.5600,6.6800,6.6800,515583,0.0000,1.0000
2018-05-02,6.4500,6.7200,6.4300,6.6900,6.6900,528169,0.0000,1.0000
2018-05-01,6.3900,6.4200,6.2550,6.4200,6.4200,318068,0.0000,1.0000
2018-04-30,6.2500,6.4400,6.2300,6.4100,6.4100,460820,0.0000,1.0000
2018-04-27,6.3500,6.3700,6.2100,6.2500,6.2500,373770,0.0000,1.0000
2018-04-26,6.2700,6.3200,6.2000,6.3100,6.3100,423657,0.0000,1.0000
2018-04-25,6.3500,6.3600,6.1800,6.2600,6.2600,616088,0.0000,1.0000
2018-04-24,6.4500,6.4900,6.2700,6.3600,6.3600,518272,0.0000,1.0000
2018-04-23,6.4800,6.4900,6.3750,6.4500,6.4500,276595,0.0000,1.0000
2018-04-20,6.5100,6.5100,6.3800,6.4700,6.4700,319071,0.0000,1.0000
2018-04-19,6.4900,6.5600,6.4200,6.5400,6.5400,590289,0.0000,1.0000
2018-04-18,6.3800,6.5700,6.2900,6.4700,6.4700,586387,0.0000,1.0000
2018-04-17,6.3500,6.4050,6.2900,6.3900,6.3900,403481,0.0000,1.0000
2018-04-16,6.3300,6.3300,6.1950,6.3100,6.3100,457503,0.0000,1.0000
2018-04-13,6.3300,6.3600,6.2050,6.2900,6.2900,361790,0.0000,1.0000
2018-04-12,6.2400,6.3500,6.1900,6.3000,6.3000,464513,0.0000,1.0000
2018-04-11,6.1900,6.3300,6.1500,6.2000,6.2000,857607,0.0000,1.0000
2018-04-10,6.4000,6.4400,6.1500,6.2200,6.2200,940325,0.0000,1.0000
2018-04-09,6.4700,6.5500,6.3150,6.3400,6.3400,397626,0.0000,1.0000
2018-04-06,6.4900,6.6100,6.3400,6.4000,6.4000,636334,0.0000,1.0000
2018-04-05,6.5600,6.7350,6.4900,6.5700,6.5700,764424,0.0000,1.0000
2018-04-04,6.1600,6.5500,6.1200,6.5300,6.5300,1002135,0.0000,1.0000
2018-04-03,6.4100,6.4100,6.0800,6.2300,6.2300,852275,0.0000,1.0000
2018-04-02,6.5600,6.7400,6.3900,6.4100,6.4100,588960,0.0000,1.0000
2018-03-29,6.6000,6.6400,6.4600,6.5700,6.5700,1260592,0.0000,1.0000
2018-03-28,6.6200,6.6600,6.4500,6.5300,6.5300,1025757,0.0000,1.0000
2018-03-27,6.7800,6.7950,6.5900,6.6500,6.6500,1310238,0.0000,1.0000
2018-03-26,6.8600,6.9200,6.6050,6.7400,6.7400,637448,0.0000,1.0000
2018-03-23,6.9000,7.0100,6.7700,6.7800,6.7800,789822,0.0000,1.0000
2018-03-22,7.0100,7.1150,6.8900,6.9200,6.9200,972638,0.0000,1.0000
2018-03-21,7.1000,7.1900,7.0200,7.0700,7.0700,867556,0.0000,1.0000
2018-03-20,7.1800,7.2450,7.0400,7.1200,7.1200,627052,0.0000,1.0000
2018-03-19,7.1000,7.2750,6.9900,7.1900,7.1900,836435,0.0000,1.0000
2018-03-16,7.1900,7.2050,7.0150,7.1000,7.1000,1169534,0.0000,1.0000
2018-03-15,7.6000,7.6000,7.1300,7.2000,7.2000,1140640,0.0000,1.0000
2018-03-14,7.9500,7.9500,7.3400,7.6100,7.6100,1795332,0.0000,1.0000
2018-03-13,7.7200,7.7200,7.5200,7.5900,7.5900,551990,0.0000,1.0000
2018-03-12,7.7000,7.8800,7.6600,7.7000,7.7000,562912,0.0000,1.0000
2018-03-09,7.8800,7.8800,7.5800,7.7000,7.7000,582052,0.0000,1.0000
2018-03-08,7.8200,7.8890,7.7550,7.8000,7.8000,605869,0.0000,1.0000
2018-03-07,7.8000,7.9550,7.6000,7.8000,7.8000,794734,0.0000,1.0000
2018-03-06,7.4600,8.0200,7.3700,7.8700,7.8700,1648877,0.0000,1.0000
2018-03-05,7.3600,7.4600,7.3100,7.4200,7.4200,457729,0.0000,1.0000
2018-03-02,7.2300,7.4400,7.1050,7.4300,7.4300,356347,0.0000,1.0000
2018-03-01,7.4700,7.4800,7.2100,7.3200,7.3200,355285,0.0000,1.0000
2018-02-28,7.6100,7.6700,7.4250,7.4500,7.4500,426928,0.0000,1.0000
2018-02-27,7.5800,7.7400,7.5800,7.6300,7.6300,336107,0.0000,1.0000
2018-02-26,7.5400,7.6800,7.5200,7.6000,7.6000,423864,0.0000,1.0000
2018-02-23,7.6300,7.7100,7.4500,7.5300,7.5300,316007,0.0000,1.0000
2018-02-22,7.4200,7.7100,7.4100,7.5700,7.5700,431153,0.0000,1.0000
