timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,9.9600,9.9699,9.9300,9.9400,9.9400,43493,0.0000,1.0000
2018-07-02,9.9200,9.9500,9.9000,9.9300,9.9300,35301,0.0750,1.0000
2018-06-29,9.9900,10.0400,9.9800,10.0300,9.9548,66766,0.0000,1.0000
2018-06-28,9.9700,10.0300,9.9400,9.9600,9.8853,38388,0.0000,1.0000
2018-06-27,9.9700,9.9800,9.9572,9.9600,9.8853,75807,0.0000,1.0000
2018-06-26,9.9000,9.9800,9.9000,9.9400,9.8655,80344,0.0000,1.0000
2018-06-25,10.0500,10.0500,9.8800,9.9600,9.8853,137392,0.0000,1.0000
2018-06-22,10.0200,10.0600,9.9900,10.0400,9.9647,25334,0.0000,1.0000
2018-06-21,9.9800,9.9899,9.9200,9.9400,9.8655,67660,0.0000,1.0000
2018-06-20,10.0000,10.0300,9.9400,9.9500,9.8754,76409,0.0000,1.0000
2018-06-19,9.9800,10.0400,9.9100,10.0400,9.9647,34789,0.0000,1.0000
2018-06-18,10.0500,10.0500,9.9893,10.0000,9.9250,61004,0.0000,1.0000
2018-06-15,10.1400,10.1400,10.0600,10.0610,9.9856,33253,0.0000,1.0000
2018-06-14,10.1400,10.1500,10.0700,10.1100,10.0342,110498,0.0000,1.0000
2018-06-13,10.1900,10.1900,10.0700,10.1100,10.0342,54372,0.0000,1.0000
2018-06-12,10.2800,10.2800,10.1500,10.1900,10.1136,46943,0.0000,1.0000
2018-06-11,10.3000,10.3000,10.2800,10.2800,10.2029,22824,0.0000,1.0000
2018-06-08,10.2700,10.3100,10.2700,10.2800,10.2029,29246,0.0000,1.0000
2018-06-07,10.3500,10.3500,10.2910,10.3200,10.2426,24411,0.0000,1.0000
2018-06-06,10.4000,10.4000,10.3400,10.3400,10.2625,25132,0.0000,1.0000
2018-06-05,10.3300,10.4000,10.3300,10.4000,10.3220,54783,0.0000,1.0000
2018-06-04,10.3900,10.3900,10.3100,10.3300,10.2526,57652,0.0000,1.0000
2018-06-01,10.4500,10.4500,10.3200,10.3600,10.2823,46183,0.0750,1.0000
2018-05-31,10.4900,10.5000,10.4400,10.4800,10.3267,78319,0.0000,1.0000
2018-05-30,10.4900,10.5000,10.4400,10.4600,10.3070,22469,0.0000,1.0000
2018-05-29,10.4700,10.4799,10.4350,10.4627,10.3096,51390,0.0000,1.0000
