timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,7.7300,7.8800,7.6900,7.8200,7.8200,698561,0.0000,1.0000
2018-07-02,7.6000,7.7300,7.5900,7.7300,7.7300,1156958,0.0000,1.0000
2018-06-29,7.8600,7.8800,7.6300,7.6500,7.6500,1391060,0.0000,1.0000
2018-06-28,7.6800,7.8250,7.6800,7.7900,7.7900,1251689,0.0000,1.0000
2018-06-27,7.7300,7.8000,7.6140,7.6900,7.6900,1234160,0.0000,1.0000
2018-06-26,7.8100,7.8100,7.6850,7.7700,7.7700,1114511,0.0000,1.0000
2018-06-25,7.8000,7.8500,7.6200,7.7700,7.7700,1236191,0.0000,1.0000
2018-06-22,7.9200,7.9600,7.8250,7.8600,7.8600,3799081,0.0000,1.0000
2018-06-21,8.0000,8.0100,7.8100,7.8700,7.8700,1495971,0.0000,1.0000
2018-06-20,7.9400,8.0550,7.9000,8.0100,8.0100,1564244,0.0000,1.0000
2018-06-19,7.7600,7.9450,7.7150,7.9000,7.9000,1477315,0.0000,1.0000
2018-06-18,7.7400,7.8500,7.6700,7.8300,7.8300,1469178,0.0000,1.0000
2018-06-15,7.7400,7.8200,7.6500,7.7900,7.7900,4219728,0.0000,1.0000
2018-06-14,7.8500,7.8500,7.7100,7.7700,7.7700,1441538,0.0000,1.0000
2018-06-13,7.9100,7.9600,7.7700,7.8300,7.8300,1332967,0.0000,1.0000
2018-06-12,8.0000,8.0500,7.8900,7.9100,7.9100,1459152,0.0000,1.0000
2018-06-11,8.0800,8.1100,7.9400,7.9900,7.9900,1543221,0.0000,1.0000
2018-06-08,8.0900,8.3200,8.0500,8.1200,8.1200,1886989,0.0000,1.0000
2018-06-07,8.0900,8.1290,7.9600,8.0500,8.0500,1484194,0.0000,1.0000
2018-06-06,7.9400,8.1000,7.9400,8.0800,8.0800,1292306,0.0000,1.0000
2018-06-05,7.8800,7.9650,7.8500,7.9500,7.9500,1503901,0.0000,1.0000
2018-06-04,7.8600,7.9100,7.8000,7.8900,7.8900,1455407,0.0000,1.0000
2018-06-01,7.8600,7.9800,7.8100,7.8600,7.8600,1802375,0.0000,1.0000
2018-05-31,7.6600,7.8900,7.6500,7.7500,7.7500,2922896,0.0000,1.0000
2018-05-30,7.8200,7.8600,7.6400,7.6700,7.6700,2172882,0.0000,1.0000
2018-05-29,7.7800,7.8200,7.6100,7.7200,7.7200,2260169,0.0000,1.0000
2018-05-25,7.8600,7.9350,7.8300,7.8700,7.8700,1191478,0.0000,1.0000
2018-05-24,7.9000,7.9700,7.8300,7.9100,7.9100,1436955,0.0000,1.0000
2018-05-23,7.9000,7.9700,7.8550,7.9400,7.9400,1905703,0.0000,1.0000
2018-05-22,8.0000,8.1000,7.9200,7.9300,7.9300,2024083,0.0000,1.0000
2018-05-21,7.9800,8.0500,7.9000,7.9800,7.9800,2160177,0.0000,1.0000
