timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,91.7500,92.1750,90.7000,91.3500,91.3500,164427,0.0000,1.0000
2018-07-02,89.5500,91.6750,89.3500,91.5000,91.5000,400281,0.0000,1.0000
2018-06-29,90.8500,91.1500,89.8500,89.8500,89.8500,210748,0.0000,1.0000
2018-06-28,89.1000,90.4500,88.4300,90.3500,90.3500,201960,0.0000,1.0000
2018-06-27,91.6500,91.7000,88.9500,89.0500,89.0500,196428,0.0000,1.0000
2018-06-26,90.3500,91.9500,89.9500,91.6000,91.6000,294039,0.0000,1.0000
2018-06-25,91.6000,91.6000,89.1500,90.2000,90.2000,213462,0.0000,1.0000
2018-06-22,92.7000,93.5000,91.2500,91.7500,91.7500,991364,0.0000,1.0000
2018-06-21,92.6000,93.6000,91.9380,92.7500,92.7500,270204,0.0000,1.0000
2018-06-20,91.1000,92.5000,91.0000,92.3500,92.3500,211274,0.0000,1.0000
2018-06-19,91.1000,91.1000,89.9000,90.6500,90.6500,222443,0.0000,1.0000
2018-06-18,92.1500,92.5000,91.5000,91.8500,91.8500,240011,0.0000,1.0000
2018-06-15,91.7500,92.4000,91.4000,92.3000,92.3000,407257,0.0000,1.0000
2018-06-14,92.9500,92.9500,91.9000,92.3000,92.3000,189065,0.0000,1.0000
2018-06-13,93.1000,93.4000,92.4250,92.5500,92.5500,760736,0.0000,1.0000
2018-06-12,94.0500,94.1500,92.6000,92.9500,92.9500,239905,0.0000,1.0000
2018-06-11,93.8000,94.4500,92.0500,94.0000,94.0000,245138,0.0000,1.0000
2018-06-08,94.0000,94.5500,93.8000,94.1000,94.1000,362363,0.0000,1.0000
2018-06-07,95.3000,95.4000,93.7500,94.1500,94.1500,267144,0.0000,1.0000
2018-06-06,94.7500,95.4000,94.3500,95.1500,95.1500,233784,0.0000,1.0000
2018-06-05,93.7000,94.7750,93.2500,94.6000,94.6000,247843,0.0000,1.0000
2018-06-04,92.6500,93.9500,92.5000,93.8500,93.8500,290815,0.0000,1.0000
2018-06-01,91.4000,92.3500,91.1500,92.3000,92.3000,293924,0.0000,1.0000
2018-05-31,90.6500,91.5500,90.6500,90.7500,90.7500,365792,0.0000,1.0000
2018-05-30,89.6500,90.9500,89.6500,90.7000,90.7000,465473,0.0000,1.0000
2018-05-29,89.4000,90.1500,88.9750,89.3500,89.3500,381779,0.0000,1.0000
2018-05-25,90.6500,90.6500,89.7000,90.1000,90.1000,372026,0.0000,1.0000
2018-05-24,92.4500,92.6000,90.9000,91.7000,91.7000,683069,0.0000,1.0000
2018-05-23,93.0000,93.4500,92.4000,92.4500,92.4500,375771,0.0000,1.0000
2018-05-22,94.5000,94.9000,93.1000,93.1500,93.1500,337874,0.0000,1.0000
2018-05-21,93.4000,94.7500,93.4000,94.3500,94.3500,391951,0.0000,1.0000
2018-05-18,92.8500,93.3500,92.5796,92.9000,92.9000,284642,0.0000,1.0000
2018-05-17,91.3500,93.4000,91.3500,92.5000,92.5000,324874,0.0000,1.0000
2018-05-16,88.9500,91.8500,88.7515,91.4000,91.4000,368579,0.0000,1.0000
2018-05-15,88.5500,89.5500,88.3500,88.9000,88.9000,565233,0.0000,1.0000
2018-05-14,89.4000,89.9000,88.7500,89.0500,89.0500,390481,0.2200,1.0000
2018-05-11,89.2500,89.9000,89.0250,89.4500,89.2296,442390,0.0000,1.0000
2018-05-10,88.1500,89.1000,88.0000,89.1000,88.8804,446089,0.0000,1.0000
2018-05-09,88.0500,88.3500,87.5000,87.8000,87.5836,368746,0.0000,1.0000
2018-05-08,88.5000,88.6000,87.3000,87.7500,87.5337,517808,0.0000,1.0000
2018-05-07,90.2000,90.2000,87.8500,87.9500,87.7333,422095,0.0000,1.0000
2018-05-04,88.6500,91.0000,88.3000,90.8500,90.6261,568104,0.0000,1.0000
2018-05-03,87.4500,89.0500,87.2000,88.9500,88.7308,507344,0.0000,1.0000
2018-05-02,88.3000,88.7000,87.7000,87.8000,87.5836,323991,0.0000,1.0000
2018-05-01,86.4500,87.8000,85.8000,87.7500,87.5337,376786,0.0000,1.0000
2018-04-30,84.9000,88.3500,84.3000,86.7000,86.4863,749442,0.0000,1.0000
2018-04-27,82.6000,85.5000,81.1500,84.4500,84.2419,405104,0.0000,1.0000
2018-04-26,83.1000,83.1000,80.4000,81.9000,81.6982,287698,0.0000,1.0000
2018-04-25,80.7500,81.8000,80.2000,80.7500,80.5510,463961,0.0000,1.0000
2018-04-24,83.2000,83.5000,80.6000,81.2000,80.9999,505596,0.0000,1.0000
2018-04-23,82.6500,82.8250,81.7000,82.7000,82.4962,316745,0.0000,1.0000
2018-04-20,83.7000,84.5000,82.0500,82.2000,81.9974,382761,0.0000,1.0000
2018-04-19,84.3500,85.1500,83.9000,84.0000,83.7930,426922,0.0000,1.0000
2018-04-18,84.0500,84.7500,83.6500,84.1000,83.8927,410110,0.0000,1.0000
2018-04-17,84.2000,84.4000,83.5000,83.7500,83.5436,499305,0.0000,1.0000
2018-04-16,84.4500,84.5500,83.6500,83.7500,83.5436,267291,0.0000,1.0000
2018-04-13,85.1000,85.1000,83.6000,83.8500,83.6434,167127,0.0000,1.0000
2018-04-12,84.1500,85.0000,84.1500,84.5500,84.3416,306394,0.0000,1.0000
2018-04-11,82.7000,84.3000,82.5000,84.0500,83.8429,206693,0.0000,1.0000
2018-04-10,82.3500,83.5500,81.5750,83.1500,82.9451,270397,0.0000,1.0000
2018-04-09,81.9500,82.6000,81.1500,81.3500,81.1495,333648,0.0000,1.0000
2018-04-06,82.3500,83.1000,80.9500,81.4000,81.1994,202717,0.0000,1.0000
2018-04-05,82.7500,83.2750,82.1500,82.7500,82.5461,501044,0.0000,1.0000
2018-04-04,79.9000,82.5500,79.7500,82.2500,82.0473,369479,0.0000,1.0000
2018-04-03,81.3500,81.9500,80.7000,80.8000,80.6009,400637,0.0000,1.0000
2018-04-02,80.9500,81.9500,80.3500,80.8000,80.6009,296419,0.0000,1.0000
2018-03-29,79.9000,81.7000,79.4500,81.2500,81.0498,540961,0.0000,1.0000
2018-03-28,79.6000,80.5000,79.0000,79.6500,79.4537,286883,0.0000,1.0000
2018-03-27,81.7000,81.8000,79.2500,79.7000,79.5036,403218,0.0000,1.0000
2018-03-26,80.7000,82.1000,80.3000,81.6500,81.4488,233209,0.0000,1.0000
2018-03-23,81.0500,81.4000,79.7500,79.7500,79.5535,313308,0.0000,1.0000
2018-03-22,82.0500,82.2500,80.7000,80.7000,80.5011,243998,0.0000,1.0000
2018-03-21,82.1000,83.9000,82.1000,82.5500,82.3466,263256,0.0000,1.0000
2018-03-20,81.9500,82.6500,81.5000,82.3500,82.1471,258767,0.0000,1.0000
2018-03-19,81.8000,82.1000,81.1000,81.7000,81.4987,343531,0.0000,1.0000
2018-03-16,80.9000,82.1000,80.6000,81.9500,81.7480,512964,0.0000,1.0000
2018-03-15,80.6000,81.1000,80.2000,80.9500,80.7505,154944,0.0000,1.0000
2018-03-14,80.9000,81.2500,80.3500,80.4500,80.2517,245583,0.0000,1.0000
2018-03-13,80.5000,81.1000,79.9500,80.6000,80.4014,332309,0.0000,1.0000
2018-03-12,78.8000,80.5500,78.3500,80.3500,80.1520,205096,0.0000,1.0000
2018-03-09,77.7500,79.2000,77.3500,78.8000,78.6058,215901,0.0000,1.0000
2018-03-08,78.1500,78.2500,76.8000,77.3500,77.1594,198320,0.0000,1.0000
2018-03-07,76.5500,78.1500,76.3500,78.1000,77.9075,204058,0.0000,1.0000
2018-03-06,75.8000,76.9500,75.2500,76.9500,76.7604,325909,0.0000,1.0000
2018-03-05,74.3500,75.8500,74.0500,75.4500,75.2641,210280,0.0000,1.0000
2018-03-02,72.5500,74.9000,72.3000,74.6500,74.4660,195759,0.0000,1.0000
2018-03-01,73.6500,74.2000,72.3500,73.0500,72.8700,281895,0.0000,1.0000
2018-02-28,75.1500,75.9000,73.7000,73.7000,73.5184,259856,0.0000,1.0000
2018-02-27,75.6000,76.1500,74.9000,74.9000,74.7154,173096,0.0000,1.0000
2018-02-26,75.9500,76.2000,75.2000,75.4500,75.2641,177938,0.0000,1.0000
2018-02-23,75.0000,75.9500,74.6500,75.9500,75.7628,172266,0.0000,1.0000
2018-02-22,74.1500,75.8000,74.1500,74.8500,74.6655,312723,0.0000,1.0000
2018-02-21,73.0500,75.0500,72.7500,73.9500,73.7678,270027,0.0000,1.0000
2018-02-20,71.7500,72.9500,71.6000,72.7500,72.5707,208461,0.0000,1.0000
2018-02-16,72.3500,73.5000,71.9500,72.1500,71.9722,252998,0.0000,1.0000
2018-02-15,72.6500,73.0250,72.1000,72.6000,72.4211,239613,0.0000,1.0000
2018-02-14,71.7500,72.6000,71.5500,72.3000,72.1218,365466,0.0000,1.0000
2018-02-13,72.4500,73.7000,72.2000,72.2500,72.0719,265619,0.2200,1.0000
2018-02-12,73.7500,74.0500,72.5000,73.2000,72.7979,230079,0.0000,1.0000
2018-02-09,71.3000,74.1000,70.8925,73.5500,73.1460,296561,0.0000,1.0000
2018-02-08,73.7000,73.7500,70.7500,70.8000,70.4111,392097,0.0000,1.0000
2018-02-07,73.0500,73.7000,72.7500,73.3000,72.8974,226968,0.0000,1.0000
2018-02-06,71.7000,73.6750,70.6000,73.2000,72.7979,232254,0.0000,1.0000
2018-02-05,73.5500,74.9500,72.6750,72.7000,72.3007,313288,0.0000,1.0000
2018-02-02,74.4500,75.3500,73.0500,73.9500,73.5438,400833,0.0000,1.0000
2018-02-01,75.2500,75.2500,68.6500,74.2500,73.8422,591136,0.0000,1.0000
2018-01-31,73.1000,74.1000,73.0000,73.1000,72.6985,405988,0.0000,1.0000
2018-01-30,72.2000,73.4500,72.0500,73.1500,72.7482,164921,0.0000,1.0000
2018-01-29,72.9000,73.3000,72.2500,72.3000,71.9029,186319,0.0000,1.0000
2018-01-26,73.2000,73.2500,72.3000,72.9500,72.5493,239090,0.0000,1.0000
2018-01-25,72.2000,73.1500,71.5500,73.1000,72.6985,213229,0.0000,1.0000
2018-01-24,72.1000,72.4000,71.3000,71.7000,71.3062,120440,0.0000,1.0000
2018-01-23,71.3500,71.9500,71.2500,71.9000,71.5051,99243,0.0000,1.0000
2018-01-22,71.4000,71.6500,70.7500,71.6500,71.2564,103523,0.0000,1.0000
2018-01-19,70.1500,71.3000,70.1500,71.2500,70.8586,126326,0.0000,1.0000
2018-01-18,71.1000,71.2000,70.1500,70.4000,70.0133,144075,0.0000,1.0000
2018-01-17,70.8000,71.3500,70.6250,70.9500,70.5603,157380,0.0000,1.0000
2018-01-16,70.6500,71.3500,70.1500,70.6500,70.2619,195438,0.0000,1.0000
2018-01-12,70.1500,70.9000,70.1500,70.4500,70.0630,162151,0.0000,1.0000
2018-01-11,69.6000,70.5000,69.3500,70.5000,70.1128,156053,0.0000,1.0000
2018-01-10,68.9000,70.0000,68.7750,69.4500,69.0685,188050,0.0000,1.0000
2018-01-09,69.0500,70.1000,68.8000,68.9500,68.5713,348132,0.0000,1.0000
2018-01-08,69.0000,69.1750,68.3000,68.9000,68.5216,307050,0.0000,1.0000
2018-01-05,69.9000,70.0500,68.5000,68.6000,68.2232,222037,0.0000,1.0000
2018-01-04,69.7000,70.2500,69.6000,69.8000,69.4166,158367,0.0000,1.0000
2018-01-03,68.1000,69.5000,68.1000,69.3500,68.9691,159017,0.0000,1.0000
2018-01-02,67.5500,67.9500,66.9000,67.8500,67.4773,200771,0.0000,1.0000
2017-12-29,67.9000,68.0000,67.3500,67.4500,67.0795,176436,0.0000,1.0000
2017-12-28,67.4500,68.0500,67.4500,67.8000,67.4276,98372,0.0000,1.0000
2017-12-27,67.4500,67.9000,67.0500,67.3500,66.9801,81335,0.0000,1.0000
2017-12-26,67.5000,68.0000,67.3000,67.4500,67.0795,120393,0.0000,1.0000
2017-12-22,67.2750,67.9500,66.9000,67.6000,67.2287,122591,0.0000,1.0000
2017-12-21,67.7000,67.8500,67.1500,67.3000,66.9303,188386,0.0000,1.0000
2017-12-20,68.2500,68.4500,67.2500,67.4000,67.0298,141588,0.0000,1.0000
2017-12-19,67.8750,68.1000,67.0000,67.0500,66.6817,224549,0.0000,1.0000
2017-12-18,68.3000,68.6000,67.2000,67.8500,67.4773,223962,0.0000,1.0000
2017-12-15,66.6750,68.1000,66.4000,67.6500,67.2784,1037788,0.0000,1.0000
2017-12-14,67.4500,68.0000,65.8500,66.4500,66.0850,316815,0.0000,1.0000
2017-12-13,68.0000,68.1500,66.9500,67.7500,67.3779,241414,0.0000,1.0000
2017-12-12,68.0000,68.5000,67.7500,68.0000,67.6265,168892,0.0000,1.0000
2017-12-11,67.7500,68.1000,67.5000,67.8500,67.4773,211941,0.0000,1.0000
2017-12-08,67.8500,68.0000,67.2000,67.7500,67.3779,393765,0.0000,1.0000
2017-12-07,66.9500,68.1000,66.9000,67.8000,67.4276,315545,0.0000,1.0000
2017-12-06,66.9500,67.6500,66.7500,67.2000,66.8309,124780,0.0000,1.0000
2017-12-05,67.1500,67.5000,66.8000,67.0000,66.6320,133849,0.0000,1.0000
2017-12-04,67.3000,67.4500,66.7000,67.2000,66.8309,155541,0.0000,1.0000
2017-12-01,67.5500,67.5500,65.5500,66.6000,66.2342,167002,0.0000,1.0000
2017-11-30,67.3000,67.5000,66.7000,67.4000,67.0298,316756,0.0000,1.0000
2017-11-29,67.1000,67.4000,66.6000,66.9000,66.5325,361255,0.0000,1.0000
2017-11-28,66.5500,66.9000,66.2000,66.7500,66.3834,261380,0.0000,1.0000
2017-11-27,66.6500,66.8500,65.8000,66.2000,65.8364,155575,0.0000,1.0000
2017-11-24,66.3500,66.7500,65.8750,66.7000,66.3336,137424,0.0000,1.0000
2017-11-22,66.2000,66.4000,65.8500,66.3000,65.9358,129059,0.0000,1.0000
2017-11-21,65.7500,66.2000,65.5500,66.1000,65.7369,271555,0.0000,1.0000
2017-11-20,65.6000,66.2000,65.3100,65.5000,65.1402,331424,0.0000,1.0000
2017-11-17,64.3500,65.5000,64.0500,65.3500,64.9911,145986,0.0000,1.0000
2017-11-16,63.9500,65.1500,63.9500,64.6000,64.2452,209428,0.0000,1.0000
2017-11-15,63.1500,64.4250,63.0000,63.7000,63.3501,245545,0.0000,1.0000
2017-11-14,62.7500,63.9500,62.6500,63.4500,63.1015,142215,0.0000,1.0000
2017-11-13,63.4000,63.4000,62.7500,63.1000,62.7534,142533,0.0000,1.0000
2017-11-10,63.6500,64.3000,63.4000,63.4000,63.0518,91358,0.2000,1.0000
2017-11-09,64.0500,64.3000,63.1750,64.0000,63.4483,126514,0.0000,1.0000
2017-11-08,63.8500,65.1000,63.4500,64.5000,63.9440,384980,0.0000,1.0000
2017-11-07,65.0000,65.6000,63.5500,64.2500,63.6962,168015,0.0000,1.0000
2017-11-06,64.2500,65.6000,64.2500,65.1500,64.5884,145202,0.0000,1.0000
2017-11-03,64.1500,64.7500,64.0000,64.5000,63.9440,103282,0.0000,1.0000
2017-11-02,63.6500,64.4000,63.5500,64.2000,63.6466,141309,0.0000,1.0000
2017-11-01,64.3000,64.4500,62.9000,63.7500,63.2005,172738,0.0000,1.0000
2017-10-31,63.2500,63.9500,63.1500,63.8500,63.2996,259389,0.0000,1.0000
2017-10-30,63.9000,64.4500,63.2000,63.3000,62.7543,129768,0.0000,1.0000
2017-10-27,63.1000,64.8500,62.9000,64.4500,63.8944,264622,0.0000,1.0000
2017-10-26,62.7500,64.3000,62.0000,62.8500,62.3082,244562,0.0000,1.0000
2017-10-25,59.9000,60.4000,59.5000,60.4000,59.8793,108391,0.0000,1.0000
2017-10-24,59.6000,60.0000,59.4000,59.8500,59.3341,136141,0.0000,1.0000
2017-10-23,60.5000,60.8500,59.3500,59.6000,59.0862,157399,0.0000,1.0000
2017-10-20,60.1500,61.0500,60.1500,60.6000,60.0776,242614,0.0000,1.0000
2017-10-19,60.2500,60.2500,59.5000,59.6000,59.0862,285348,0.0000,1.0000
2017-10-18,60.6500,61.0500,59.9500,60.4500,59.9289,148712,0.0000,1.0000
2017-10-17,60.3500,60.7000,60.1500,60.5500,60.0281,132208,0.0000,1.0000
2017-10-16,60.9000,61.2500,59.4500,60.3500,59.8298,269109,0.0000,1.0000
2017-10-13,61.0500,61.0500,60.5250,60.8500,60.3255,219764,0.0000,1.0000
2017-10-12,61.2500,61.4500,60.9000,60.9500,60.4246,136751,0.0000,1.0000
2017-10-11,61.7500,61.8000,60.9750,61.3000,60.7716,204108,0.0000,1.0000
2017-10-10,61.9500,62.4000,61.4000,61.5000,60.9699,165086,0.0000,1.0000
2017-10-09,61.7000,61.8750,61.0500,61.5500,61.0194,197813,0.0000,1.0000
2017-10-06,61.9000,61.9500,61.4000,61.7000,61.1681,154995,0.0000,1.0000
2017-10-05,62.9500,63.1500,61.8000,61.9500,61.4160,205776,0.0000,1.0000
2017-10-04,63.4000,63.4000,62.4500,62.8500,62.3082,166882,0.0000,1.0000
2017-10-03,63.2500,63.3500,62.8000,63.0000,62.4569,162586,0.0000,1.0000
2017-10-02,63.2000,63.3000,62.2500,63.2500,62.7048,220230,0.0000,1.0000
2017-09-29,63.3500,63.6000,62.9000,63.1500,62.6056,213160,0.0000,1.0000
2017-09-28,62.7000,63.5500,62.5000,63.4500,62.9031,189641,0.0000,1.0000
2017-09-27,62.7500,62.9500,62.2500,62.7000,62.1595,274047,0.0000,1.0000
2017-09-26,62.2000,62.7000,61.8000,62.3500,61.8125,176553,0.0000,1.0000
2017-09-25,61.4000,62.3000,61.4000,62.1500,61.6143,188806,0.0000,1.0000
2017-09-22,60.9000,61.6500,60.8000,61.5000,60.9699,247851,0.0000,1.0000
2017-09-21,60.6000,61.0000,60.5000,61.0000,60.4742,126800,0.0000,1.0000
2017-09-20,60.4500,61.0500,60.3500,60.7500,60.2263,201365,0.0000,1.0000
2017-09-19,59.9500,60.8000,59.8000,60.6500,60.1272,171787,0.0000,1.0000
2017-09-18,59.9000,60.3500,59.7500,60.0000,59.4828,131788,0.0000,1.0000
2017-09-15,58.0500,60.2000,57.8000,59.8000,59.2845,516292,0.0000,1.0000
2017-09-14,58.1500,58.6500,57.7500,57.9500,57.4505,196631,0.0000,1.0000
2017-09-13,58.2000,58.4000,57.9000,58.3000,57.7974,166439,0.0000,1.0000
2017-09-12,58.8000,58.8000,58.2500,58.3000,57.7974,133553,0.0000,1.0000
2017-09-11,58.8000,58.9500,58.3500,58.7500,58.2436,191885,0.0000,1.0000
2017-09-08,58.2500,58.5000,58.1500,58.4000,57.8966,118421,0.0000,1.0000
2017-09-07,58.2500,58.4500,57.9500,58.2500,57.7479,132867,0.0000,1.0000
2017-09-06,58.6500,58.8000,58.1500,58.4000,57.8966,113125,0.0000,1.0000
2017-09-05,58.9000,59.2500,58.3500,58.4500,57.9462,125090,0.0000,1.0000
2017-09-01,58.7500,59.1500,58.5250,59.1000,58.5906,130194,0.0000,1.0000
2017-08-31,58.3500,58.7500,58.2500,58.7000,58.1940,137008,0.0000,1.0000
2017-08-30,58.4500,58.6000,57.9500,58.0000,57.5000,285977,0.0000,1.0000
2017-08-29,58.5500,58.7500,58.2500,58.5000,57.9957,207178,0.0000,1.0000
2017-08-28,59.1500,59.2500,58.7000,58.9000,58.3923,282982,0.0000,1.0000
2017-08-25,59.5500,59.7500,58.8500,58.9000,58.3923,192614,0.0000,1.0000
2017-08-24,59.2500,59.9500,58.7500,59.5000,58.9871,152371,0.0000,1.0000
2017-08-23,58.9500,59.4500,58.8500,59.0000,58.4914,179772,0.0000,1.0000
2017-08-22,59.3500,59.3500,58.9250,59.2500,58.7393,185581,0.0000,1.0000
2017-08-21,59.9500,59.9500,59.1500,59.2000,58.6897,280621,0.0000,1.0000
2017-08-18,59.8000,60.3500,59.7500,60.0000,59.4828,440651,0.0000,1.0000
2017-08-17,60.2000,60.4500,60.0000,60.2000,59.6811,302345,0.0000,1.0000
2017-08-16,60.1500,60.6500,60.1000,60.3500,59.8298,238139,0.0000,1.0000
2017-08-15,59.3000,60.1500,59.1500,60.0500,59.5324,217905,0.0000,1.0000
2017-08-14,58.4500,59.6000,58.3000,59.3000,58.7888,139985,0.0000,1.0000
2017-08-11,58.1500,58.6000,57.5500,58.1500,57.6487,191951,0.1900,1.0000
2017-08-10,58.8000,59.2500,58.5000,58.6000,57.9057,153265,0.0000,1.0000
2017-08-09,58.7000,59.0000,58.3250,58.9000,58.2021,224596,0.0000,1.0000
2017-08-08,58.4000,59.4500,57.9500,58.9500,58.2515,135139,0.0000,1.0000
2017-08-07,57.9500,58.6500,57.7000,58.4000,57.7080,100583,0.0000,1.0000
2017-08-04,58.0000,58.2500,57.6500,57.8500,57.1645,102474,0.0000,1.0000
2017-08-03,57.9500,58.0500,57.7500,57.9000,57.2140,129154,0.0000,1.0000
2017-08-02,58.2000,58.7500,57.7000,57.9500,57.2634,155736,0.0000,1.0000
2017-08-01,58.2500,58.5000,58.0000,58.2500,57.5598,191931,0.0000,1.0000
2017-07-31,58.6000,58.6000,58.0000,58.1500,57.4610,200174,0.0000,1.0000
2017-07-28,58.9500,59.0000,58.3500,58.4500,57.7574,169740,0.0000,1.0000
2017-07-27,58.2000,60.7500,57.6500,58.9500,58.2515,362403,0.0000,1.0000
2017-07-26,58.0500,58.5500,57.8750,57.9500,57.2634,189554,0.0000,1.0000
2017-07-25,58.2500,58.3000,58.0000,58.1000,57.4116,135518,0.0000,1.0000
2017-07-24,58.2000,58.3000,57.6000,58.0000,57.3128,231798,0.0000,1.0000
2017-07-21,58.3000,58.5000,57.7500,57.9500,57.2634,171736,0.0000,1.0000
2017-07-20,57.9500,58.1000,57.7000,57.9500,57.2634,158129,0.0000,1.0000
2017-07-19,58.3000,58.3000,57.7750,57.9500,57.2634,221415,0.0000,1.0000
2017-07-18,57.9000,58.3500,57.6500,57.9500,57.2634,128108,0.0000,1.0000
2017-07-17,57.5000,58.3000,56.4000,58.0500,57.3622,247479,0.0000,1.0000
2017-07-14,58.4000,59.0500,58.1500,58.5500,57.8563,191748,0.0000,1.0000
2017-07-13,58.6500,58.9500,57.5000,58.4500,57.7574,614684,0.0000,1.0000
2017-07-12,58.9500,59.1000,58.2250,58.5500,57.8563,173741,0.0000,1.0000
2017-07-11,58.1000,58.8000,57.5500,58.5000,57.8068,257100,0.0000,1.0000
2017-07-10,57.8500,58.4500,57.6500,57.9500,57.2634,137967,0.0000,1.0000
2017-07-07,58.6500,58.6500,58.0500,58.1500,57.4610,169138,0.0000,1.0000
2017-07-06,58.3500,58.7000,58.1000,58.4500,57.7574,171865,0.0000,1.0000
2017-07-05,58.5500,58.8500,58.1500,58.6500,57.9551,112487,0.0000,1.0000
2017-07-03,58.4000,59.1000,58.3500,58.6000,57.9057,67998,0.0000,1.0000
2017-06-30,58.3500,58.7500,58.0500,58.3000,57.6092,133281,0.0000,1.0000
2017-06-29,59.2000,59.2000,57.9000,58.2500,57.5598,110696,0.0000,1.0000
2017-06-28,58.9000,59.3500,58.5000,58.8500,58.1527,212796,0.0000,1.0000
2017-06-27,57.5500,58.6250,57.3200,58.3500,57.6586,213274,0.0000,1.0000
2017-06-26,57.2500,57.9000,57.1000,57.5000,56.8187,123727,0.0000,1.0000
2017-06-23,56.7000,57.3000,56.4500,57.1000,56.4234,495538,0.0000,1.0000
2017-06-22,55.6000,57.1926,55.3500,56.6000,55.9294,297776,0.0000,1.0000
2017-06-21,55.6000,55.9000,55.3000,55.5500,54.8918,182884,0.0000,1.0000
2017-06-20,55.5500,56.0000,55.3500,55.5000,54.8424,75222,0.0000,1.0000
2017-06-19,55.9500,56.1500,55.5500,55.8500,55.1882,108816,0.0000,1.0000
2017-06-16,55.3500,55.9000,55.3000,55.6500,54.9906,278891,0.0000,1.0000
2017-06-15,55.3500,56.1000,55.3500,55.9500,55.2871,104815,0.0000,1.0000
2017-06-14,55.8500,56.0500,55.4000,55.7000,55.0400,146849,0.0000,1.0000
2017-06-13,55.6000,56.0000,55.3500,55.8500,55.1882,140569,0.0000,1.0000
2017-06-12,56.1000,56.8000,55.2500,55.6000,54.9412,170657,0.0000,1.0000
2017-06-09,55.2500,56.1000,55.2500,56.0500,55.3859,195659,0.0000,1.0000
