timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,5.3600,5.4499,5.2200,5.3200,5.3200,7698,0.0000,1.0000
2018-07-02,5.7500,5.7500,5.2800,5.3500,5.3500,30734,0.0000,1.0000
2018-06-29,5.2400,5.4200,5.1800,5.4200,5.4200,14352,0.0000,1.0000
2018-06-28,5.3276,5.4400,5.2200,5.4400,5.4400,12729,0.0000,1.0000
2018-06-27,5.4100,5.4100,5.2800,5.3500,5.3500,8535,0.0000,1.0000
2018-06-26,5.4000,5.4646,5.3500,5.4000,5.4000,55871,0.0000,1.0000
2018-06-25,5.7700,5.7700,5.3600,5.4100,5.4100,23664,0.0000,1.0000
2018-06-22,5.8400,5.8500,5.7500,5.7800,5.7800,15031,0.0000,1.0000
2018-06-21,5.7400,5.8400,5.6000,5.8400,5.8400,45088,0.0000,1.0000
2018-06-20,5.8200,5.8200,5.6400,5.7300,5.7300,29824,0.0000,1.0000
2018-06-19,5.9800,5.9899,5.6800,5.7900,5.7900,26920,0.0000,1.0000
2018-06-18,5.9900,6.0000,5.9200,6.0000,6.0000,25319,0.0000,1.0000
2018-06-15,5.9600,6.0391,5.8900,6.0000,6.0000,106459,0.0000,1.0000
2018-06-14,5.9600,6.1150,5.9425,5.9900,5.9900,40134,0.0000,1.0000
2018-06-13,6.2000,6.2077,5.9300,5.9500,5.9500,73941,0.0000,1.0000
2018-06-12,5.9500,6.9500,5.9000,6.2100,6.2100,54029,0.0000,1.0000
2018-06-11,5.9700,6.0400,5.8900,5.9500,5.9500,21869,0.0000,1.0000
2018-06-08,6.0600,6.2500,6.0000,6.0000,6.0000,223611,0.0000,1.0000
2018-06-07,6.2600,6.3500,6.1100,6.1200,6.1200,27211,0.0000,1.0000
2018-06-06,6.3300,6.4000,6.2920,6.3100,6.3100,5369,0.0000,1.0000
2018-06-05,6.4600,6.5490,6.1600,6.1800,6.1800,17031,0.0000,1.0000
2018-06-04,6.8000,6.8400,6.4300,6.4900,6.4900,23380,0.0000,1.0000
2018-06-01,6.9600,6.9954,6.8200,6.8400,6.8400,4323,0.0000,1.0000
2018-05-31,6.9000,7.0000,6.9000,6.9700,6.9700,4077,0.0000,1.0000
2018-05-30,6.8500,7.0000,6.7450,7.0000,7.0000,56998,0.0000,1.0000
2018-05-29,7.0600,7.0900,6.8500,6.9200,6.9200,77330,0.0000,1.0000
2018-05-25,6.9300,7.1991,6.8650,6.9900,6.9900,50199,0.0000,1.0000
2018-05-24,7.2500,7.3500,6.8600,6.9000,6.9000,75993,0.0000,1.0000
2018-05-23,7.6000,7.6000,7.1300,7.1300,7.1300,53165,0.0000,1.0000
2018-05-22,7.3300,7.5900,7.3300,7.5400,7.5400,47294,0.0000,1.0000
2018-05-21,7.0000,7.4600,6.9600,7.2200,7.2200,40546,0.0000,1.0000
2018-05-18,7.0000,7.2100,6.9200,6.9200,6.9200,15260,0.0000,1.0000
2018-05-17,6.9500,7.0593,6.9500,7.0000,7.0000,5011,0.0000,1.0000
2018-05-16,7.0000,7.6800,6.9000,7.0000,7.0000,90051,0.0000,1.0000
2018-05-15,6.9700,7.3600,6.9700,7.3100,7.3100,39120,0.0000,1.0000
2018-05-14,6.9500,6.9800,6.8500,6.9000,6.9000,21911,0.0000,1.0000
2018-05-11,6.8500,6.8900,6.7897,6.8800,6.8800,2511,0.0000,1.0000
2018-05-10,6.7900,6.8400,6.7400,6.8000,6.8000,46677,0.0000,1.0000
2018-05-09,6.9000,6.9750,6.8000,6.8000,6.8000,32309,0.0000,1.0000
2018-05-08,6.8100,6.9800,6.7800,6.8400,6.8400,17357,0.0000,1.0000
2018-05-07,6.8000,6.9800,6.8000,6.8100,6.8100,10418,0.0000,1.0000
2018-05-04,6.8000,6.8400,6.7350,6.8000,6.8000,47193,0.0000,1.0000
2018-05-03,6.8000,6.8950,6.7400,6.8100,6.8100,32068,0.0000,1.0000
2018-05-02,6.7800,6.9200,6.7300,6.8000,6.8000,9758,0.0000,1.0000
2018-05-01,6.7850,6.8900,6.7300,6.8500,6.8500,5394,0.0000,1.0000
2018-04-30,6.8300,6.9100,6.7500,6.8000,6.8000,20852,0.0000,1.0000
2018-04-27,6.8300,6.9200,6.8300,6.9000,6.9000,4959,0.0000,1.0000
2018-04-26,6.8800,7.0500,6.8000,6.9300,6.9300,37896,0.0000,1.0000
2018-04-25,6.9500,6.9800,6.7600,6.8100,6.8100,10892,0.0000,1.0000
2018-04-24,6.7100,6.9700,6.6200,6.8500,6.8500,24019,0.0000,1.0000
2018-04-23,6.8600,6.8600,6.5700,6.5800,6.5800,8836,0.0000,1.0000
2018-04-20,7.2300,7.2300,6.7200,6.7600,6.7600,6422,0.0000,1.0000
2018-04-19,6.6700,7.3000,6.5100,7.3000,7.3000,14756,0.0000,1.0000
2018-04-18,6.6200,6.6200,6.5100,6.5600,6.5600,8793,0.0000,1.0000
2018-04-17,6.5100,6.6500,6.5000,6.5500,6.5500,54929,0.0000,1.0000
2018-04-16,6.5700,6.7300,6.5100,6.6000,6.6000,29985,0.0000,1.0000
2018-04-13,6.7200,6.7200,6.5100,6.5800,6.5800,2324,0.0000,1.0000
2018-04-12,6.6800,6.7600,6.5500,6.6900,6.6900,11636,0.0000,1.0000
2018-04-11,6.7000,6.7500,6.5000,6.6900,6.6900,73106,0.0000,1.0000
2018-04-10,6.6800,6.8300,6.5000,6.6200,6.6200,78525,0.0000,1.0000
2018-04-09,6.8800,7.1200,6.7100,6.7100,6.7100,119870,0.0000,1.0000
2018-04-06,6.8758,6.8900,6.7500,6.8900,6.8900,13482,0.0000,1.0000
2018-04-05,6.8900,7.0300,6.8100,6.9750,6.9750,4331,0.0000,1.0000
2018-04-04,6.8600,7.0100,6.7500,6.9800,6.9800,4673,0.0000,1.0000
2018-04-03,6.9500,7.1300,6.7700,7.0400,7.0400,43766,0.0000,1.0000
2018-04-02,6.6300,7.2200,6.6300,6.9000,6.9000,93126,0.0000,1.0000
2018-03-29,6.7200,6.7200,6.6100,6.6300,6.6300,10537,0.0000,1.0000
2018-03-28,7.0000,7.0000,6.6800,6.6800,6.6800,28890,0.0000,1.0000
2018-03-27,6.6500,7.2100,6.6500,7.1200,7.1200,72714,0.0000,1.0000
