timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,6.1000,6.1229,6.0900,6.1100,6.1100,25626,0.0000,1.0000
2018-07-02,6.0100,6.0400,5.9700,6.0400,6.0400,67822,0.0000,1.0000
2018-06-29,6.0300,6.0600,5.9950,6.0100,6.0100,46853,0.0000,1.0000
2018-06-28,6.0100,6.1000,6.0000,6.0400,6.0400,24412,0.0000,1.0000
2018-06-27,6.0900,6.1100,5.9900,6.0100,6.0100,69978,0.0000,1.0000
2018-06-26,6.0600,6.1100,6.0600,6.1000,6.1000,29901,0.0000,1.0000
2018-06-25,6.0710,6.0963,6.0500,6.0800,6.0800,27705,0.0000,1.0000
2018-06-22,6.1100,6.1497,6.0922,6.1301,6.1301,19201,0.0000,1.0000
2018-06-21,6.1100,6.1300,6.0630,6.0899,6.0899,71706,0.0000,1.0000
2018-06-20,6.1100,6.1290,6.0900,6.1100,6.1100,28199,0.0000,1.0000
2018-06-19,6.0800,6.1900,6.0800,6.1400,6.1400,29391,0.0000,1.0000
2018-06-18,6.0900,6.1500,6.0600,6.0900,6.0900,50998,0.0000,1.0000
2018-06-15,6.1300,6.1400,6.1300,6.1311,6.1311,11863,0.0000,1.0000
2018-06-14,6.1000,6.1400,6.1000,6.1383,6.1383,31746,0.0000,1.0000
2018-06-13,6.1100,6.1890,6.0600,6.1265,6.1265,33159,0.0000,1.0000
2018-06-12,6.1700,6.1800,6.1000,6.1400,6.1400,47085,0.0000,1.0000
2018-06-11,6.1000,6.1650,6.1000,6.1000,6.1000,19087,0.0000,1.0000
2018-06-08,6.0600,6.1935,6.0600,6.1400,6.1400,38560,0.0000,1.0000
2018-06-07,6.1100,6.1590,6.0600,6.0600,6.0600,23623,0.0000,1.0000
2018-06-06,6.0600,6.1200,6.0600,6.1200,6.1200,26814,0.0000,1.0000
2018-06-05,6.1000,6.1358,6.0500,6.0500,6.0500,25779,0.0000,1.0000
2018-06-04,6.0500,6.1600,6.0500,6.1499,6.1499,25518,0.0000,1.0000
2018-06-01,6.2300,6.2300,6.0500,6.0500,6.0500,57729,0.0000,1.0000
2018-05-31,6.2600,6.2600,6.0900,6.1700,6.1700,93370,0.0000,1.0000
2018-05-30,6.0700,6.2100,6.0700,6.2100,6.2100,45443,0.0000,1.0000
2018-05-29,6.0100,6.1886,6.0100,6.1200,6.1200,55640,0.0000,1.0000
2018-05-25,6.0200,6.0287,6.0000,6.0287,6.0287,23097,0.0000,1.0000
2018-05-24,6.0600,6.0600,6.0000,6.0500,6.0500,29048,0.0000,1.0000
2018-05-23,6.0500,6.1000,6.0000,6.0500,6.0500,51719,0.0000,1.0000
2018-05-22,6.0500,6.1100,6.0500,6.0500,6.0500,46554,0.1750,1.0000
2018-05-21,6.2400,6.2899,6.2300,6.2600,6.0840,64160,0.0000,1.0000
2018-05-18,6.2500,6.2500,6.1500,6.2450,6.0694,55863,0.0000,1.0000
2018-05-17,6.2100,6.2400,6.1500,6.2131,6.0384,39943,0.0000,1.0000
2018-05-16,6.1900,6.2100,6.1463,6.2100,6.0354,53014,0.0000,1.0000
2018-05-15,6.1300,6.2084,6.1195,6.1944,6.0203,32747,0.0000,1.0000
2018-05-14,6.1400,6.2200,6.1300,6.1800,6.0063,31624,0.0000,1.0000
2018-05-11,6.1800,6.1800,6.0700,6.1000,5.9285,47880,0.0000,1.0000
2018-05-10,6.1000,6.1899,6.1000,6.1200,5.9480,15597,0.0000,1.0000
2018-05-09,6.2000,6.2000,6.0120,6.0900,5.9188,37650,0.0000,1.0000
2018-05-08,6.0100,6.1600,5.9891,6.1600,5.9868,47753,0.0000,1.0000
2018-05-07,5.9700,6.0615,5.9601,6.0000,5.8313,64423,0.0000,1.0000
2018-05-04,5.9200,6.0180,5.9150,6.0000,5.8313,28308,0.0000,1.0000
2018-05-03,5.9400,5.9900,5.8900,5.9700,5.8022,61825,0.0000,1.0000
2018-05-02,5.9800,6.0300,5.8700,5.8700,5.7050,57448,0.0000,1.0000
