timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,7.7300,7.9300,7.6500,7.6500,7.6500,736172,0.0000,1.0000
2018-07-02,7.6800,7.6850,7.4500,7.6100,7.6100,1371279,0.0000,1.0000
2018-06-29,7.6400,7.8200,7.6100,7.8000,7.8000,702942,0.0000,1.0000
2018-06-28,7.5300,7.6350,7.4500,7.6100,7.6100,826684,0.0000,1.0000
2018-06-27,7.4300,7.9300,7.4300,7.5100,7.5100,1237257,0.0000,1.0000
2018-06-26,7.2500,7.3800,7.0100,7.3600,7.3600,833459,0.0000,1.0000
2018-06-25,7.4300,7.4300,7.1400,7.2500,7.2500,642869,0.0000,1.0000
2018-06-22,7.5400,7.6000,7.3000,7.4500,7.4500,3739336,0.0000,1.0000
2018-06-21,7.4700,7.4750,7.1800,7.2000,7.2000,864507,0.0000,1.0000
2018-06-20,7.6400,7.6600,7.3100,7.5100,7.5100,1134237,0.0000,1.0000
2018-06-19,7.3200,7.6050,7.2700,7.5400,7.5400,801109,0.0000,1.0000
2018-06-18,7.5800,7.6127,7.3500,7.4500,7.4500,968014,0.0000,1.0000
2018-06-15,7.7200,7.8200,7.5600,7.5800,7.5800,2049124,0.0000,1.0000
2018-06-14,7.7900,7.8600,7.7150,7.7800,7.7800,756454,0.0000,1.0000
2018-06-13,7.5500,7.8550,7.4050,7.7500,7.7500,1435370,0.0000,1.0000
2018-06-12,7.3500,7.7850,7.3376,7.5900,7.5900,1488358,0.0000,1.0000
2018-06-11,7.2400,7.3800,7.1000,7.3000,7.3000,1064809,0.0000,1.0000
2018-06-08,7.4600,7.4600,7.1710,7.2400,7.2400,666213,0.0000,1.0000
2018-06-07,7.2500,7.4900,7.2200,7.4600,7.4600,1670775,0.0000,1.0000
2018-06-06,7.4000,7.4200,7.0400,7.1600,7.1600,1288817,0.0000,1.0000
2018-06-05,7.2000,7.4050,7.1750,7.3600,7.3600,748531,0.0000,1.0000
2018-06-04,7.3200,7.3800,7.1400,7.2300,7.2300,857955,0.0000,1.0000
2018-06-01,7.4200,7.5100,7.1300,7.2800,7.2800,803061,0.0000,1.0000
2018-05-31,7.6000,7.6200,7.3400,7.3800,7.3800,1356816,0.0000,1.0000
2018-05-30,7.3200,7.7050,7.3000,7.6800,7.6800,1005490,0.0000,1.0000
2018-05-29,7.1200,7.3500,7.1112,7.2400,7.2400,825800,0.0000,1.0000
2018-05-25,7.1400,7.2300,6.9900,7.2000,7.2000,973024,0.0000,1.0000
2018-05-24,7.2500,7.4800,7.1700,7.3100,7.3100,729537,0.0000,1.0000
2018-05-23,7.4100,7.5050,7.3200,7.3900,7.3900,962014,0.0000,1.0000
2018-05-22,7.7200,7.8300,7.4400,7.5200,7.5200,849645,0.0000,1.0000
2018-05-21,7.6900,7.7300,7.5700,7.7000,7.7000,484758,0.0000,1.0000
2018-05-18,7.8200,7.9100,7.6500,7.6700,7.6700,556608,0.0000,1.0000
2018-05-17,7.6000,7.9300,7.6000,7.8400,7.8400,654256,0.0000,1.0000
