timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,23.4400,23.7200,23.3000,23.4000,23.4000,486860,0.0000,1.0000
2018-07-02,23.1100,23.3400,22.8600,23.2700,23.2700,1242394,0.0000,1.0000
2018-06-29,23.3700,23.5900,23.0700,23.3200,23.3200,1314333,0.0000,1.0000
2018-06-28,22.9900,23.4000,22.8500,23.2400,23.2400,1418633,0.0000,1.0000
2018-06-27,23.0700,23.4100,22.8200,22.9600,22.9600,1531714,0.0000,1.0000
2018-06-26,23.8200,23.9800,23.0600,23.0800,23.0800,1559499,0.0000,1.0000
2018-06-25,23.3500,23.8000,23.1900,23.7700,23.7700,1300626,0.0000,1.0000
2018-06-22,23.9700,24.0400,23.3500,23.3800,23.3800,8877152,0.0000,1.0000
2018-06-21,24.2600,24.3100,23.7900,23.8600,23.8600,915612,0.0000,1.0000
2018-06-20,24.2000,24.3500,23.8900,24.2600,24.2600,1118725,0.0000,1.0000
2018-06-19,23.6500,24.1900,23.5900,24.1100,24.1100,949066,0.0000,1.0000
2018-06-18,23.5200,24.0200,23.3700,23.8600,23.8600,992947,0.0000,1.0000
2018-06-15,23.6300,23.8625,23.4400,23.6000,23.6000,2392200,0.0000,1.0000
2018-06-14,23.9700,23.9700,23.6400,23.6800,23.6800,1063667,0.0000,1.0000
2018-06-13,24.4300,24.4300,23.8600,23.9000,23.9000,1071586,0.0000,1.0000
2018-06-12,24.6800,24.8200,24.1700,24.3700,24.3700,988751,0.0000,1.0000
2018-06-11,24.8800,24.9350,24.5901,24.6800,24.6800,757203,0.0000,1.0000
2018-06-08,24.7600,24.9000,24.5950,24.8200,24.8200,872024,0.0000,1.0000
2018-06-07,24.5500,24.8500,24.5463,24.8200,24.8200,979587,0.0000,1.0000
2018-06-06,24.1500,24.4800,24.0900,24.4800,24.4800,1210176,0.0000,1.0000
2018-06-05,24.0900,24.2300,23.7300,24.1100,24.1100,1193919,0.0000,1.0000
2018-06-04,24.5500,24.5900,24.0000,24.1300,24.1300,1321258,0.0000,1.0000
2018-06-01,24.6100,24.6600,24.1000,24.3900,24.3900,1508329,0.0000,1.0000
2018-05-31,24.5000,24.6900,24.0500,24.2700,24.2700,1790584,0.0000,1.0000
2018-05-30,24.5300,24.8050,24.4200,24.5800,24.5800,1128529,0.0000,1.0000
2018-05-29,24.8600,24.9700,24.2200,24.4000,24.4000,1179965,0.0000,1.0000
2018-05-25,24.5900,24.8500,24.4300,24.8300,24.8300,578336,0.0000,1.0000
2018-05-24,24.6700,24.7600,24.2500,24.5900,24.5900,779566,0.0000,1.0000
2018-05-23,24.8500,24.9500,24.5900,24.8000,24.8000,551040,0.0000,1.0000
2018-05-22,25.1200,25.2250,24.9300,25.0600,25.0600,769806,0.0000,1.0000
2018-05-21,24.9200,25.1700,24.8100,24.9900,24.9900,685976,0.0000,1.0000
2018-05-18,24.9900,25.0500,24.7900,24.8100,24.8100,749500,0.0000,1.0000
2018-05-17,24.8700,25.0700,24.7700,24.9500,24.9500,617313,0.0000,1.0000
2018-05-16,24.7000,25.2000,24.7000,24.8500,24.8500,1416267,0.0000,1.0000
2018-05-15,24.5900,24.8900,24.5600,24.7700,24.7700,894038,0.0000,1.0000
2018-05-14,24.6900,24.9800,24.6700,24.7100,24.7100,957433,0.0000,1.0000
2018-05-11,24.6900,24.9700,24.4000,24.5300,24.5300,1343935,0.0000,1.0000
2018-05-10,24.4800,24.8000,24.3700,24.7000,24.7000,906930,0.0000,1.0000
2018-05-09,24.7400,24.7900,24.1100,24.3300,24.3300,1502828,0.0000,1.0000
2018-05-08,24.6000,25.0050,24.4200,24.6200,24.6200,1440275,0.0000,1.0000
2018-05-07,25.1000,25.2050,24.4151,24.7000,24.7000,1541321,0.2700,1.0000
2018-05-04,24.8500,25.6800,24.7300,25.3500,25.0759,1266984,0.0000,1.0000
2018-05-03,25.0000,25.2300,24.6400,25.1000,24.8286,1473385,0.0000,1.0000
2018-05-02,25.4000,25.5500,25.1150,25.1600,24.8879,1413761,0.0000,1.0000
2018-05-01,26.3700,26.6172,24.9800,25.4100,25.1352,2997422,0.0000,1.0000
2018-04-30,26.9100,27.1200,26.4600,26.4700,26.1838,2131637,0.0000,1.0000
2018-04-27,30.3400,30.3400,26.5900,26.9900,26.6982,4826882,0.0000,1.0000
2018-04-26,30.6000,31.1200,29.7800,31.0700,30.7340,2403249,0.0000,1.0000
2018-04-25,31.0500,31.2100,30.7600,31.0000,30.6648,1284962,0.0000,1.0000
2018-04-24,31.4900,31.7300,30.9500,31.1500,30.8132,677436,0.0000,1.0000
