timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,46.4500,46.8000,46.3500,46.6500,46.6500,58445,0.0000,1.0000
2018-07-02,45.3000,46.2750,45.0500,46.2500,46.2500,186221,0.0000,1.0000
2018-06-29,45.8500,46.4000,45.7500,45.8000,45.8000,266645,0.0000,1.0000
2018-06-28,45.8000,46.2500,45.6000,45.7500,45.7500,197309,0.0000,1.0000
2018-06-27,46.6000,46.8000,45.8500,45.9500,45.9500,209063,0.0000,1.0000
2018-06-26,46.0000,46.7500,45.8500,46.6000,46.6000,618600,0.0000,1.0000
2018-06-25,46.1500,46.3500,45.3500,45.9500,45.9500,486554,0.0000,1.0000
2018-06-22,46.7500,46.9500,46.0000,46.3500,46.3500,418654,0.0000,1.0000
2018-06-21,47.7000,47.7000,46.3500,46.4500,46.4500,350765,0.0000,1.0000
2018-06-20,48.0000,48.1500,47.4000,47.5500,47.5500,353694,0.0000,1.0000
2018-06-19,48.2500,48.5400,47.4500,48.0500,48.0500,179767,0.0000,1.0000
2018-06-18,47.7500,48.9500,47.7000,48.6000,48.6000,108506,0.0000,1.0000
2018-06-15,47.3500,48.1000,47.1000,47.9000,47.9000,241312,0.0000,1.0000
2018-06-14,47.6000,47.6000,47.0200,47.5500,47.5500,95841,0.0000,1.0000
2018-06-13,47.8500,47.8500,47.2500,47.4500,47.4500,165100,0.0000,1.0000
2018-06-12,47.3500,47.9000,47.0500,47.9000,47.9000,94843,0.0000,1.0000
2018-06-11,47.3000,47.5500,47.0500,47.3500,47.3500,97487,0.0000,1.0000
2018-06-08,47.1500,47.8500,47.1500,47.4500,47.4500,139698,0.0000,1.0000
2018-06-07,48.2500,48.2500,46.5500,47.4500,47.4500,352606,0.0000,1.0000
2018-06-06,48.4000,48.8500,47.9000,48.1500,48.1500,117503,0.0000,1.0000
2018-06-05,47.6000,48.8000,47.6000,48.5000,48.5000,125909,0.0000,1.0000
2018-06-04,47.4000,47.8250,47.2000,47.7000,47.7000,122407,0.0000,1.0000
2018-06-01,47.2000,47.6500,46.9500,47.1000,47.1000,110960,0.0000,1.0000
2018-05-31,47.5500,47.7000,46.8000,46.8500,46.8500,130868,0.0000,1.0000
2018-05-30,46.9000,47.6500,46.9000,47.5500,47.5500,162564,0.0000,1.0000
2018-05-29,46.2000,46.8000,45.9250,46.4000,46.4000,234369,0.0000,1.0000
2018-05-25,46.1000,46.5000,45.5500,46.4500,46.4500,167599,0.0000,1.0000
2018-05-24,45.6500,46.4000,45.3000,46.2500,46.2500,170013,0.0000,1.0000
2018-05-23,45.8500,46.2500,45.5000,45.7500,45.7500,209385,0.0000,1.0000
2018-05-22,46.7500,46.7500,45.9000,46.0000,46.0000,95670,0.0000,1.0000
2018-05-21,46.2000,46.6500,45.9500,46.6000,46.6000,136787,0.0000,1.0000
2018-05-18,46.3000,46.3500,45.9500,46.0500,46.0500,137284,0.0000,1.0000
2018-05-17,45.7500,46.3500,45.7500,46.1000,46.1000,118009,0.0000,1.0000
2018-05-16,44.9000,46.1000,44.7750,45.7000,45.7000,229603,0.0000,1.0000
2018-05-15,44.5500,44.8500,44.4000,44.7500,44.7500,83824,0.0000,1.0000
2018-05-14,45.2000,45.2500,44.7000,44.7500,44.7500,94886,0.0000,1.0000
2018-05-11,45.3500,45.6500,44.7500,45.1500,45.1500,117743,0.0800,1.0000
2018-05-10,45.0000,45.5500,44.7000,45.5000,45.4195,141552,0.0000,1.0000
2018-05-09,44.6500,45.1500,44.2500,44.9000,44.8206,195625,0.0000,1.0000
2018-05-08,43.1000,44.4500,42.9500,44.4000,44.3215,130083,0.0000,1.0000
