timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,40.4400,41.0100,40.0900,40.1000,40.1000,392404,0.0000,1.0000
2018-07-02,40.0100,40.3800,39.4800,40.1000,40.1000,950092,0.0000,1.0000
2018-06-29,40.3100,41.0400,40.3100,40.4000,40.4000,724944,0.0000,1.0000
2018-06-28,40.3600,40.4700,39.6100,40.0800,40.0800,1325615,0.0000,1.0000
2018-06-27,40.2200,41.3445,40.2000,40.5000,40.5000,1638881,0.0000,1.0000
2018-06-26,39.9700,40.3250,39.5200,40.0000,40.0000,897881,0.0000,1.0000
2018-06-25,40.4100,40.5600,39.4500,39.6500,39.6500,963799,0.0000,1.0000
2018-06-22,40.7900,41.3700,40.7200,40.7900,40.7900,1132697,0.0000,1.0000
2018-06-21,40.4200,40.5900,40.0300,40.2000,40.2000,1393231,0.1900,1.0000
2018-06-20,40.5700,40.9200,39.9575,40.8200,40.6280,925619,0.0000,1.0000
2018-06-19,40.6400,40.8900,39.7400,40.2100,40.0208,1305871,0.0000,1.0000
2018-06-18,40.5100,41.1800,40.2600,41.1400,40.9465,1507687,0.0000,1.0000
2018-06-15,41.3500,41.3500,40.3100,40.8100,40.6180,1482620,0.0000,1.0000
2018-06-14,41.7000,41.9600,41.3800,41.5400,41.3446,942928,0.0000,1.0000
2018-06-13,42.4500,42.4900,41.5200,41.5700,41.3744,803470,0.0000,1.0000
2018-06-12,42.2900,42.5600,42.0500,42.4400,42.2404,921842,0.0000,1.0000
2018-06-11,42.2200,42.5200,41.9600,42.3200,42.1209,986281,0.0000,1.0000
2018-06-08,41.9500,42.3300,41.5500,42.1700,41.9716,1254843,0.0000,1.0000
2018-06-07,41.9300,42.3900,41.7000,42.1100,41.9119,733203,0.0000,1.0000
2018-06-06,41.3500,41.9300,40.9900,41.9100,41.7128,1001597,0.0000,1.0000
2018-06-05,40.8500,41.3100,40.7300,41.0900,40.8967,2614369,0.0000,1.0000
2018-06-04,41.0600,41.6800,40.7000,40.8400,40.6479,1182309,0.0000,1.0000
2018-06-01,41.5200,41.7100,40.8900,40.8900,40.6976,1666613,0.0000,1.0000
2018-05-31,42.4600,42.4600,40.9600,41.3400,41.1455,1543093,0.0000,1.0000
2018-05-30,41.8600,42.6500,41.7100,42.5200,42.3200,849829,0.0000,1.0000
2018-05-29,41.7900,42.2200,41.1900,41.5000,41.3048,1794717,0.0000,1.0000
2018-05-25,42.9000,43.0300,42.0800,42.2800,42.0811,880649,0.0000,1.0000
2018-05-24,43.3300,43.5000,42.8500,43.1900,42.9868,1401196,0.0000,1.0000
2018-05-23,44.2400,44.3250,42.9400,43.4100,43.2058,1184534,0.0000,1.0000
2018-05-22,45.1000,45.3700,44.5550,44.5900,44.3802,1186943,0.0000,1.0000
