timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,49.6700,50.7100,49.2733,50.1700,50.1700,240176,0.0000,1.0000
2018-07-02,49.2600,49.5400,48.4800,49.4400,49.4400,349096,0.0000,1.0000
2018-06-29,49.8800,50.2700,49.3000,49.3300,49.3300,372575,0.0000,1.0000
2018-06-28,49.9800,50.2300,49.0004,49.5500,49.5500,530048,0.0000,1.0000
2018-06-27,50.1300,51.3671,49.6650,49.9200,49.9200,666066,0.0000,1.0000
2018-06-26,49.2200,50.5600,48.8000,50.1500,50.1500,671496,0.0000,1.0000
2018-06-25,50.1400,50.1400,48.3800,49.3000,49.3000,558568,0.0000,1.0000
2018-06-22,50.8800,50.8800,49.9100,50.4200,50.4200,1289246,0.0000,1.0000
2018-06-21,51.7900,51.8150,49.7200,50.4300,50.4300,1555266,0.0000,1.0000
2018-06-20,54.1500,54.4000,51.9100,51.9600,51.9600,1832919,0.0000,1.0000
2018-06-19,54.6900,55.0000,53.1600,53.8200,53.8200,714323,0.0000,1.0000
2018-06-18,55.3600,55.3900,53.8800,54.9800,54.9800,939408,0.0000,1.0000
2018-06-15,54.8300,55.8600,54.2700,55.7500,55.7500,1238614,0.0000,1.0000
2018-06-14,54.7700,55.1400,54.0800,54.9900,54.9900,740327,0.0000,1.0000
2018-06-13,54.7600,55.3600,54.6300,54.9600,54.9600,731611,0.0000,1.0000
2018-06-12,54.4900,55.4200,54.2134,54.7700,54.7700,577793,0.0000,1.0000
2018-06-11,53.4100,54.5300,53.4100,54.1900,54.1900,734456,0.0000,1.0000
2018-06-08,52.3200,53.6200,52.0600,53.2200,53.2200,478693,0.0000,1.0000
2018-06-07,52.7500,53.3600,52.2300,52.4700,52.4700,613702,0.0000,1.0000
2018-06-06,51.1600,52.8200,51.0500,52.4800,52.4800,1446219,0.0000,1.0000
2018-06-05,49.4200,49.7200,48.4800,48.8000,48.8000,401909,0.0000,1.0000
2018-06-04,48.7100,49.4000,48.4900,49.2300,49.2300,704533,0.0000,1.0000
2018-06-01,47.0500,49.2200,47.0500,48.5300,48.5300,947972,0.0000,1.0000
2018-05-31,47.4600,47.7400,46.6400,47.0000,47.0000,700091,0.0000,1.0000
2018-05-30,48.2100,48.2300,47.2100,47.3600,47.3600,792596,0.0000,1.0000
2018-05-29,48.2000,49.0295,47.6500,47.7900,47.7900,1098259,0.0000,1.0000
2018-05-25,48.1600,49.0000,47.3500,48.5200,48.5200,972295,0.0000,1.0000
2018-05-24,46.4000,48.6900,45.8100,48.2600,48.2600,4275449,0.0000,1.0000
2018-05-23,45.3400,46.3000,45.2900,45.4500,45.4500,697920,0.0000,1.0000
2018-05-22,46.5000,47.1400,45.2000,45.5100,45.5100,562775,0.0000,1.0000
2018-05-21,47.1100,47.3799,46.1400,46.3300,46.3300,546827,0.0000,1.0000
2018-05-18,46.3600,47.2100,45.9500,46.8700,46.8700,837159,0.0000,1.0000
2018-05-17,45.2500,47.3000,45.2000,46.3300,46.3300,1234001,0.0000,1.0000
2018-05-16,45.4200,45.8600,44.9300,45.3200,45.3200,831474,0.0000,1.0000
2018-05-15,45.6600,45.9200,45.0500,45.5900,45.5900,961109,0.0000,1.0000
2018-05-14,46.1400,46.5400,45.6600,46.0700,46.0700,520712,0.0000,1.0000
2018-05-11,46.6500,47.2000,45.9200,46.1700,46.1700,1167007,0.0000,1.0000
2018-05-10,47.1200,48.2200,46.0500,46.4200,46.4200,896240,0.0000,1.0000
2018-05-09,46.0400,47.4900,45.7200,47.1600,47.1600,919780,0.0000,1.0000
2018-05-08,44.8500,45.8100,44.6798,45.6200,45.6200,687312,0.0000,1.0000
2018-05-07,47.0200,47.2700,43.8600,44.8800,44.8800,2073712,0.0000,1.0000
2018-05-04,46.4600,48.6400,46.2300,46.9400,46.9400,1870515,0.0000,1.0000
2018-05-03,49.8700,50.1600,46.0700,46.5600,46.5600,4726451,0.0000,1.0000
2018-05-02,54.9600,55.2300,53.5400,54.0500,54.0500,1177477,0.0000,1.0000
2018-05-01,55.3000,55.5600,53.1600,55.3900,55.3900,702319,0.0000,1.0000
2018-04-30,55.4200,56.3100,55.3850,55.5900,55.5900,335590,0.0000,1.0000
2018-04-27,55.1600,55.9200,54.6673,55.0200,55.0200,512836,0.0000,1.0000
2018-04-26,53.4800,55.6900,53.4800,54.7100,54.7100,607715,0.0000,1.0000
2018-04-25,54.0000,54.7800,50.0000,53.3800,53.3800,1002131,0.0000,1.0000
2018-04-24,56.8300,57.1500,54.8800,55.5400,55.5400,490027,0.0000,1.0000
2018-04-23,56.7300,57.8500,55.5451,56.3500,56.3500,452579,0.0000,1.0000
2018-04-20,56.2600,57.4800,56.0200,56.5000,56.5000,657085,0.0000,1.0000
2018-04-19,56.2400,56.4000,55.5100,56.1500,56.1500,248555,0.0000,1.0000
2018-04-18,56.5900,57.2100,56.3100,56.5000,56.5000,422464,0.0000,1.0000
2018-04-17,54.8400,56.8400,54.3300,56.4700,56.4700,679361,0.0000,1.0000
2018-04-16,55.0400,55.8300,54.1800,54.2500,54.2500,440661,0.0000,1.0000
2018-04-13,54.6000,55.3900,53.9400,54.7300,54.7300,479721,0.0000,1.0000
2018-04-12,54.1000,54.7200,53.7900,54.2300,54.2300,479234,0.0000,1.0000
2018-04-11,54.2300,55.5500,53.7668,54.0200,54.0200,1008090,0.0000,1.0000
2018-04-10,55.9500,56.8000,54.6300,55.8300,55.8300,480119,0.0000,1.0000
2018-04-09,55.9400,56.0940,54.3200,55.2500,55.2500,704943,0.0000,1.0000
2018-04-06,56.8100,56.8100,54.1400,55.8600,55.8600,1274689,0.0000,1.0000
2018-04-05,56.5200,58.2800,55.5101,57.5000,57.5000,1184137,0.0000,1.0000
