timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,4.1000,4.1600,4.0700,4.0800,4.0800,130516,0.0000,1.0000
2018-07-02,3.9300,4.1100,3.9300,4.1000,4.1000,248186,0.0000,1.0000
2018-06-29,4.0700,4.0900,3.9500,3.9700,3.9700,484814,0.0000,1.0000
2018-06-28,4.1500,4.1500,3.9900,4.0700,4.0700,349807,0.0000,1.0000
2018-06-27,4.2400,4.3000,4.1400,4.1400,4.1400,328490,0.0000,1.0000
2018-06-26,4.2700,4.3300,4.2000,4.2500,4.2500,488563,0.0000,1.0000
2018-06-25,4.2900,4.3600,4.2500,4.2700,4.2700,324632,0.0000,1.0000
2018-06-22,4.2400,4.4250,4.1950,4.4100,4.4100,647611,0.0000,1.0000
2018-06-21,4.2700,4.2900,4.1900,4.2400,4.2400,303472,0.0000,1.0000
2018-06-20,4.2400,4.3000,4.2150,4.2500,4.2500,180792,0.0000,1.0000
2018-06-19,4.2100,4.2600,4.1298,4.2300,4.2300,335981,0.0000,1.0000
2018-06-18,4.2000,4.2500,4.1600,4.2400,4.2400,164915,0.0000,1.0000
2018-06-15,4.2200,4.2800,4.1800,4.2600,4.2600,244061,0.0000,1.0000
2018-06-14,4.3000,4.3700,4.2200,4.2500,4.2500,281433,0.0000,1.0000
2018-06-13,4.1600,4.3600,4.1600,4.3000,4.3000,958946,0.0000,1.0000
2018-06-12,4.1400,4.2500,4.1400,4.1700,4.1700,200394,0.0000,1.0000
2018-06-11,4.1400,4.1900,4.0900,4.1500,4.1500,153280,0.0000,1.0000
2018-06-08,4.1000,4.1700,4.0500,4.1600,4.1600,200227,0.0000,1.0000
2018-06-07,4.2000,4.2500,4.1100,4.1100,4.1100,406663,0.0000,1.0000
2018-06-06,4.1900,4.2700,4.1800,4.2000,4.2000,193409,0.0000,1.0000
2018-06-05,4.1800,4.2900,4.1450,4.1900,4.1900,1000600,0.0000,1.0000
2018-06-04,3.9600,4.2200,3.9200,4.2000,4.2000,381518,0.0000,1.0000
2018-06-01,4.0300,4.0599,3.9500,3.9600,3.9600,172678,0.0000,1.0000
2018-05-31,4.1700,4.2325,4.0000,4.0100,4.0100,407579,0.0000,1.0000
2018-05-30,4.2600,4.2900,4.1400,4.2000,4.2000,203102,0.0000,1.0000
2018-05-29,4.2000,4.2800,4.1700,4.2500,4.2500,250522,0.0000,1.0000
2018-05-25,4.2000,4.2900,4.1800,4.2200,4.2200,124501,0.0000,1.0000
2018-05-24,4.1900,4.2800,4.1194,4.2100,4.2100,176948,0.0000,1.0000
2018-05-23,4.2700,4.3400,4.1600,4.1800,4.1800,615606,0.0000,1.0000
2018-05-22,4.3100,4.3700,4.2650,4.3000,4.3000,539446,0.0000,1.0000
2018-05-21,4.2500,4.3500,4.2300,4.3200,4.3200,253703,0.0000,1.0000
2018-05-18,4.1700,4.3000,4.1000,4.2400,4.2400,389469,0.0000,1.0000
2018-05-17,4.0900,4.2100,4.0300,4.1700,4.1700,292501,0.0000,1.0000
