timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,7.5400,7.5800,7.5400,7.5400,7.5400,90965,0.0000,1.0000
2018-07-02,7.4800,7.5600,7.4800,7.5400,7.5400,211243,0.0000,1.0000
2018-06-29,7.5600,7.6300,7.5400,7.5400,7.5400,433422,0.0000,1.0000
2018-06-28,7.5100,7.5400,7.4900,7.5100,7.5100,239157,0.0000,1.0000
2018-06-27,7.5300,7.5686,7.5200,7.5400,7.5400,179246,0.0000,1.0000
2018-06-26,7.4500,7.5300,7.4500,7.5200,7.5200,196580,0.0000,1.0000
2018-06-25,7.5200,7.5400,7.4400,7.4400,7.4400,217795,0.0000,1.0000
2018-06-22,7.5100,7.6000,7.5100,7.5200,7.5200,196888,0.0000,1.0000
2018-06-21,7.5000,7.5100,7.4800,7.4900,7.4900,205126,0.0000,1.0000
2018-06-20,7.4900,7.5090,7.4700,7.4800,7.4800,225793,0.0000,1.0000
2018-06-19,7.4900,7.5300,7.4900,7.5100,7.5100,119496,0.0500,1.0000
2018-06-18,7.5600,7.5800,7.5400,7.5600,7.5100,178221,0.0000,1.0000
2018-06-15,7.5800,7.5900,7.5450,7.5700,7.5199,220307,0.0000,1.0000
2018-06-14,7.5300,7.6000,7.5271,7.5900,7.5398,152909,0.0000,1.0000
2018-06-13,7.6000,7.6401,7.5200,7.5200,7.4703,292264,0.0000,1.0000
2018-06-12,7.5800,7.6200,7.5500,7.6100,7.5597,291038,0.0000,1.0000
2018-06-11,7.5800,7.5900,7.5500,7.5600,7.5100,152279,0.0000,1.0000
2018-06-08,7.5900,7.5900,7.5700,7.5700,7.5199,199476,0.0000,1.0000
2018-06-07,7.5500,7.5901,7.5200,7.5900,7.5398,268887,0.0000,1.0000
2018-06-06,7.5400,7.5700,7.5200,7.5500,7.5001,218677,0.0000,1.0000
2018-06-05,7.4800,7.5200,7.4800,7.5000,7.4504,206928,0.0000,1.0000
2018-06-04,7.4800,7.5000,7.4600,7.4600,7.4107,181366,0.0000,1.0000
2018-06-01,7.4700,7.4900,7.4000,7.4700,7.4206,223727,0.0000,1.0000
2018-05-31,7.4600,7.4600,7.4200,7.4500,7.4007,396011,0.0000,1.0000
2018-05-30,7.4000,7.4500,7.3933,7.4300,7.3809,286772,0.0000,1.0000
2018-05-29,7.3800,7.4100,7.3600,7.4000,7.3511,248513,0.0000,1.0000
2018-05-25,7.3500,7.4200,7.3500,7.3800,7.3312,438758,0.0000,1.0000
2018-05-24,7.3600,7.3800,7.3307,7.3500,7.3014,218587,0.0000,1.0000
2018-05-23,7.3200,7.3900,7.3125,7.3500,7.3014,322037,0.0000,1.0000
2018-05-22,7.3600,7.3700,7.3100,7.3100,7.2617,234686,0.0000,1.0000
