timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,3.9500,4.0000,3.6500,3.7000,3.7000,301613,0.0000,1.0000
2018-07-02,3.7500,3.8500,3.6500,3.8500,3.8500,356333,0.0000,1.0000
2018-06-29,4.1000,4.1000,3.7500,3.8000,3.8000,569211,0.0000,1.0000
2018-06-28,4.1500,4.1500,4.0000,4.0500,4.0500,340622,0.0000,1.0000
2018-06-27,4.2000,4.2500,4.1000,4.2000,4.2000,222947,0.0000,1.0000
2018-06-26,4.5500,4.5500,4.0160,4.2000,4.2000,980023,0.0000,1.0000
2018-06-25,4.8500,4.8500,4.4500,4.5000,4.5000,908792,0.0000,1.0000
2018-06-22,4.9500,5.0000,4.8500,4.8500,4.8500,416282,0.0000,1.0000
2018-06-21,5.1500,5.1500,4.9000,4.9500,4.9500,274257,0.0000,1.0000
2018-06-20,5.0000,5.1500,4.9000,5.1500,5.1500,453790,0.0000,1.0000
2018-06-19,5.0000,5.0000,4.8100,4.9500,4.9500,608728,0.0000,1.0000
2018-06-18,5.0000,5.1250,4.9000,5.1000,5.1000,440194,0.0000,1.0000
2018-06-15,5.0000,5.1000,4.8500,5.1000,5.1000,504813,0.0000,1.0000
2018-06-14,5.1000,5.1000,4.9500,5.0000,5.0000,548746,0.0000,1.0000
2018-06-13,5.1500,5.2000,5.0000,5.0500,5.0500,606163,0.0000,1.0000
2018-06-12,5.2500,5.2500,5.0500,5.2000,5.2000,266060,0.0000,1.0000
2018-06-11,5.1000,5.3000,5.1000,5.2000,5.2000,248420,0.0000,1.0000
2018-06-08,5.2000,5.2250,5.1000,5.1500,5.1500,222474,0.0000,1.0000
2018-06-07,5.3000,5.5000,5.0500,5.1500,5.1500,459834,0.0000,1.0000
2018-06-06,5.3500,5.5250,5.2500,5.2500,5.2500,337334,0.0000,1.0000
2018-06-05,5.3000,5.5000,5.2500,5.4500,5.4500,246578,0.0000,1.0000
2018-06-04,5.1000,5.3500,5.1000,5.3500,5.3500,276791,0.0000,1.0000
2018-06-01,5.1000,5.2500,5.0500,5.0500,5.0500,247049,0.0000,1.0000
2018-05-31,5.1500,5.2500,5.1000,5.1000,5.1000,217540,0.0000,1.0000
2018-05-30,5.1500,5.3000,5.1500,5.2000,5.2000,202796,0.0000,1.0000
2018-05-29,5.3500,5.4000,5.1000,5.1000,5.1000,364186,0.0000,1.0000
2018-05-25,5.5500,5.7000,5.3000,5.4000,5.4000,298604,0.0000,1.0000
2018-05-24,5.8500,5.9000,5.5000,5.5500,5.5500,316263,0.0000,1.0000
2018-05-23,6.0000,6.4000,5.8000,5.9000,5.9000,815545,0.0000,1.0000
2018-05-22,5.8500,6.2334,5.4000,6.0500,6.0500,1034068,0.0000,1.0000
2018-05-21,5.2500,5.9500,5.2500,5.9000,5.9000,1271616,0.0000,1.0000
2018-05-18,5.1500,5.2500,5.1000,5.2500,5.2500,260629,0.0000,1.0000
2018-05-17,5.1000,5.1500,5.0500,5.1500,5.1500,195176,0.0000,1.0000
2018-05-16,5.0000,5.1000,4.9500,5.1000,5.1000,157531,0.0000,1.0000
2018-05-15,5.1000,5.1500,5.0000,5.0000,5.0000,190880,0.0000,1.0000
2018-05-14,5.0500,5.2500,5.0050,5.1500,5.1500,279238,0.0000,1.0000
2018-05-11,5.1000,5.2500,5.0500,5.0500,5.0500,237444,0.0000,1.0000
2018-05-10,5.0500,5.2500,4.9000,5.1500,5.1500,427253,0.0000,1.0000
2018-05-09,5.5000,5.5500,5.2000,5.4500,5.4500,468057,0.0000,1.0000
2018-05-08,5.2000,5.4500,5.1500,5.4500,5.4500,243119,0.0000,1.0000
2018-05-07,5.3000,5.4130,5.2000,5.2000,5.2000,313147,0.0000,1.0000
2018-05-04,5.1500,5.4500,5.0500,5.3000,5.3000,525438,0.0000,1.0000
