timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,7.6900,7.7100,7.6800,7.7000,7.7000,45292,0.0000,1.0000
2018-07-02,7.6800,7.7200,7.6793,7.6900,7.6900,78038,0.0000,1.0000
2018-06-29,7.6400,7.6900,7.6400,7.6700,7.6700,133965,0.0000,1.0000
2018-06-28,7.6400,7.6600,7.6200,7.6475,7.6475,101670,0.0000,1.0000
2018-06-27,7.6600,7.6600,7.6200,7.6400,7.6400,91925,0.0000,1.0000
2018-06-26,7.6500,7.6500,7.6000,7.6200,7.6200,66628,0.0000,1.0000
2018-06-25,7.6400,7.6600,7.6100,7.6300,7.6300,158967,0.0000,1.0000
2018-06-22,7.6400,7.6600,7.6200,7.6200,7.6200,66746,0.0000,1.0000
2018-06-21,7.6100,7.6600,7.5970,7.6500,7.6500,106858,0.0000,1.0000
2018-06-20,7.6300,7.6400,7.5800,7.6300,7.6300,158173,0.0000,1.0000
2018-06-19,7.6200,7.6500,7.6001,7.6200,7.6200,132353,0.0000,1.0000
2018-06-18,7.6300,7.6300,7.5900,7.6150,7.6150,189219,0.0000,1.0000
2018-06-15,7.6200,7.6337,7.6000,7.6300,7.6300,119293,0.0000,1.0000
2018-06-14,7.6200,7.6200,7.6075,7.6200,7.6200,63233,0.0000,1.0000
2018-06-13,7.6300,7.6600,7.6200,7.6200,7.6200,79829,0.0350,1.0000
2018-06-12,7.6600,7.6800,7.6600,7.6750,7.6399,118500,0.0000,1.0000
2018-06-11,7.6700,7.6800,7.6600,7.6600,7.6250,133525,0.0000,1.0000
2018-06-08,7.6800,7.6900,7.6600,7.6800,7.6449,88395,0.0000,1.0000
2018-06-07,7.6800,7.6900,7.6400,7.6800,7.6449,128745,0.0000,1.0000
2018-06-06,7.6900,7.7100,7.6600,7.6700,7.6349,96807,0.0000,1.0000
2018-06-05,7.6800,7.7200,7.6700,7.7000,7.6648,106594,0.0000,1.0000
2018-06-04,7.7000,7.7000,7.6700,7.6900,7.6548,71537,0.0000,1.0000
2018-06-01,7.6800,7.7000,7.6593,7.7000,7.6648,69117,0.0000,1.0000
2018-05-31,7.6900,7.7200,7.6600,7.6700,7.6349,170786,0.0000,1.0000
2018-05-30,7.6700,7.6900,7.6500,7.6900,7.6548,117970,0.0000,1.0000
2018-05-29,7.6700,7.6700,7.6100,7.6600,7.6250,108470,0.0000,1.0000
2018-05-25,7.6300,7.6530,7.6200,7.6200,7.5852,50174,0.0000,1.0000
2018-05-24,7.6000,7.6500,7.6000,7.6300,7.5951,75588,0.0000,1.0000
2018-05-23,7.5800,7.6100,7.5800,7.5900,7.5553,59693,0.0000,1.0000
2018-05-22,7.6100,7.6100,7.5800,7.5800,7.5453,81981,0.0000,1.0000
2018-05-21,7.5900,7.6100,7.5800,7.6100,7.5752,75151,0.0000,1.0000
2018-05-18,7.6100,7.6100,7.5600,7.5800,7.5453,98976,0.0000,1.0000
2018-05-17,7.5900,7.6000,7.5750,7.5900,7.5553,132002,0.0000,1.0000
2018-05-16,7.5600,7.6200,7.5600,7.6100,7.5752,129087,0.0000,1.0000
2018-05-15,7.6000,7.6100,7.5600,7.5800,7.5453,121790,0.0000,1.0000
2018-05-14,7.6000,7.6300,7.6000,7.6100,7.5752,155396,0.0000,1.0000
2018-05-11,7.5900,7.6261,7.5900,7.6100,7.5752,67729,0.0000,1.0000
2018-05-10,7.6100,7.6299,7.5800,7.5800,7.5453,124423,0.0350,1.0000
2018-05-09,7.6300,7.6550,7.6200,7.6400,7.5701,75833,0.0000,1.0000
2018-05-08,7.6200,7.6550,7.6100,7.6300,7.5602,154421,0.0000,1.0000
2018-05-07,7.6300,7.6500,7.6100,7.6300,7.5602,131966,0.0000,1.0000
2018-05-04,7.6600,7.6800,7.6300,7.6300,7.5602,140901,0.0000,1.0000
2018-05-03,7.6400,7.6600,7.6400,7.6600,7.5899,87000,0.0000,1.0000
2018-05-02,7.6200,7.6700,7.6200,7.6300,7.5602,89362,0.0000,1.0000
2018-05-01,7.6100,7.6600,7.6100,7.6300,7.5602,174246,0.0000,1.0000
2018-04-30,7.6100,7.6314,7.5800,7.6100,7.5404,93043,0.0000,1.0000
2018-04-27,7.5800,7.6300,7.5800,7.6000,7.5305,74351,0.0000,1.0000
2018-04-26,7.5900,7.6100,7.5842,7.5900,7.5206,90213,0.0000,1.0000
2018-04-25,7.5800,7.5900,7.5600,7.5800,7.5107,136141,0.0000,1.0000
2018-04-24,7.6000,7.6200,7.5700,7.6000,7.5305,165201,0.0000,1.0000
2018-04-23,7.6300,7.6499,7.6000,7.6100,7.5404,111054,0.0000,1.0000
2018-04-20,7.6400,7.6500,7.6200,7.6500,7.5800,78467,0.0000,1.0000
2018-04-19,7.6400,7.6400,7.6100,7.6400,7.5701,57653,0.0000,1.0000
2018-04-18,7.6100,7.6400,7.6000,7.6400,7.5701,162124,0.0000,1.0000
2018-04-17,7.6200,7.6500,7.6100,7.6300,7.5602,132530,0.0000,1.0000
2018-04-16,7.6300,7.6440,7.6000,7.6100,7.5404,103707,0.0000,1.0000
2018-04-13,7.6600,7.6800,7.6200,7.6400,7.5701,90080,0.0000,1.0000
2018-04-12,7.7000,7.7000,7.6600,7.6700,7.5998,93736,0.0350,1.0000
2018-04-11,7.7100,7.7300,7.7000,7.7300,7.6245,88000,0.0000,1.0000
2018-04-10,7.7000,7.7200,7.6800,7.7200,7.6146,66840,0.0000,1.0000
2018-04-09,7.6900,7.7100,7.6500,7.7000,7.5949,101467,0.0000,1.0000
2018-04-06,7.7000,7.7300,7.6700,7.6800,7.5752,58952,0.0000,1.0000
2018-04-05,7.6700,7.7000,7.6612,7.7000,7.5949,50869,0.0000,1.0000
2018-04-04,7.6500,7.6800,7.6400,7.6700,7.5653,87287,0.0000,1.0000
2018-04-03,7.6700,7.7000,7.6200,7.6200,7.5160,159099,0.0000,1.0000
2018-04-02,7.7200,7.7200,7.6500,7.6700,7.5653,131948,0.0000,1.0000
