timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,13.3000,13.4100,13.2900,13.3600,13.3600,51871,0.0000,1.0000
2018-07-02,13.3200,13.4700,13.3134,13.3300,13.3300,118506,0.0000,1.0000
2018-06-29,13.3000,13.3400,13.2800,13.3200,13.3200,81751,0.0000,1.0000
2018-06-28,13.2500,13.3300,13.2500,13.3100,13.3100,64784,0.0000,1.0000
2018-06-27,13.2800,13.3088,13.2400,13.2400,13.2400,33431,0.0000,1.0000
2018-06-26,13.2800,13.2800,13.2400,13.2800,13.2800,44710,0.0000,1.0000
2018-06-25,13.2700,13.2900,13.2500,13.2600,13.2600,49582,0.0000,1.0000
2018-06-22,13.3200,13.3200,13.2500,13.2700,13.2700,53002,0.0000,1.0000
2018-06-21,13.2300,13.2656,13.2100,13.2300,13.2300,93115,0.0000,1.0000
2018-06-20,13.2300,13.2600,13.2200,13.2400,13.2400,61944,0.0000,1.0000
2018-06-19,13.1600,13.2500,13.1600,13.2500,13.2500,134339,0.0000,1.0000
2018-06-18,13.1900,13.2400,13.1150,13.1700,13.1700,162150,0.0000,1.0000
2018-06-15,13.2400,13.2400,13.1850,13.2200,13.2200,75685,0.0000,1.0000
2018-06-14,13.2600,13.2667,13.2100,13.2400,13.2400,94136,0.0610,1.0000
2018-06-13,13.3000,13.3900,13.3000,13.3400,13.2788,96539,0.0000,1.0000
2018-06-12,13.3000,13.3500,13.2800,13.3300,13.2689,67157,0.0000,1.0000
2018-06-11,13.3300,13.3500,13.2900,13.3400,13.2788,85848,0.0000,1.0000
2018-06-08,13.3300,13.4000,13.3200,13.3500,13.2888,62999,0.0000,1.0000
2018-06-07,13.3200,13.3700,13.2900,13.3700,13.3087,78668,0.0000,1.0000
2018-06-06,13.3200,13.4000,13.2900,13.3300,13.2689,91112,0.0000,1.0000
2018-06-05,13.3100,13.4000,13.3100,13.3800,13.3186,98792,0.0000,1.0000
2018-06-04,13.3600,13.4000,13.2800,13.3200,13.2589,120930,0.0000,1.0000
2018-06-01,13.3200,13.3576,13.2900,13.3100,13.2490,78475,0.0000,1.0000
2018-05-31,13.2600,13.3700,13.2600,13.3000,13.2390,98898,0.0000,1.0000
2018-05-30,13.2600,13.3000,13.2200,13.2800,13.2191,172385,0.0000,1.0000
2018-05-29,13.2500,13.3000,13.2400,13.3000,13.2390,85232,0.0000,1.0000
2018-05-25,13.2000,13.2400,13.2000,13.2200,13.1594,126421,0.0000,1.0000
2018-05-24,13.1700,13.2300,13.1700,13.1800,13.1196,109712,0.0000,1.0000
2018-05-23,13.1000,13.1800,13.0900,13.1800,13.1196,50897,0.0000,1.0000
2018-05-22,13.1300,13.1600,13.0700,13.0800,13.0200,194293,0.0000,1.0000
2018-05-21,13.1200,13.1690,13.0900,13.1600,13.0996,102298,0.0000,1.0000
2018-05-18,13.0800,13.1300,13.0600,13.0600,13.0001,80317,0.0000,1.0000
2018-05-17,13.1000,13.1200,13.0700,13.1100,13.0499,105190,0.0000,1.0000
2018-05-16,13.1200,13.1400,13.1100,13.1100,13.0499,46451,0.0000,1.0000
2018-05-15,13.1000,13.1500,13.1000,13.1100,13.0499,151228,0.0000,1.0000
2018-05-14,13.1200,13.2300,13.1200,13.1300,13.0698,129186,0.0610,1.0000
2018-05-11,13.1800,13.2499,13.1700,13.2100,13.0886,149403,0.0000,1.0000
2018-05-10,13.1300,13.2100,13.1300,13.2100,13.0886,133897,0.0000,1.0000
2018-05-09,13.1100,13.1800,13.0900,13.1300,13.0093,128533,0.0000,1.0000
2018-05-08,13.1200,13.1700,13.1200,13.1200,12.9994,194814,0.0000,1.0000
2018-05-07,13.1500,13.1900,13.1000,13.1600,13.0391,52361,0.0000,1.0000
2018-05-04,13.1900,13.2300,13.1500,13.1500,13.0292,91154,0.0000,1.0000
2018-05-03,13.1700,13.2100,13.1700,13.1800,13.0589,64708,0.0000,1.0000
2018-05-02,13.1300,13.2100,13.1300,13.1800,13.0589,124535,0.0000,1.0000
2018-05-01,13.1700,13.1700,13.1100,13.1400,13.0193,202933,0.0000,1.0000
2018-04-30,13.1000,13.1400,13.0900,13.1200,12.9994,150832,0.0000,1.0000
2018-04-27,13.1200,13.1400,13.0700,13.0900,12.9697,170755,0.0000,1.0000
2018-04-26,13.0700,13.1200,13.0700,13.1000,12.9796,170174,0.0000,1.0000
2018-04-25,13.0800,13.1233,13.0400,13.0700,12.9499,171017,0.0000,1.0000
2018-04-24,13.1000,13.1300,13.0800,13.1000,12.9796,144527,0.0000,1.0000
2018-04-23,13.0700,13.1300,13.0700,13.1000,12.9796,123589,0.0000,1.0000
2018-04-20,13.1400,13.1700,13.1250,13.1500,13.0292,94361,0.0000,1.0000
2018-04-19,13.2200,13.2200,13.1500,13.1700,13.0490,92655,0.0000,1.0000
2018-04-18,13.2200,13.2200,13.1800,13.2100,13.0886,88700,0.0000,1.0000
2018-04-17,13.2000,13.2600,13.2000,13.2600,13.1382,100659,0.0000,1.0000
2018-04-16,13.2300,13.2700,13.2000,13.2200,13.0985,91775,0.0000,1.0000
2018-04-13,13.2800,13.3400,13.2300,13.2300,13.1084,119367,0.0610,1.0000
2018-04-12,13.4000,13.4200,13.3650,13.3900,13.2061,115298,0.0000,1.0000
2018-04-11,13.3900,13.4300,13.3800,13.4100,13.2258,90588,0.0000,1.0000
2018-04-10,13.3900,13.4300,13.3800,13.4000,13.2159,139808,0.0000,1.0000
2018-04-09,13.4000,13.4100,13.3501,13.4100,13.2258,87446,0.0000,1.0000
2018-04-06,13.4000,13.4400,13.3000,13.3700,13.1863,332776,0.0000,1.0000
2018-04-05,13.3200,13.3900,13.3200,13.3800,13.1962,75390,0.0000,1.0000
2018-04-04,13.4000,13.4100,13.3000,13.3700,13.1863,88108,0.0000,1.0000
2018-04-03,13.4900,13.4900,13.3200,13.3400,13.1568,119753,0.0000,1.0000
2018-04-02,13.4300,13.4800,13.3800,13.4700,13.2850,103392,0.0000,1.0000
2018-03-29,13.3600,13.4000,13.3400,13.3700,13.1863,57628,0.0000,1.0000
2018-03-28,13.3000,13.3800,13.3000,13.3600,13.1765,77342,0.0000,1.0000
2018-03-27,13.2900,13.3156,13.2663,13.3100,13.1272,49816,0.0000,1.0000
2018-03-26,13.2900,13.3000,13.2334,13.2500,13.0680,62597,0.0000,1.0000
2018-03-23,13.3600,13.3600,13.2700,13.3100,13.1272,58274,0.0000,1.0000
2018-03-22,13.3200,13.3700,13.3000,13.3600,13.1765,102558,0.0000,1.0000
2018-03-21,13.3000,13.3038,13.2700,13.2800,13.0976,92993,0.0000,1.0000
2018-03-20,13.3500,13.3900,13.3100,13.3100,13.1272,69824,0.0000,1.0000
2018-03-19,13.3900,13.3900,13.3100,13.3600,13.1765,106891,0.0000,1.0000
2018-03-16,13.4600,13.5000,13.3600,13.3600,13.1765,119616,0.0000,1.0000
2018-03-15,13.5200,13.5200,13.4467,13.4800,13.2948,85708,0.0000,1.0000
2018-03-14,13.5600,13.6000,13.4900,13.5100,13.3244,99386,0.0610,1.0000
2018-03-13,13.6700,13.7000,13.6100,13.6100,13.3627,109542,0.0000,1.0000
2018-03-12,13.6000,13.6900,13.6000,13.6900,13.4413,72779,0.0000,1.0000
2018-03-09,13.6300,13.6500,13.6000,13.6000,13.3529,72946,0.0000,1.0000
2018-03-08,13.6600,13.7000,13.6174,13.6700,13.4216,71002,0.0000,1.0000
2018-03-07,13.6500,13.6800,13.6200,13.6400,13.3922,39867,0.0000,1.0000
