timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,10.3900,10.5000,10.3700,10.4500,10.4500,4562868,0.0000,1.0000
2018-07-02,10.3000,10.3900,10.2750,10.3900,10.3900,5953808,0.0000,1.0000
2018-06-29,10.3800,10.4000,10.2692,10.2900,10.2900,9249193,0.0000,1.0000
2018-06-28,10.2900,10.4100,10.2500,10.4000,10.4000,6869411,0.3000,1.0000
2018-06-27,10.6800,10.6800,10.5100,10.5300,10.2348,8183089,0.0000,1.0000
2018-06-26,10.6900,10.7400,10.6000,10.6500,10.3514,10019869,0.0000,1.0000
2018-06-25,10.6300,10.7300,10.6300,10.6800,10.3806,7257627,0.0000,1.0000
2018-06-22,10.6000,10.6700,10.5510,10.6200,10.3222,9319898,0.0000,1.0000
2018-06-21,10.5700,10.6000,10.5200,10.5900,10.2931,6103391,0.0000,1.0000
2018-06-20,10.5800,10.6000,10.5200,10.5700,10.2736,6304069,0.0000,1.0000
2018-06-19,10.5100,10.6400,10.5100,10.5900,10.2931,8771587,0.0000,1.0000
2018-06-18,10.4700,10.5600,10.4500,10.5300,10.2348,5628990,0.0000,1.0000
2018-06-15,10.5200,10.5500,10.4400,10.4800,10.1862,14120213,0.0000,1.0000
2018-06-14,10.4300,10.5400,10.4300,10.5200,10.2250,5954759,0.0000,1.0000
2018-06-13,10.5300,10.5400,10.3900,10.4200,10.1279,8609392,0.0000,1.0000
2018-06-12,10.5700,10.6000,10.5000,10.5200,10.2250,7239464,0.0000,1.0000
2018-06-11,10.5500,10.5900,10.4800,10.5700,10.2736,6544710,0.0000,1.0000
2018-06-08,10.4800,10.5500,10.4700,10.5400,10.2445,6353635,0.0000,1.0000
2018-06-07,10.4300,10.4800,10.4100,10.4500,10.1570,7591541,0.0000,1.0000
2018-06-06,10.4500,10.4500,10.3200,10.4200,10.1279,9043844,0.0000,1.0000
2018-06-05,10.5000,10.5000,10.4100,10.4300,10.1376,11293528,0.0000,1.0000
2018-06-04,10.5000,10.5300,10.4250,10.4900,10.1959,5650731,0.0000,1.0000
2018-06-01,10.4700,10.5300,10.4000,10.4400,10.1473,8005116,0.0000,1.0000
2018-05-31,10.6200,10.6300,10.4000,10.4300,10.1376,15450314,0.0000,1.0000
2018-05-30,10.5800,10.7000,10.5200,10.6200,10.3222,10676352,0.0000,1.0000
2018-05-29,10.4300,10.5800,10.4100,10.5500,10.2542,9144693,0.0000,1.0000
2018-05-25,10.4100,10.4800,10.3800,10.4600,10.1667,6633184,0.0000,1.0000
2018-05-24,10.4500,10.4800,10.3900,10.4100,10.1181,7566512,0.0000,1.0000
2018-05-23,10.4600,10.5400,10.4200,10.5000,10.2056,7306562,0.0000,1.0000
2018-05-22,10.4800,10.5200,10.4200,10.4600,10.1667,7419660,0.0000,1.0000
2018-05-21,10.4300,10.4900,10.3100,10.4800,10.1862,8449241,0.0000,1.0000
2018-05-18,10.3100,10.4000,10.2600,10.4000,10.1084,6798826,0.0000,1.0000
2018-05-17,10.2700,10.3200,10.2600,10.2900,10.0015,7432756,0.0000,1.0000
2018-05-16,10.3400,10.3600,10.2600,10.2600,9.9723,8849370,0.0000,1.0000
2018-05-15,10.4300,10.4300,10.3300,10.3300,10.0404,6744856,0.0000,1.0000
2018-05-14,10.4200,10.4400,10.3800,10.4400,10.1473,4942066,0.0000,1.0000
2018-05-11,10.3300,10.4500,10.3300,10.4100,10.1181,9533030,0.0000,1.0000
2018-05-10,10.1900,10.3900,10.1700,10.3800,10.0890,6676905,0.0000,1.0000
2018-05-09,10.2200,10.2450,10.1100,10.1700,9.8849,11023955,0.0000,1.0000
2018-05-08,10.4500,10.4500,10.1600,10.2000,9.9140,10082461,0.0000,1.0000
2018-05-07,10.3600,10.4900,10.3400,10.4600,10.1667,8066941,0.0000,1.0000
2018-05-04,10.2200,10.3650,10.1800,10.3500,10.0598,9776348,0.0000,1.0000
2018-05-03,10.2300,10.2800,9.9450,10.2100,9.9237,26088336,0.0000,1.0000
2018-05-02,10.3400,10.3700,10.2800,10.2800,9.9918,8234082,0.0000,1.0000
2018-05-01,10.4100,10.4100,10.3000,10.3400,10.0501,6950653,0.0000,1.0000
2018-04-30,10.4900,10.5200,10.3700,10.3700,10.0793,7919915,0.0000,1.0000
2018-04-27,10.4300,10.5000,10.4000,10.4600,10.1667,4866620,0.0000,1.0000
2018-04-26,10.3600,10.4400,10.3100,10.4100,10.1181,6705632,0.0000,1.0000
2018-04-25,10.2500,10.3350,10.2400,10.3200,10.0307,4445057,0.0000,1.0000
2018-04-24,10.3200,10.3500,10.2200,10.3000,10.0112,6289189,0.0000,1.0000
2018-04-23,10.2800,10.3200,10.2400,10.3000,10.0112,4559230,0.0000,1.0000
2018-04-20,10.2800,10.3300,10.2200,10.2500,9.9626,5888669,0.0000,1.0000
2018-04-19,10.2800,10.3200,10.2200,10.2500,9.9626,5867382,0.0000,1.0000
2018-04-18,10.2900,10.3500,10.2700,10.2800,9.9918,6881167,0.0000,1.0000
2018-04-17,10.3200,10.3200,10.2500,10.2700,9.9821,8953023,0.0000,1.0000
2018-04-16,10.3100,10.3600,10.2528,10.3000,10.0112,6521025,0.0000,1.0000
2018-04-13,10.3500,10.3800,10.2500,10.2800,9.9918,5742149,0.0000,1.0000
2018-04-12,10.4500,10.4700,10.3100,10.3200,10.0307,5214063,0.0000,1.0000
2018-04-11,10.4400,10.4800,10.3600,10.4300,10.1376,5062892,0.0000,1.0000
2018-04-10,10.5000,10.5100,10.3950,10.4200,10.1279,7177019,0.0000,1.0000
2018-04-09,10.5000,10.5700,10.4450,10.4600,10.1667,5524947,0.0000,1.0000
2018-04-06,10.4200,10.5200,10.4200,10.4800,10.1862,5788722,0.0000,1.0000
2018-04-05,10.4200,10.4700,10.3900,10.4200,10.1279,6277468,0.0000,1.0000
2018-04-04,10.3900,10.4900,10.3200,10.4500,10.1570,8323661,0.0000,1.0000
2018-04-03,10.3500,10.4390,10.3033,10.3800,10.0890,7690799,0.0000,1.0000
2018-04-02,10.4000,10.4200,10.2800,10.3500,10.0598,6760887,0.0000,1.0000
2018-03-29,10.3500,10.4500,10.3500,10.4300,10.1376,8216396,0.0000,1.0000
2018-03-28,10.3100,10.3700,10.2200,10.3100,10.0209,9190605,0.3000,1.0000
2018-03-27,10.5500,10.6600,10.4800,10.6000,10.0115,10587895,0.0000,1.0000
2018-03-26,10.5600,10.6300,10.4900,10.5700,9.9832,7512275,0.0000,1.0000
2018-03-23,10.5700,10.6893,10.4800,10.4900,9.9076,9261033,0.0000,1.0000
2018-03-22,10.5000,10.7150,10.4800,10.5500,9.9643,11030707,0.0000,1.0000
2018-03-21,10.5000,10.5500,10.4500,10.5400,9.9548,5978097,0.0000,1.0000
2018-03-20,10.5000,10.5700,10.4700,10.5000,9.9170,7496936,0.0000,1.0000
2018-03-19,10.6200,10.6200,10.3800,10.4900,9.9076,7218035,0.0000,1.0000
2018-03-16,10.5200,10.6500,10.4900,10.6200,10.0304,7935676,0.0000,1.0000
2018-03-15,10.5400,10.5500,10.3900,10.4900,9.9076,5512911,0.0000,1.0000
2018-03-14,10.6000,10.6900,10.5300,10.5300,9.9454,9186821,0.0000,1.0000
2018-03-13,10.5200,10.6000,10.5100,10.5700,9.9832,5191150,0.0000,1.0000
2018-03-12,10.3500,10.5500,10.3400,10.4800,9.8982,8099138,0.0000,1.0000
2018-03-09,10.3400,10.3650,10.2400,10.3400,9.7659,4619936,0.0000,1.0000
2018-03-08,10.2700,10.3600,10.2600,10.3200,9.7470,6473338,0.0000,1.0000
2018-03-07,10.2500,10.3700,10.2100,10.2700,9.6998,7516670,0.0000,1.0000
2018-03-06,10.2600,10.3000,10.1500,10.2600,9.6904,7088629,0.0000,1.0000
2018-03-05,10.1000,10.2800,10.1000,10.1600,9.5959,5757850,0.0000,1.0000
2018-03-02,10.0700,10.1300,10.0150,10.1200,9.5581,6836495,0.0000,1.0000
2018-03-01,10.0600,10.1400,10.0000,10.0800,9.5204,8032582,0.0000,1.0000
2018-02-28,10.1600,10.2345,10.0300,10.0300,9.4731,11638225,0.0000,1.0000
2018-02-27,10.4500,10.4500,10.1500,10.1500,9.5865,8248893,0.0000,1.0000
2018-02-26,10.4300,10.5000,10.3500,10.4100,9.8320,4966896,0.0000,1.0000
2018-02-23,10.2400,10.4100,10.2200,10.3800,9.8037,6015930,0.0000,1.0000
2018-02-22,10.1900,10.3000,10.1400,10.1800,9.6148,6752641,0.0000,1.0000
2018-02-21,10.4000,10.4600,10.1600,10.1600,9.5959,11380079,0.0000,1.0000
2018-02-20,10.6100,10.6800,10.3300,10.3700,9.7943,10320625,0.0000,1.0000
2018-02-16,10.6200,10.7400,10.5600,10.6800,10.0870,7590001,0.0000,1.0000
2018-02-15,10.4900,10.6500,10.4500,10.6400,10.0493,9588274,0.0000,1.0000
2018-02-14,10.4200,10.4600,10.3400,10.3800,9.8037,6764609,0.0000,1.0000
2018-02-13,10.3500,10.4900,10.2900,10.4500,9.8698,7493667,0.0000,1.0000
2018-02-12,10.2300,10.3200,10.1600,10.3000,9.7281,7540214,0.0000,1.0000
2018-02-09,10.1500,10.2500,10.0300,10.2100,9.6431,10008235,0.0000,1.0000
2018-02-08,10.2300,10.3390,10.1100,10.1100,9.5487,12971524,0.0000,1.0000
2018-02-07,10.3300,10.4850,10.2100,10.2100,9.6431,11048992,0.0000,1.0000
2018-02-06,10.1700,10.4900,10.1000,10.3200,9.7470,17966176,0.0000,1.0000
2018-02-05,10.3200,10.3800,10.0500,10.2300,9.6620,17591339,0.0000,1.0000
2018-02-02,10.4800,10.5200,10.3400,10.3600,9.7848,9709005,0.0000,1.0000
2018-02-01,10.5100,10.7450,10.4800,10.5000,9.9170,12964877,0.0000,1.0000
2018-01-31,10.6700,10.7001,10.4100,10.5400,9.9548,15571466,0.0000,1.0000
2018-01-30,10.4400,10.6300,10.3800,10.6000,10.0115,11989761,0.0000,1.0000
2018-01-29,10.8800,10.8800,10.4700,10.5000,9.9170,21709153,0.0000,1.0000
2018-01-26,11.0400,11.0500,10.8500,10.9100,10.3043,11565644,0.0000,1.0000
2018-01-25,11.1000,11.1200,10.9500,11.0200,10.4082,15842499,0.0000,1.0000
2018-01-24,11.2400,11.2500,11.1100,11.1100,10.4932,6206228,0.0000,1.0000
2018-01-23,11.1700,11.2700,11.1600,11.2200,10.5971,5652361,0.0000,1.0000
2018-01-22,11.2300,11.2400,11.1500,11.1700,10.5498,7087804,0.0000,1.0000
2018-01-19,11.0700,11.1950,11.0200,11.1900,10.5687,7403421,0.0000,1.0000
2018-01-18,11.1900,11.2100,11.0600,11.0800,10.4648,8195198,0.0000,1.0000
2018-01-17,11.1800,11.2600,11.1700,11.2100,10.5876,7289828,0.0000,1.0000
2018-01-16,11.3100,11.3800,11.1600,11.1800,10.5593,10502601,0.0000,1.0000
2018-01-12,11.4400,11.4500,11.2550,11.3000,10.6726,7645959,0.0000,1.0000
2018-01-11,11.3900,11.4400,11.2700,11.4400,10.8049,7324669,0.0000,1.0000
2018-01-10,11.5000,11.5050,11.2401,11.3700,10.7387,12883481,0.0000,1.0000
2018-01-09,11.6100,11.6400,11.5000,11.5100,10.8710,5602382,0.0000,1.0000
2018-01-08,11.5700,11.6600,11.5400,11.6100,10.9654,6755924,0.0000,1.0000
2018-01-05,11.4900,11.5900,11.4400,11.5700,10.9276,6440234,0.0000,1.0000
2018-01-04,11.4700,11.5400,11.4300,11.4600,10.8237,8251474,0.0000,1.0000
2018-01-03,11.6900,11.7700,11.4300,11.4700,10.8332,10369962,0.0000,1.0000
2018-01-02,11.8900,11.9200,11.5800,11.6700,11.0221,13852176,0.0000,1.0000
2017-12-29,11.9900,12.0000,11.8500,11.8900,11.2299,5896888,0.0000,1.0000
2017-12-28,11.8100,12.0200,11.7700,12.0200,11.3527,8490347,0.3000,1.0000
2017-12-27,12.0900,12.1300,12.0300,12.1000,11.1499,6032560,0.0000,1.0000
2017-12-26,12.0600,12.1100,12.0300,12.0800,11.1315,3762946,0.0000,1.0000
2017-12-22,12.0400,12.0700,12.0000,12.0500,11.1039,4448092,0.0000,1.0000
2017-12-21,11.9700,12.1000,11.9300,12.0500,11.1039,6960467,0.0000,1.0000
2017-12-20,11.8950,12.0000,11.8500,11.9300,10.9933,7816926,0.0000,1.0000
2017-12-19,12.2150,12.2200,11.8500,11.8500,10.9196,12534579,0.0000,1.0000
2017-12-18,12.3100,12.3700,12.1600,12.1800,11.2236,7048776,0.0000,1.0000
2017-12-15,12.2000,12.2500,12.1600,12.2400,11.2789,14334345,0.0000,1.0000
2017-12-14,12.1300,12.2000,12.1100,12.1600,11.2052,5683553,0.0000,1.0000
2017-12-13,12.0300,12.2100,12.0100,12.1200,11.1684,8836583,0.0000,1.0000
2017-12-12,11.9700,12.0600,11.9500,12.0600,11.1131,5660220,0.0000,1.0000
2017-12-11,11.9700,11.9900,11.9150,11.9900,11.0486,6570926,0.0000,1.0000
2017-12-08,12.0000,12.0100,11.8400,11.9100,10.9748,7279339,0.0000,1.0000
2017-12-07,11.9300,12.0000,11.8900,11.9900,11.0486,8180887,0.0000,1.0000
2017-12-06,11.9600,11.9850,11.8700,11.9500,11.0117,7625724,0.0000,1.0000
2017-12-05,11.9800,12.0100,11.8900,11.9700,11.0301,7357156,0.0000,1.0000
2017-12-04,11.8500,12.0000,11.8000,11.9900,11.0486,12049356,0.0000,1.0000
2017-12-01,11.7100,11.8000,11.6000,11.8000,10.8735,9941610,0.0000,1.0000
2017-11-30,11.7600,11.8200,11.5600,11.6700,10.7537,13316974,0.0000,1.0000
2017-11-29,11.8000,11.8500,11.7100,11.7700,10.8458,5719614,0.0000,1.0000
2017-11-28,11.7400,11.8200,11.7000,11.8000,10.8735,5084319,0.0000,1.0000
2017-11-27,11.7900,11.8250,11.7100,11.7600,10.8366,4883756,0.0000,1.0000
2017-11-24,11.9000,11.9200,11.7600,11.7900,10.8643,3562281,0.0000,1.0000
2017-11-22,11.8000,11.9000,11.7700,11.8800,10.9472,5890178,0.0000,1.0000
2017-11-21,11.7600,11.8500,11.7000,11.8200,10.8919,8235871,0.0000,1.0000
2017-11-20,11.5000,11.7500,11.4900,11.7300,10.8090,9612515,0.0000,1.0000
2017-11-17,11.4700,11.5200,11.4100,11.4900,10.5878,10658953,0.0000,1.0000
2017-11-16,11.4000,11.4800,11.3600,11.4700,10.5694,8072626,0.0000,1.0000
2017-11-15,11.4800,11.5200,11.3600,11.3800,10.4865,8046019,0.0000,1.0000
2017-11-14,11.4000,11.5100,11.3700,11.4900,10.5878,8591616,0.0000,1.0000
2017-11-13,11.2100,11.4200,11.2000,11.3800,10.4865,9037647,0.0000,1.0000
2017-11-10,11.2500,11.3400,11.1900,11.2400,10.3575,8643267,0.0000,1.0000
2017-11-09,11.3100,11.3951,11.2200,11.2400,10.3575,8081266,0.0000,1.0000
2017-11-08,11.2600,11.3800,11.2500,11.3200,10.4312,7926511,0.0000,1.0000
2017-11-07,11.0800,11.2800,10.9700,11.2400,10.3575,14179683,0.0000,1.0000
