timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,28.8400,29.3000,28.5800,29.0600,29.0600,493608,0.0000,1.0000
2018-07-02,29.1200,29.1200,28.3100,28.8300,28.8300,739519,0.0000,1.0000
2018-06-29,28.7400,29.1850,28.6200,28.9900,28.9900,960756,0.0000,1.0000
2018-06-28,28.2200,28.9200,28.2200,28.8500,28.8500,929698,0.2750,1.0000
2018-06-27,28.7000,28.8600,28.4700,28.5200,28.2507,1017709,0.0000,1.0000
2018-06-26,28.5000,28.7200,28.2900,28.6400,28.3696,1040604,0.0000,1.0000
2018-06-25,28.5500,28.5900,28.2000,28.5000,28.2309,564469,0.0000,1.0000
2018-06-22,28.1100,28.5300,27.9800,28.5200,28.2507,779170,0.0000,1.0000
2018-06-21,28.1200,28.2490,27.8800,28.0400,27.7752,1522249,0.0000,1.0000
2018-06-20,27.7300,28.2200,27.6800,28.1200,27.8545,696733,0.0000,1.0000
2018-06-19,27.3900,27.7100,27.3900,27.6000,27.3394,862447,0.0000,1.0000
2018-06-18,27.3600,27.5700,27.2900,27.4800,27.2205,384678,0.0000,1.0000
2018-06-15,27.4400,27.7150,27.3600,27.4300,27.1710,964625,0.0000,1.0000
2018-06-14,27.2700,27.5150,27.2500,27.3900,27.1314,583244,0.0000,1.0000
2018-06-13,27.8000,27.8500,27.0900,27.1500,26.8936,615842,0.0000,1.0000
2018-06-12,27.5500,27.8400,27.5200,27.7500,27.4880,556650,0.0000,1.0000
2018-06-11,27.7500,27.7900,27.4100,27.5700,27.3097,536501,0.0000,1.0000
2018-06-08,27.6500,27.8800,27.6500,27.7600,27.4979,512512,0.0000,1.0000
2018-06-07,27.6000,27.7400,27.3400,27.6400,27.3790,701085,0.0000,1.0000
2018-06-06,27.5800,27.6700,27.5100,27.5900,27.3295,523309,0.0000,1.0000
2018-06-05,27.4000,27.8200,27.2700,27.5800,27.3196,1096674,0.0000,1.0000
2018-06-04,27.2900,27.4450,27.1600,27.3700,27.1116,1235233,0.0000,1.0000
2018-06-01,27.8800,28.0300,27.1700,27.1900,26.9333,1708584,0.0000,1.0000
2018-05-31,27.9800,28.0700,27.7550,27.9000,27.6366,1451337,0.0000,1.0000
2018-05-30,27.5800,28.1300,27.5600,28.0200,27.7554,1108250,0.0000,1.0000
2018-05-29,27.6800,27.8300,27.4700,27.5500,27.2899,925240,0.0000,1.0000
2018-05-25,27.5600,27.7900,27.3400,27.7800,27.5177,464360,0.0000,1.0000
2018-05-24,27.6900,27.6900,27.3600,27.5000,27.2403,372126,0.0000,1.0000
2018-05-23,27.3300,27.8050,27.1200,27.6500,27.3889,544077,0.0000,1.0000
2018-05-22,26.9700,27.3600,26.9300,27.2400,26.9828,506487,0.0000,1.0000
2018-05-21,26.8300,27.1500,26.5900,27.0100,26.7550,494095,0.0000,1.0000
2018-05-18,26.6900,26.8000,26.4450,26.6600,26.4083,611871,0.0000,1.0000
2018-05-17,26.7900,27.0300,26.5500,26.6100,26.3587,806440,0.0000,1.0000
2018-05-16,27.0500,27.1000,26.6550,26.7600,26.5073,567627,0.0000,1.0000
2018-05-15,27.5400,27.6200,26.8400,27.0000,26.7451,944574,0.0000,1.0000
2018-05-14,27.8300,27.9700,27.6100,27.7000,27.4385,957669,0.0000,1.0000
2018-05-11,28.1400,28.3000,27.7800,27.8100,27.5474,843923,0.0000,1.0000
2018-05-10,28.1200,28.2600,28.0100,28.0800,27.8149,648134,0.0000,1.0000
2018-05-09,27.8400,28.0700,27.7600,28.0000,27.7356,504622,0.0000,1.0000
2018-05-08,28.0400,28.0600,27.7300,27.8500,27.5870,459035,0.0000,1.0000
2018-05-07,28.0400,28.1100,27.7200,28.0400,27.7752,673346,0.0000,1.0000
2018-05-04,27.6800,28.0200,27.6400,27.9400,27.6762,343912,0.0000,1.0000
2018-05-03,27.2600,27.7000,27.1800,27.6600,27.3988,749904,0.0000,1.0000
2018-05-02,27.6000,27.7098,27.0100,27.3400,27.0819,1007468,0.0000,1.0000
2018-05-01,27.5100,27.8300,27.4600,27.6800,27.4186,611266,0.0000,1.0000
2018-04-30,27.6500,27.9400,27.4900,27.5100,27.2502,995262,0.0000,1.0000
2018-04-27,27.2400,27.8600,27.2400,27.5800,27.3196,1699568,0.0000,1.0000
2018-04-26,26.8600,27.3800,26.8050,27.1600,26.9036,713802,0.0000,1.0000
2018-04-25,26.7900,27.0300,26.6600,26.9400,26.6856,635611,0.0000,1.0000
2018-04-24,26.6700,26.9200,26.4200,26.8300,26.5767,1191198,0.0000,1.0000
2018-04-23,26.8200,26.8400,26.4200,26.6800,26.4281,589514,0.0000,1.0000
2018-04-20,27.0200,27.0900,26.7100,26.8000,26.5470,991906,0.0000,1.0000
2018-04-19,27.2400,27.2800,26.6500,27.0100,26.7550,969023,0.0000,1.0000
2018-04-18,27.3200,27.4350,27.1500,27.2300,26.9729,688250,0.0000,1.0000
2018-04-17,27.1400,27.4900,27.0000,27.3100,27.0521,830727,0.0000,1.0000
2018-04-16,26.6700,27.0800,26.5101,27.0100,26.7550,1148460,0.0000,1.0000
2018-04-13,26.5900,26.6600,26.4100,26.6100,26.3587,1211474,0.0000,1.0000
2018-04-12,26.8600,26.8600,26.3400,26.5800,26.3290,1386460,0.0000,1.0000
2018-04-11,26.6200,26.9500,26.4300,26.8000,26.5470,853033,0.0000,1.0000
2018-04-10,26.7800,26.7800,26.5150,26.7100,26.4578,1118094,0.0000,1.0000
2018-04-09,26.8000,26.8500,26.5000,26.6600,26.4083,1230385,0.0000,1.0000
2018-04-06,26.5800,27.0300,26.5300,26.7900,26.5370,1815866,0.0000,1.0000
2018-04-05,26.5800,26.6800,26.2000,26.5700,26.3191,803525,0.0000,1.0000
2018-04-04,26.1100,26.5550,26.0000,26.5100,26.2597,1177273,0.0000,1.0000
2018-04-03,25.6800,26.4400,25.4900,26.2800,26.0319,1292744,0.0000,1.0000
2018-04-02,25.7600,25.8600,25.3400,25.6100,25.3682,949855,0.0000,1.0000
2018-03-29,25.8400,25.9350,25.5700,25.8300,25.5861,935405,0.0000,1.0000
2018-03-28,24.9800,25.8250,24.9700,25.8000,25.5564,1025351,0.2750,1.0000
2018-03-27,25.2300,25.4400,24.5500,25.1000,24.6008,3089369,0.0000,1.0000
2018-03-26,25.3500,25.4000,24.7800,25.1800,24.6792,848774,0.0000,1.0000
2018-03-23,25.6100,25.6550,25.0800,25.1500,24.6498,1372080,0.0000,1.0000
2018-03-22,25.6400,26.2900,25.5900,25.6100,25.1006,1291500,0.0000,1.0000
2018-03-21,25.8200,25.8600,25.4900,25.7600,25.2477,865692,0.0000,1.0000
2018-03-20,26.0600,26.1800,25.7100,25.9000,25.3849,837775,0.0000,1.0000
2018-03-19,26.1000,26.1000,25.7000,26.0300,25.5123,741300,0.0000,1.0000
2018-03-16,26.1100,26.3600,26.0500,26.1400,25.6201,2104143,0.0000,1.0000
2018-03-15,26.0600,26.1900,25.9000,26.0900,25.5711,898654,0.0000,1.0000
2018-03-14,26.3100,26.4400,25.9600,26.1000,25.5809,815687,0.0000,1.0000
2018-03-13,26.4800,26.5700,26.1900,26.2800,25.7573,1041415,0.0000,1.0000
2018-03-12,26.2700,26.4900,26.1000,26.4100,25.8847,695735,0.0000,1.0000
2018-03-09,26.2100,26.3400,25.8700,26.3300,25.8063,795688,0.0000,1.0000
2018-03-08,26.1400,26.1400,25.8000,26.0600,25.5417,627230,0.0000,1.0000
2018-03-07,25.7500,26.1750,25.6900,26.0500,25.5319,670958,0.0000,1.0000
2018-03-06,25.7900,25.9300,25.4300,25.8300,25.3163,691080,0.0000,1.0000
2018-03-05,25.2200,25.8700,25.2200,25.8000,25.2869,865195,0.0000,1.0000
2018-03-02,25.0900,25.3500,24.7700,25.3100,24.8066,943080,0.0000,1.0000
2018-03-01,24.8800,25.4700,24.8400,25.1800,24.6792,1049248,0.0000,1.0000
2018-02-28,25.4200,25.5300,24.9550,24.9600,24.4636,1003205,0.0000,1.0000
2018-02-27,25.9400,26.0600,25.3300,25.3300,24.8262,957210,0.0000,1.0000
2018-02-26,26.1000,26.1150,25.8300,25.9300,25.4143,482629,0.0000,1.0000
2018-02-23,25.7500,26.0400,25.6500,26.0300,25.5123,911431,0.0000,1.0000
