timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,12.5500,13.0700,12.5200,12.7500,12.7500,74882,0.0000,1.0000
2018-07-02,12.2000,12.6300,12.0600,12.5200,12.5200,145606,0.0000,1.0000
2018-06-29,13.0700,13.6750,12.2100,12.2400,12.2400,151358,0.0000,1.0000
2018-06-28,12.9900,13.4900,12.7700,12.9500,12.9500,170413,0.0000,1.0000
2018-06-27,14.2500,14.4000,11.7300,12.8500,12.8500,344244,0.0000,1.0000
2018-06-26,14.5700,14.8000,14.1900,14.2200,14.2200,72245,0.0000,1.0000
2018-06-25,15.5100,15.5100,14.1500,14.5600,14.5600,175231,0.0000,1.0000
2018-06-22,16.0800,16.1200,15.0801,15.4500,15.4500,1204418,0.0000,1.0000
2018-06-21,16.3400,16.5000,15.9100,16.0200,16.0200,106697,0.0000,1.0000
2018-06-20,16.8900,17.1800,16.1200,16.2600,16.2600,124364,0.0000,1.0000
2018-06-19,15.8500,17.0500,15.7550,16.9500,16.9500,289412,0.0000,1.0000
2018-06-18,16.1400,16.2000,15.8300,16.0000,16.0000,127414,0.0000,1.0000
2018-06-15,15.9900,16.4600,15.5100,16.0200,16.0200,433911,0.0000,1.0000
2018-06-14,16.4500,16.8850,16.0600,16.0600,16.0600,187742,0.0000,1.0000
2018-06-13,16.3800,16.5700,16.1000,16.3700,16.3700,203047,0.0000,1.0000
2018-06-12,16.0500,16.9500,16.0500,16.4100,16.4100,123292,0.0000,1.0000
2018-06-11,17.2500,17.5000,15.9600,16.1200,16.1200,181974,0.0000,1.0000
2018-06-08,16.2300,17.1973,16.2050,16.9500,16.9500,177883,0.0000,1.0000
2018-06-07,15.9500,16.4000,15.6750,16.2800,16.2800,126871,0.0000,1.0000
2018-06-06,15.8700,16.4400,15.5401,15.9600,15.9600,121157,0.0000,1.0000
2018-06-05,16.1400,16.4772,15.2600,15.8500,15.8500,198121,0.0000,1.0000
2018-06-04,15.5200,16.3700,15.2000,16.1500,16.1500,143960,0.0000,1.0000
2018-06-01,16.0700,16.1100,15.5100,15.5100,15.5100,69723,0.0000,1.0000
2018-05-31,15.8600,16.2800,15.5300,15.9300,15.9300,179001,0.0000,1.0000
2018-05-30,16.1300,16.3450,15.7800,15.8300,15.8300,63927,0.0000,1.0000
2018-05-29,16.2000,16.4000,15.7538,15.9900,15.9900,78215,0.0000,1.0000
2018-05-25,16.2000,17.1400,16.0401,16.2500,16.2500,171915,0.0000,1.0000
2018-05-24,15.8500,16.3837,15.8500,16.1800,16.1800,42224,0.0000,1.0000
2018-05-23,16.5800,16.8100,15.5100,15.9000,15.9000,124532,0.0000,1.0000
2018-05-22,16.0700,16.9300,15.9100,16.7100,16.7100,65987,0.0000,1.0000
2018-05-21,16.1500,16.3300,15.8600,15.9800,15.9800,38092,0.0000,1.0000
2018-05-18,16.2800,16.5100,15.9100,16.1200,16.1200,27172,0.0000,1.0000
2018-05-17,16.3100,16.7000,15.7600,16.2800,16.2800,49016,0.0000,1.0000
2018-05-16,16.1900,17.0900,15.4650,16.1900,16.1900,142755,0.0000,1.0000
2018-05-15,15.6500,16.2800,15.3050,16.1300,16.1300,52498,0.0000,1.0000
2018-05-14,16.0000,16.3600,15.3100,15.6900,15.6900,80593,0.0000,1.0000
2018-05-11,16.5600,16.8800,15.7200,16.0100,16.0100,220245,0.0000,1.0000
2018-05-10,16.5200,16.7762,15.7500,16.3200,16.3200,239875,0.0000,1.0000
2018-05-09,15.9200,17.2000,15.7550,16.8400,16.8400,74474,0.0000,1.0000
2018-05-08,16.3500,16.4500,15.5250,15.8600,15.8600,124805,0.0000,1.0000
2018-05-07,17.3000,17.3600,16.2000,16.3700,16.3700,79124,0.0000,1.0000
2018-05-04,16.2000,17.2800,16.1950,17.0500,17.0500,68452,0.0000,1.0000
2018-05-03,15.6000,16.4600,15.5584,16.3000,16.3000,132906,0.0000,1.0000
2018-05-02,14.9400,16.0000,14.9400,15.6800,15.6800,51467,0.0000,1.0000
2018-05-01,15.0500,15.4600,14.6600,15.0900,15.0900,136308,0.0000,1.0000
2018-04-30,15.2200,15.4900,14.8700,15.2200,15.2200,48108,0.0000,1.0000
2018-04-27,15.4700,15.7750,15.0000,15.3400,15.3400,201051,0.0000,1.0000
2018-04-26,15.3700,15.7150,15.0000,15.6400,15.6400,63352,0.0000,1.0000
2018-04-25,15.2600,15.4999,14.4700,15.4800,15.4800,117788,0.0000,1.0000
2018-04-24,16.0200,16.1100,14.7800,15.3900,15.3900,209253,0.0000,1.0000
2018-04-23,16.2500,16.9850,15.7500,16.0000,16.0000,104019,0.0000,1.0000
2018-04-20,16.0200,16.3900,15.7900,16.3000,16.3000,152455,0.0000,1.0000
2018-04-19,16.1500,16.3600,15.4000,16.1500,16.1500,210191,0.0000,1.0000
2018-04-18,17.0000,17.5980,16.0250,16.4000,16.4000,158930,0.0000,1.0000
2018-04-17,16.7400,17.2540,16.0279,16.9500,16.9500,77283,0.0000,1.0000
2018-04-16,15.3000,16.8028,14.7700,16.7100,16.7100,213460,0.0000,1.0000
2018-04-13,14.9600,15.6400,14.7650,15.2700,15.2700,124128,0.0000,1.0000
2018-04-12,14.7600,15.1000,14.3750,14.9000,14.9000,82933,0.0000,1.0000
2018-04-11,13.5000,15.0000,13.2600,14.8500,14.8500,404415,0.0000,1.0000
2018-04-10,13.6900,14.1400,13.2700,13.5500,13.5500,398635,0.0000,1.0000
2018-04-09,14.5000,14.5150,13.3018,13.6900,13.6900,253973,0.0000,1.0000
2018-04-06,14.8100,14.8500,14.1400,14.3400,14.3400,1017206,0.0000,1.0000
2018-04-05,15.6800,15.7312,14.6150,15.0500,15.0500,100866,0.0000,1.0000
2018-04-04,15.5500,15.8600,15.3100,15.6500,15.6500,139431,0.0000,1.0000
2018-04-03,15.9000,16.0825,15.4300,15.6100,15.6100,100389,0.0000,1.0000
2018-04-02,15.5000,15.8900,15.4000,15.8900,15.8900,82944,0.0000,1.0000
2018-03-29,16.1000,16.1021,14.8100,15.4400,15.4400,381265,0.0000,1.0000
2018-03-28,16.4000,16.5100,15.9100,16.0200,16.0200,142845,0.0000,1.0000
2018-03-27,16.6200,16.6200,16.1200,16.4000,16.4000,162819,0.0000,1.0000
2018-03-26,16.4000,16.8000,16.2001,16.4200,16.4200,110028,0.0000,1.0000
2018-03-23,16.7500,17.0000,15.7500,16.0700,16.0700,245678,0.0000,1.0000
2018-03-22,17.4900,17.4900,16.5000,16.6400,16.6400,235446,0.0000,1.0000
2018-03-21,17.2600,19.6660,17.2600,17.7100,17.7100,625926,0.0000,1.0000
2018-03-20,16.7600,17.3000,16.0900,17.2000,17.2000,421104,0.0000,1.0000
2018-03-19,17.5200,17.6000,16.3000,16.7300,16.7300,503178,0.0000,1.0000
2018-03-16,17.6900,18.2400,17.0200,17.6000,17.6000,740976,0.0000,1.0000
2018-03-15,20.0000,22.1000,16.3600,17.0000,17.0000,5599358,0.0000,1.0000
