timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,11.9900,12.1062,11.9900,12.0700,12.0700,153550,0.0000,1.0000
2018-07-02,12.0200,12.0942,11.8700,12.0200,12.0200,205377,0.0000,1.0000
2018-06-29,12.0000,12.1400,11.9300,12.0200,12.0200,400302,0.0000,1.0000
2018-06-28,11.9200,12.0000,11.8800,11.9700,11.9700,226264,0.0000,1.0000
2018-06-27,11.9000,11.9700,11.8800,11.8800,11.8800,278859,0.0000,1.0000
2018-06-26,11.8300,11.9300,11.8300,11.8800,11.8800,284169,0.0000,1.0000
2018-06-25,11.8700,11.8900,11.7900,11.8400,11.8400,208764,0.0000,1.0000
2018-06-22,11.8200,11.9100,11.7800,11.8900,11.8900,139428,0.0000,1.0000
2018-06-21,11.8100,11.8200,11.7300,11.8100,11.8100,213759,0.0000,1.0000
2018-06-20,11.6400,11.7900,11.6400,11.7700,11.7700,281041,0.0000,1.0000
2018-06-19,11.6500,11.7200,11.6362,11.6500,11.6500,191890,0.0800,1.0000
2018-06-18,11.7700,11.8100,11.7200,11.7500,11.6699,178303,0.0000,1.0000
2018-06-15,11.6800,11.8700,11.6800,11.8100,11.7295,211311,0.0000,1.0000
2018-06-14,11.6900,11.8300,11.6900,11.7800,11.6997,222986,0.0000,1.0000
2018-06-13,11.9300,11.9700,11.6500,11.6700,11.5904,266682,0.0000,1.0000
2018-06-12,11.8600,11.9700,11.8400,11.9200,11.8387,187662,0.0000,1.0000
2018-06-11,11.9600,11.9600,11.8700,11.9000,11.8188,206293,0.0000,1.0000
2018-06-08,11.8000,11.9500,11.8000,11.9500,11.8685,475780,0.0000,1.0000
2018-06-07,11.8000,11.8500,11.7300,11.7900,11.7096,220395,0.0000,1.0000
2018-06-06,11.8300,11.8400,11.7600,11.8300,11.7493,175479,0.0000,1.0000
2018-06-05,11.8200,11.8800,11.7900,11.8200,11.7394,198101,0.0000,1.0000
2018-06-04,11.7400,11.8300,11.7400,11.7800,11.6997,210235,0.0000,1.0000
2018-06-01,11.6300,11.7700,11.6200,11.7600,11.6798,257215,0.0000,1.0000
2018-05-31,11.7000,11.7100,11.6200,11.6200,11.5408,331162,0.0000,1.0000
2018-05-30,11.5300,11.7000,11.4809,11.6600,11.5805,246797,0.0000,1.0000
2018-05-29,11.4700,11.5800,11.4301,11.5700,11.4911,218581,0.0000,1.0000
2018-05-25,11.3700,11.5000,11.3700,11.4800,11.4017,163967,0.0000,1.0000
2018-05-24,11.4100,11.4500,11.3300,11.3700,11.2925,181287,0.0000,1.0000
2018-05-23,11.3200,11.4400,11.3200,11.4100,11.3322,258692,0.0000,1.0000
2018-05-22,11.3400,11.3500,11.2600,11.3300,11.2527,175544,0.0000,1.0000
2018-05-21,11.1800,11.3150,11.1300,11.2900,11.2130,307104,0.0000,1.0000
2018-05-18,11.2100,11.2700,11.1100,11.1500,11.0740,367341,0.0000,1.0000
2018-05-17,11.2900,11.3300,11.2000,11.2000,11.1236,218606,0.0000,1.0000
2018-05-16,11.3100,11.3500,11.2500,11.2900,11.2130,324976,0.0000,1.0000
2018-05-15,11.5700,11.5700,11.2600,11.2800,11.2031,608505,0.0800,1.0000
2018-05-14,11.8000,11.8000,11.6257,11.6900,11.5285,256972,0.0000,1.0000
2018-05-11,11.7400,11.7900,11.6950,11.7500,11.5877,214139,0.0000,1.0000
2018-05-10,11.7000,11.7500,11.6200,11.7300,11.5680,231046,0.0000,1.0000
2018-05-09,11.5500,11.6700,11.5200,11.6500,11.4891,242188,0.0000,1.0000
2018-05-08,11.6500,11.6500,11.5400,11.6000,11.4398,231373,0.0000,1.0000
2018-05-07,11.5000,11.6300,11.4876,11.6300,11.4693,251414,0.0000,1.0000
2018-05-04,11.4200,11.5100,11.3900,11.4900,11.3313,275995,0.0000,1.0000
2018-05-03,11.5100,11.5100,11.3900,11.4300,11.2721,367479,0.0000,1.0000
2018-05-02,11.5900,11.6000,11.4600,11.5400,11.3806,201404,0.0000,1.0000
2018-05-01,11.5200,11.5998,11.4700,11.5800,11.4200,225000,0.0000,1.0000
2018-04-30,11.5700,11.6100,11.4800,11.5300,11.3707,276114,0.0000,1.0000
2018-04-27,11.3900,11.5700,11.3201,11.5000,11.3411,277154,0.0000,1.0000
2018-04-26,11.2100,11.4400,11.2100,11.3100,11.1538,281199,0.0000,1.0000
2018-04-25,11.2400,11.3290,11.1700,11.1800,11.0256,329887,0.0000,1.0000
2018-04-24,11.2200,11.3598,11.2200,11.3100,11.1538,284945,0.0000,1.0000
2018-04-23,11.4000,11.4490,11.2200,11.2600,11.1045,573078,0.0000,1.0000
2018-04-20,11.4800,11.5500,11.3800,11.4300,11.2721,266056,0.0000,1.0000
2018-04-19,11.7600,11.7600,11.4600,11.4900,11.3313,411804,0.0000,1.0000
2018-04-18,11.7600,11.8600,11.7050,11.8600,11.6962,591262,0.0000,1.0000
2018-04-17,11.5500,11.7500,11.5400,11.7400,11.5778,364538,0.0800,1.0000
2018-04-16,11.6300,11.7000,11.5800,11.5900,11.3525,676160,0.0000,1.0000
2018-04-13,11.5600,11.6600,11.5600,11.6300,11.3917,287887,0.0000,1.0000
