timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,5.9900,6.0850,5.9200,6.0100,6.0100,658262,0.0000,1.0000
2018-07-02,5.9400,6.0000,5.8850,5.9500,5.9500,1075772,0.0000,1.0000
2018-06-29,5.8700,6.0800,5.8500,6.0100,6.0100,2192482,0.0000,1.0000
2018-06-28,5.8300,5.8900,5.7400,5.8400,5.8400,1261449,0.0000,1.0000
2018-06-27,5.9300,5.9700,5.7200,5.7800,5.7800,2261512,0.0000,1.0000
2018-06-26,6.1600,6.1600,5.9700,6.0100,6.0100,1450871,0.0000,1.0000
2018-06-25,6.1200,6.2000,6.0200,6.1400,6.1400,1256506,0.0000,1.0000
2018-06-22,6.2000,6.2000,5.9750,6.0300,6.0300,1309083,0.0000,1.0000
2018-06-21,6.3200,6.4000,6.1600,6.1700,6.1700,1524112,0.0000,1.0000
2018-06-20,6.4000,6.4506,6.3100,6.3800,6.3800,1465103,0.0000,1.0000
2018-06-19,6.1400,6.4050,6.1000,6.3300,6.3300,1716550,0.0000,1.0000
2018-06-18,6.1000,6.1700,6.0450,6.1300,6.1300,2016944,0.0000,1.0000
2018-06-15,6.1300,6.1600,5.9600,6.1300,6.1300,7052917,0.0000,1.0000
2018-06-14,6.3000,6.3900,6.1500,6.2200,6.2200,2862641,0.0000,1.0000
2018-06-13,6.4800,6.4800,6.1800,6.2700,6.2700,1790806,0.0000,1.0000
2018-06-12,6.3900,6.5600,6.3900,6.4900,6.4900,1854370,0.0000,1.0000
2018-06-11,6.4600,6.6000,6.3400,6.4100,6.4100,2845403,0.0000,1.0000
2018-06-08,6.4900,6.5700,6.2500,6.5200,6.5200,2021774,0.0000,1.0000
2018-06-07,6.3800,6.4800,6.1000,6.3200,6.3200,4321278,0.0000,1.0000
2018-06-06,6.4600,6.5600,6.3900,6.5500,6.5500,3148517,0.0000,1.0000
2018-06-05,6.7500,6.8000,6.5200,6.5200,6.5200,1467490,0.0000,1.0000
2018-06-04,6.8100,6.8600,6.7000,6.8400,6.8400,2194346,0.0000,1.0000
2018-06-01,6.9200,6.9800,6.6850,6.7300,6.7300,1796693,0.0000,1.0000
2018-05-31,6.9700,6.9800,6.8430,6.8700,6.8700,851578,0.0000,1.0000
2018-05-30,7.0000,7.0300,6.8400,6.9100,6.9100,2197517,0.0000,1.0000
2018-05-29,6.9200,7.0150,6.8800,6.9200,6.9200,1423586,0.0000,1.0000
2018-05-25,7.1800,7.3500,7.0800,7.1100,7.1100,2310879,0.0000,1.0000
2018-05-24,7.1100,7.1300,7.0400,7.1100,7.1100,1505455,0.0000,1.0000
2018-05-23,7.1900,7.2052,7.0600,7.1700,7.1700,1934089,0.0000,1.0000
2018-05-22,7.1100,7.2650,7.0401,7.1700,7.1700,2198653,0.0000,1.0000
2018-05-21,7.1300,7.1350,6.9000,7.0100,7.0100,2327024,0.0000,1.0000
2018-05-18,7.1000,7.1700,6.9800,7.0600,7.0600,5609516,0.0000,1.0000
2018-05-17,7.5100,7.5500,7.3400,7.4600,7.4600,3430148,0.0000,1.0000
2018-05-16,7.5100,7.6000,7.4500,7.5400,7.5400,2305284,0.0000,1.0000
2018-05-15,7.6600,7.7200,7.3800,7.5800,7.5800,5808274,0.0000,1.0000
2018-05-14,8.1200,8.1900,7.6600,7.7300,7.7300,4755975,0.0000,1.0000
2018-05-11,8.5900,8.6300,7.9600,8.0300,8.0300,3523825,0.0000,1.0000
2018-05-10,8.8000,8.8200,8.5400,8.5800,8.5800,2997091,0.0000,1.0000
2018-05-09,9.1600,9.2050,9.0500,9.0800,9.0800,1588471,0.0000,1.0000
2018-05-08,9.3100,9.3100,9.0200,9.1700,9.1700,1129207,0.0000,1.0000
2018-05-07,9.2000,9.2550,9.1100,9.1200,9.1200,1471057,0.0000,1.0000
2018-05-04,9.5200,9.6600,9.4800,9.5900,9.5900,1733472,0.0000,1.0000
2018-05-03,9.6700,9.7050,9.4600,9.6100,9.6100,1070266,0.0000,1.0000
2018-05-02,9.7400,9.8800,9.6000,9.7400,9.7400,1984780,0.0000,1.0000
2018-05-01,9.9700,9.9800,9.7800,9.9500,9.9500,1383276,0.0000,1.0000
2018-04-30,9.9500,10.1600,9.9500,9.9800,9.9800,1557000,0.3115,1.0000
2018-04-27,10.3000,10.3850,10.2500,10.3100,9.9980,1354490,0.0000,1.0000
2018-04-26,10.0700,10.1950,10.0200,10.1300,9.8234,1610233,0.0000,1.0000
2018-04-25,9.9300,10.0050,9.8000,10.0000,9.6974,1448058,0.0000,1.0000
2018-04-24,10.0300,10.1600,9.9000,9.9900,9.6877,1915865,0.0000,1.0000
2018-04-23,9.9800,10.0400,9.8400,10.0200,9.7168,1394579,0.0000,1.0000
2018-04-20,10.0500,10.1100,9.8800,10.0600,9.7555,1321492,0.0000,1.0000
2018-04-19,9.9700,10.1800,9.9400,10.1400,9.8331,1206420,0.0000,1.0000
2018-04-18,9.8400,10.0600,9.8400,10.0200,9.7168,1890644,0.0000,1.0000
2018-04-17,9.7600,9.8450,9.7300,9.7800,9.4840,1579833,0.0000,1.0000
2018-04-16,9.9400,9.9500,9.7100,9.7400,9.4452,1554398,0.0000,1.0000
2018-04-13,9.9000,9.9350,9.7710,9.9100,9.6101,1522032,0.0000,1.0000
2018-04-12,9.9900,10.0500,9.8700,9.9100,9.6101,1360647,0.0000,1.0000
2018-04-11,9.7200,10.1000,9.7100,10.0200,9.7168,1093918,0.0000,1.0000
2018-04-10,9.6100,9.8257,9.5100,9.7400,9.4452,1318587,0.0000,1.0000
2018-04-09,10.0500,10.0750,9.7800,9.8000,9.5034,1634007,0.0000,1.0000
2018-04-06,10.2200,10.2400,10.0000,10.0400,9.7361,1374924,0.0000,1.0000
2018-04-05,10.2600,10.2900,10.0500,10.2800,9.9689,2123817,0.0000,1.0000
2018-04-04,10.0900,10.2100,10.0000,10.1400,9.8331,1842061,0.0000,1.0000
2018-04-03,10.4900,10.5200,10.3575,10.4300,10.1143,1244895,0.0000,1.0000
2018-04-02,10.4700,10.4900,10.2700,10.3100,9.9980,1263676,0.0000,1.0000
2018-03-29,10.3400,10.6300,10.2400,10.5900,10.2695,2814709,0.0000,1.0000
2018-03-28,10.5000,10.5200,10.0950,10.3200,10.0077,2502512,0.0000,1.0000
2018-03-27,10.8000,10.8600,10.5450,10.5700,10.2501,5202933,0.0000,1.0000
2018-03-26,11.5200,11.6200,11.4200,11.6100,11.2586,1142783,0.0000,1.0000
2018-03-23,11.5700,11.6400,11.3300,11.3700,11.0259,1480323,0.0000,1.0000
2018-03-22,11.8700,11.8700,11.5200,11.5400,11.1907,1776412,0.0000,1.0000
2018-03-21,11.5200,11.8000,11.5000,11.7800,11.4235,2522465,0.0000,1.0000
2018-03-20,11.6500,11.6600,11.3900,11.4600,11.1132,1173699,0.0000,1.0000
2018-03-19,11.6700,11.8500,11.5100,11.6700,11.3168,1618694,0.0000,1.0000
2018-03-16,11.4700,11.5700,11.3410,11.5400,11.1907,4874050,0.0000,1.0000
2018-03-15,11.5600,11.6100,11.4500,11.4700,11.1229,1796594,0.0000,1.0000
2018-03-14,11.7600,11.7600,11.6000,11.6700,11.3168,1176491,0.0000,1.0000
2018-03-13,11.6200,11.7800,11.5700,11.6700,11.3168,2059856,0.0000,1.0000
2018-03-12,11.7100,11.7300,11.4250,11.6100,11.2586,2738625,0.0000,1.0000
2018-03-09,11.7100,11.8700,11.6450,11.6700,11.3168,1736022,0.0000,1.0000
2018-03-08,11.5700,11.5900,11.3700,11.5000,11.1520,1592553,0.0000,1.0000
2018-03-07,11.6500,11.6600,11.4100,11.5700,11.2198,1578022,0.0000,1.0000
2018-03-06,11.7000,11.8650,11.6000,11.6500,11.2974,2152524,0.0000,1.0000
2018-03-05,11.5300,11.7200,11.4650,11.5700,11.2198,2828844,0.0000,1.0000
2018-03-02,11.6600,11.6800,11.3900,11.5000,11.1520,3723171,0.0000,1.0000
2018-03-01,11.7000,11.9600,11.6276,11.6900,11.3362,2647403,0.0000,1.0000
2018-02-28,11.9400,11.9400,11.5100,11.5200,11.1714,1459852,0.0000,1.0000
2018-02-27,11.6800,11.8750,11.4800,11.7200,11.3653,3191024,0.0000,1.0000
2018-02-26,11.5700,11.6000,11.4500,11.5000,11.1520,1189604,0.0000,1.0000
2018-02-23,11.3100,11.5200,11.2700,11.5000,11.1520,1332417,0.0000,1.0000
2018-02-22,11.2600,11.3000,11.1700,11.2300,10.8901,835088,0.0000,1.0000
2018-02-21,11.3500,11.4300,11.1700,11.1700,10.8319,1633851,0.0000,1.0000
2018-02-20,11.0700,11.2700,11.0200,11.1800,10.8416,1118814,0.0000,1.0000
2018-02-16,10.8800,11.1600,10.8700,11.0200,10.6865,837161,0.0000,1.0000
2018-02-15,10.9400,11.0900,10.9100,10.9800,10.6477,1021936,0.0000,1.0000
2018-02-14,10.6000,11.0900,10.5800,11.0000,10.6671,3269497,0.0000,1.0000
2018-02-13,10.5300,10.7100,10.4299,10.7000,10.3762,1340894,0.0000,1.0000
2018-02-12,10.1600,10.5200,10.1200,10.5100,10.1919,1335882,0.0000,1.0000
2018-02-09,10.2500,10.2800,9.8850,10.2000,9.8913,1387049,0.0000,1.0000
2018-02-08,10.6400,10.6500,10.1300,10.1400,9.8331,1899034,0.0000,1.0000
2018-02-07,10.7200,10.8800,10.5000,10.5000,10.1822,1107580,0.0000,1.0000
2018-02-06,10.3300,10.8200,10.3000,10.7800,10.4537,1453451,0.0000,1.0000
2018-02-05,10.8100,10.8500,10.4400,10.4700,10.1531,1425667,0.0000,1.0000
2018-02-02,11.0200,11.0700,10.9250,10.9600,10.6283,1039282,0.0000,1.0000
2018-02-01,11.6000,11.6900,11.3800,11.3800,11.0356,1401414,0.0000,1.0000
2018-01-31,11.6300,11.6599,11.2300,11.3400,10.9968,2068041,0.0000,1.0000
2018-01-30,11.4200,11.5350,11.3250,11.4700,11.1229,1032500,0.0000,1.0000
2018-01-29,11.4000,11.5500,11.2900,11.4200,11.0744,1077607,0.0000,1.0000
2018-01-26,11.2600,11.4700,11.1950,11.4700,11.1229,1781455,0.0000,1.0000
2018-01-25,11.3900,11.5900,11.2100,11.3500,11.0065,1723859,0.0000,1.0000
2018-01-24,11.1100,11.3900,10.8750,11.3500,11.0065,3955485,0.0000,1.0000
2018-01-23,10.8600,10.9900,10.7450,10.8500,10.5216,835063,0.0000,1.0000
2018-01-22,11.0900,11.1300,10.9750,11.0300,10.6962,910927,0.0000,1.0000
2018-01-19,11.1300,11.1300,10.9950,11.0300,10.6962,1179728,0.0000,1.0000
2018-01-18,11.0500,11.1000,10.8900,10.9000,10.5701,1386015,0.0000,1.0000
2018-01-17,10.9300,11.1050,10.8150,11.0100,10.6768,2245991,0.0000,1.0000
2018-01-16,10.4800,10.6100,10.4601,10.5200,10.2016,1023148,0.0000,1.0000
2018-01-12,10.3700,10.5900,10.3600,10.5100,10.1919,863744,0.0000,1.0000
2018-01-11,10.3200,10.4700,10.2650,10.4500,10.1337,1341757,0.0000,1.0000
2018-01-10,10.3000,10.4000,10.2250,10.2300,9.9204,697235,0.0000,1.0000
2018-01-09,10.4400,10.4900,10.3350,10.3800,10.0659,766252,0.0000,1.0000
2018-01-08,10.3400,10.5950,10.3100,10.5600,10.2404,891599,0.0000,1.0000
2018-01-05,10.2900,10.4500,10.2500,10.4000,10.0853,814732,0.0000,1.0000
2018-01-04,10.4700,10.5100,10.2150,10.2400,9.9301,1676512,0.0000,1.0000
