timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-05,6.3500,6.4500,6.2600,6.4100,6.4100,1243020,0.0000,1.0000
2018-07-03,6.3500,6.4150,6.2600,6.3200,6.3200,810086,0.0000,1.0000
2018-07-02,6.1900,6.4100,6.1100,6.3500,6.3500,2093602,0.0000,1.0000
2018-06-29,6.7100,6.7650,6.1500,6.2400,6.2400,3919981,0.0000,1.0000
2018-06-28,6.7900,6.8600,6.6300,6.6700,6.6700,2646608,0.0000,1.0000
2018-06-27,6.9700,7.0400,6.7950,6.8100,6.8100,1928826,0.0000,1.0000
2018-06-26,6.7000,7.0100,6.6600,6.9900,6.9900,2223331,0.0000,1.0000
2018-06-25,7.0300,7.1000,6.6250,6.7000,6.7000,2427256,0.0000,1.0000
2018-06-22,7.1100,7.1800,6.8900,7.0100,7.0100,3473699,0.0000,1.0000
2018-06-21,7.2800,7.3400,7.0600,7.0700,7.0700,2400842,0.0000,1.0000
2018-06-20,7.1700,7.3150,7.1100,7.2800,7.2800,2061359,0.0000,1.0000
2018-06-19,7.1700,7.2369,7.0901,7.1800,7.1800,2606453,0.0000,1.0000
2018-06-18,7.1000,7.2000,6.9200,7.2000,7.2000,2241853,0.0000,1.0000
2018-06-15,7.2400,7.4199,7.0000,7.1300,7.1300,7301846,0.0000,1.0000
2018-06-14,6.8100,6.9500,6.7000,6.8800,6.8800,2279470,0.0000,1.0000
2018-06-13,7.0200,7.0500,6.7700,6.7800,6.7800,3215966,0.0000,1.0000
2018-06-12,7.1100,7.2500,6.9800,6.9900,6.9900,3424836,0.0000,1.0000
2018-06-11,7.4000,7.5100,6.8900,7.0400,7.0400,3651225,0.0000,1.0000
2018-06-08,7.3300,7.6600,7.2800,7.4200,7.4200,4796374,0.0000,1.0000
2018-06-07,7.1900,7.4000,6.9450,7.3800,7.3800,5855227,0.0000,1.0000
2018-06-06,6.6000,7.3100,6.5500,7.1900,7.1900,9975069,0.0000,1.0000
2018-06-05,5.8700,6.6500,5.8700,6.5900,6.5900,8333635,0.0000,1.0000
2018-06-04,5.9000,6.0300,5.7600,5.8200,5.8200,3121830,0.0000,1.0000
2018-06-01,5.9000,5.9300,5.6700,5.8500,5.8500,4002284,0.0000,1.0000
2018-05-31,6.0700,6.0700,5.7150,5.9100,5.9100,5692425,0.0000,1.0000
2018-05-30,6.7000,6.8200,5.8500,6.0600,6.0600,18067248,0.0000,1.0000
2018-05-29,6.5800,6.5900,6.2400,6.4300,6.4300,5302242,0.0000,1.0000
2018-05-25,6.1000,6.5200,6.1000,6.4000,6.4000,4531761,0.0000,1.0000
2018-05-24,6.0200,6.1600,5.9400,6.0900,6.0900,2358236,0.0000,1.0000
2018-05-23,5.8100,6.3400,5.7300,5.9500,5.9500,7899112,0.0000,1.0000
2018-05-22,6.1900,6.1900,5.8000,5.8500,5.8500,3392867,0.0000,1.0000
2018-05-21,6.3700,6.4500,6.0900,6.1600,6.1600,2047308,0.0000,1.0000
2018-05-18,6.1200,6.3500,6.0900,6.3000,6.3000,2705792,0.0000,1.0000
2018-05-17,5.9400,6.1300,5.9000,6.1000,6.1000,2346686,0.0000,1.0000
2018-05-16,6.0000,6.0100,5.8800,5.9200,5.9200,1319840,0.0000,1.0000
2018-05-15,5.9200,6.0558,5.8200,5.9700,5.9700,1992813,0.0000,1.0000
2018-05-14,6.0700,6.1150,5.9100,5.9400,5.9400,1844206,0.0000,1.0000
2018-05-11,6.0200,6.0900,5.9300,6.0500,6.0500,1497874,0.0000,1.0000
2018-05-10,6.1000,6.2200,5.9400,5.9800,5.9800,2754989,0.0000,1.0000
2018-05-09,6.1800,6.2600,6.0400,6.0500,6.0500,4431003,0.0000,1.0000
2018-05-08,6.2700,6.3300,6.1500,6.1800,6.1800,3692054,0.0000,1.0000
2018-05-07,6.0100,6.3900,5.9800,6.2500,6.2500,3003502,0.0000,1.0000
2018-05-04,5.7000,6.0700,5.5500,6.0200,6.0200,2754596,0.0000,1.0000
2018-05-03,5.8500,5.9399,5.6000,5.6600,5.6600,1813701,0.0000,1.0000
2018-05-02,5.7100,5.9950,5.6700,5.8900,5.8900,2094839,0.0000,1.0000
2018-05-01,5.5100,5.8000,5.4500,5.7600,5.7600,4431300,0.0000,1.0000
2018-04-30,5.5800,5.6900,5.5000,5.5000,5.5000,2496056,0.0000,1.0000
2018-04-27,5.5900,5.6650,5.5500,5.5700,5.5700,3119386,0.0000,1.0000
2018-04-26,5.5200,5.6350,5.5200,5.5600,5.5600,2308375,0.0000,1.0000
2018-04-25,5.5900,5.6500,5.5000,5.5100,5.5100,1528168,0.0000,1.0000
2018-04-24,5.7300,5.7654,5.5700,5.6100,5.6100,1297869,0.0000,1.0000
2018-04-23,5.6900,5.7799,5.6000,5.6800,5.6800,957533,0.0000,1.0000
2018-04-20,5.8100,5.8500,5.6800,5.7100,5.7100,1253467,0.0000,1.0000
2018-04-19,5.8200,5.9362,5.7600,5.8500,5.8500,2064017,0.0000,1.0000
2018-04-18,5.7600,5.9200,5.6300,5.8200,5.8200,1942023,0.0000,1.0000
2018-04-17,5.5600,5.7400,5.5000,5.7200,5.7200,1716323,0.0000,1.0000
2018-04-16,5.5100,5.6260,5.4500,5.5300,5.5300,1534416,0.0000,1.0000
2018-04-13,5.5300,5.5600,5.3400,5.4600,5.4600,1369591,0.0000,1.0000
2018-04-12,5.7100,5.7900,5.4699,5.5400,5.5400,1872938,0.0000,1.0000
2018-04-11,5.1700,5.7000,5.1100,5.6700,5.6700,4560724,0.0000,1.0000
2018-04-10,5.0500,5.2400,4.9650,5.1700,5.1700,2679864,0.0000,1.0000
2018-04-09,5.1200,5.2000,4.9700,4.9700,4.9700,1809389,0.0000,1.0000
2018-04-06,5.0900,5.1800,5.0050,5.0600,5.0600,1796120,0.0000,1.0000
2018-04-05,5.1400,5.1925,5.0300,5.1600,5.1600,2874085,0.0000,1.0000
2018-04-04,4.8100,5.1700,4.8100,5.1400,5.1400,2292432,0.0000,1.0000
2018-04-03,4.8400,4.9300,4.7400,4.8500,4.8500,2228733,0.0000,1.0000
2018-04-02,4.8200,4.8900,4.7200,4.7900,4.7900,1895027,0.0000,1.0000
2018-03-29,5.0600,5.0900,4.8500,4.8700,4.8700,2413629,0.0000,1.0000
2018-03-28,4.7500,5.2400,4.7500,5.0500,5.0500,3898785,0.0000,1.0000
2018-03-27,5.0600,5.0600,4.6400,4.7400,4.7400,2061559,0.0000,1.0000
2018-03-26,5.0500,5.0600,4.7600,5.0200,5.0200,2624568,0.0000,1.0000
2018-03-23,5.0500,5.1400,4.9300,4.9600,4.9600,1580430,0.0000,1.0000
2018-03-22,5.1700,5.2100,5.0100,5.0100,5.0100,1533012,0.0000,1.0000
2018-03-21,5.0800,5.2200,5.0600,5.1800,5.1800,1055249,0.0000,1.0000
2018-03-20,5.1900,5.2700,5.0300,5.1000,5.1000,1011151,0.0000,1.0000
2018-03-19,5.2100,5.2300,5.1050,5.1900,5.1900,828810,0.0000,1.0000
2018-03-16,5.1400,5.2700,5.1200,5.2500,5.2500,2014343,0.0000,1.0000
2018-03-15,5.2700,5.2999,5.1400,5.1600,5.1600,1157355,0.0000,1.0000
2018-03-14,5.3100,5.3500,5.1700,5.2400,5.2400,1547929,0.0000,1.0000
2018-03-13,5.4000,5.4650,5.2600,5.2800,5.2800,1584055,0.0000,1.0000
2018-03-12,5.5500,5.5500,5.3000,5.3500,5.3500,1863297,0.0000,1.0000
2018-03-09,5.4700,5.6900,5.3700,5.4700,5.4700,5562375,0.0000,1.0000
2018-03-08,5.1700,5.4300,5.1700,5.3800,5.3800,1544087,0.0000,1.0000
2018-03-07,5.0500,5.2600,5.0200,5.1900,5.1900,1539350,0.0000,1.0000
2018-03-06,5.1900,5.1900,5.0400,5.0700,5.0700,1233432,0.0000,1.0000
2018-03-05,5.0900,5.2200,5.0100,5.2000,5.2000,1127360,0.0000,1.0000
2018-03-02,4.9600,5.1200,4.9600,5.0900,5.0900,2220425,0.0000,1.0000
2018-03-01,5.0000,5.1750,4.9700,4.9900,4.9900,2187825,0.0000,1.0000
2018-02-28,5.2700,5.2800,5.0000,5.0000,5.0000,3137517,0.0000,1.0000
2018-02-27,5.4200,5.5300,5.2500,5.2700,5.2700,1219803,0.0000,1.0000
2018-02-26,5.4400,5.4950,5.2800,5.4200,5.4200,1317397,0.0000,1.0000
2018-02-23,5.0100,5.3790,4.9600,5.3700,5.3700,1685829,0.0000,1.0000
2018-02-22,5.1200,5.2700,4.9548,5.0100,5.0100,3035196,0.0000,1.0000
2018-02-21,5.3500,5.6350,4.9000,5.1100,5.1100,3209828,0.0000,1.0000
2018-02-20,5.5200,5.5489,5.3100,5.3100,5.3100,1512605,0.0000,1.0000
2018-02-16,5.4000,5.6050,5.3900,5.5800,5.5800,1407618,0.0000,1.0000
