timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,5.0000,5.3000,4.9700,5.3000,5.3000,346068,0.0000,1.0000
2018-07-02,5.0700,5.0700,4.8700,4.9900,4.9900,346643,0.0000,1.0000
2018-06-29,5.2100,5.2150,5.0700,5.0800,5.0800,351382,0.0000,1.0000
2018-06-28,5.0000,5.2600,5.0000,5.1600,5.1600,352390,0.0000,1.0000
2018-06-27,5.1500,5.1700,4.9500,5.0300,5.0300,313002,0.0000,1.0000
2018-06-26,5.3100,5.3250,5.1600,5.1700,5.1700,641205,0.0000,1.0000
2018-06-25,5.3700,5.3700,5.2100,5.3100,5.3100,268262,0.0000,1.0000
2018-06-22,5.2500,5.4000,5.2400,5.3800,5.3800,437991,0.0000,1.0000
2018-06-21,5.4300,5.4800,5.2900,5.3100,5.3100,218577,0.0000,1.0000
2018-06-20,5.3900,5.5100,5.3600,5.4000,5.4000,327870,0.0000,1.0000
2018-06-19,5.3700,5.4150,5.2950,5.3600,5.3600,246332,0.0000,1.0000
2018-06-18,5.3900,5.4955,5.2760,5.3800,5.3800,257540,0.0000,1.0000
2018-06-15,5.4300,5.5400,5.3700,5.4200,5.4200,441630,0.0000,1.0000
2018-06-14,5.4600,5.6300,5.4300,5.4400,5.4400,326338,0.0000,1.0000
2018-06-13,5.3500,5.5500,5.3200,5.4100,5.4100,535996,0.0000,1.0000
2018-06-12,5.3200,5.4300,5.2500,5.3800,5.3800,273399,0.0000,1.0000
2018-06-11,5.3500,5.4900,5.2900,5.2900,5.2900,615016,0.0000,1.0000
2018-06-08,5.3700,5.4000,5.2100,5.3800,5.3800,399061,0.0000,1.0000
2018-06-07,5.2500,5.3300,5.1700,5.3200,5.3200,404900,0.0000,1.0000
2018-06-06,5.2000,5.3700,5.0700,5.2400,5.2400,585047,0.0000,1.0000
2018-06-05,5.3400,5.3400,5.1000,5.1300,5.1300,419579,0.0000,1.0000
2018-06-04,5.2500,5.5000,5.1600,5.3500,5.3500,637642,0.0000,1.0000
2018-06-01,5.1900,5.3000,5.1500,5.1900,5.1900,235772,0.0000,1.0000
2018-05-31,5.3900,5.3900,5.1100,5.1700,5.1700,328093,0.0000,1.0000
2018-05-30,5.3600,5.4000,5.2800,5.3500,5.3500,223897,0.0000,1.0000
2018-05-29,5.3600,5.3700,5.2050,5.2800,5.2800,416588,0.0000,1.0000
2018-05-25,5.3300,5.4500,5.3200,5.3900,5.3900,437182,0.0000,1.0000
2018-05-24,5.2400,5.3300,5.1600,5.3200,5.3200,669033,0.0000,1.0000
2018-05-23,5.3900,5.4000,5.2500,5.2800,5.2800,477914,0.0000,1.0000
2018-05-22,5.4000,5.4752,5.3501,5.3800,5.3800,359693,0.0000,1.0000
2018-05-21,5.4300,5.6100,5.4000,5.4100,5.4100,432695,0.0000,1.0000
2018-05-18,5.5100,5.5300,5.4000,5.4600,5.4600,499673,0.0000,1.0000
2018-05-17,5.6400,5.7015,5.5200,5.5500,5.5500,350017,0.0000,1.0000
2018-05-16,5.6500,5.7800,5.5800,5.6600,5.6600,775272,0.0000,1.0000
2018-05-15,5.5700,5.6900,5.4700,5.6700,5.6700,383607,0.0000,1.0000
2018-05-14,5.6700,5.6800,5.5500,5.6300,5.6300,311326,0.0000,1.0000
2018-05-11,5.7000,5.7600,5.5800,5.6700,5.6700,363589,0.0000,1.0000
2018-05-10,5.6600,5.8200,5.6100,5.7000,5.7000,698556,0.0000,1.0000
2018-05-09,5.7400,5.8100,5.5300,5.6400,5.6400,1096935,0.0000,1.0000
2018-05-08,5.6400,5.7600,5.4810,5.7100,5.7100,677307,0.0000,1.0000
2018-05-07,5.8100,5.9000,5.5400,5.5900,5.5900,1504104,0.0000,1.0000
2018-05-04,5.9000,5.9500,5.7300,5.8500,5.8500,815908,0.0000,1.0000
2018-05-03,6.0700,6.1500,5.9400,5.9600,5.9600,630691,0.0000,1.0000
2018-05-02,6.0200,6.1500,5.9300,6.0800,6.0800,737749,0.0000,1.0000
2018-05-01,6.2500,6.3000,6.0100,6.0600,6.0600,526201,0.0000,1.0000
2018-04-30,6.1200,6.2700,6.0500,6.2400,6.2400,821755,0.0000,1.0000
2018-04-27,6.0400,6.1900,5.9900,6.1100,6.1100,573476,0.0000,1.0000
2018-04-26,5.9600,6.0701,5.8100,6.0300,6.0300,831167,0.0000,1.0000
2018-04-25,5.9500,6.0300,5.6550,5.8300,5.8300,1147039,0.0000,1.0000
2018-04-24,6.0800,6.3700,5.9500,5.9800,5.9800,1617172,0.0000,1.0000
2018-04-23,6.9000,6.9100,5.5850,5.7500,5.7500,4350568,0.0000,1.0000
2018-04-20,8.3800,8.4650,7.0000,7.0100,7.0100,2191365,0.0000,1.0000
2018-04-19,8.9400,9.0100,8.6700,8.7300,8.7300,449251,0.0000,1.0000
2018-04-18,8.7400,9.1100,8.7400,8.9400,8.9400,697093,0.0000,1.0000
2018-04-17,8.8800,9.0000,8.6701,8.7500,8.7500,609720,0.0000,1.0000
2018-04-16,8.8100,8.9500,8.7200,8.8300,8.8300,474155,0.0000,1.0000
2018-04-13,8.8600,8.8900,8.5600,8.7500,8.7500,416093,0.0000,1.0000
2018-04-12,8.7400,8.9250,8.6400,8.7200,8.7200,457872,0.0000,1.0000
2018-04-11,8.8100,9.0000,8.7000,8.7200,8.7200,496378,0.0000,1.0000
2018-04-10,8.8700,9.0300,8.8700,8.9200,8.9200,488446,0.0000,1.0000
2018-04-09,8.6500,8.9500,8.5400,8.8800,8.8800,565634,0.0000,1.0000
2018-04-06,8.7700,8.7700,8.5000,8.6400,8.6400,408818,0.0000,1.0000
2018-04-05,8.5600,8.9210,8.5600,8.7600,8.7600,692892,0.0000,1.0000
2018-04-04,8.3300,8.5000,8.2300,8.4900,8.4900,749519,0.0000,1.0000
2018-04-03,8.1600,8.4100,8.0799,8.3500,8.3500,930953,0.0000,1.0000
2018-04-02,8.1000,8.2900,7.9650,8.1200,8.1200,464443,0.0000,1.0000
2018-03-29,8.0000,8.1700,7.9900,8.1500,8.1500,337925,0.0000,1.0000
