timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,70.4800,70.4800,66.6000,66.7300,66.7300,1250640,0.0000,1.0000
2018-07-02,66.8500,69.7900,66.8500,69.7200,69.7200,919126,0.0000,1.0000
2018-06-29,68.1700,70.1900,68.0000,69.3400,69.3400,1206941,0.0000,1.0000
2018-06-28,66.5200,68.4000,65.7800,67.5600,67.5600,1609534,0.0000,1.0000
2018-06-27,73.0000,73.1600,67.0200,67.0900,67.0900,2524632,0.0000,1.0000
2018-06-26,71.9900,73.9100,70.8800,72.3200,72.3200,1491960,0.0000,1.0000
2018-06-25,77.0000,77.6700,69.9200,70.5600,70.5600,2512355,0.0000,1.0000
2018-06-22,78.7700,78.9500,76.5000,78.3300,78.3300,956549,0.0000,1.0000
2018-06-21,79.0400,79.8200,78.0700,78.7100,78.7100,1014309,0.0000,1.0000
2018-06-20,79.9600,79.9800,78.9700,79.3500,79.3500,652052,0.0000,1.0000
2018-06-19,78.3600,79.2050,76.5100,78.8600,78.8600,1471641,0.0000,1.0000
2018-06-18,79.6600,80.9200,78.4800,80.8200,80.8200,1144668,0.0000,1.0000
2018-06-15,80.3700,80.9900,78.7300,80.5400,80.5400,1568390,0.0000,1.0000
2018-06-14,80.4600,81.7900,80.0000,81.2000,81.2000,707617,0.0000,1.0000
2018-06-13,81.1200,82.3000,79.7700,79.8400,79.8400,1160678,0.0000,1.0000
2018-06-12,79.3300,81.2500,78.7900,80.7200,80.7200,1057840,0.0000,1.0000
2018-06-11,80.0000,80.6800,78.0200,78.7300,78.7300,1262688,0.0000,1.0000
2018-06-08,80.8600,81.2400,79.6480,79.9100,79.9100,1399260,0.0000,1.0000
2018-06-07,82.8700,83.2510,80.7478,81.6300,81.6300,1022769,0.0000,1.0000
2018-06-06,83.8200,84.4600,82.3200,83.2000,83.2000,1057711,0.0000,1.0000
2018-06-05,84.0000,84.6600,83.1500,83.5300,83.5300,797457,0.0000,1.0000
2018-06-04,82.7300,84.7800,82.4910,83.8200,83.8200,1398694,0.0000,1.0000
2018-06-01,82.0400,83.5700,81.3800,82.5500,82.5500,1500488,0.0000,1.0000
2018-05-31,79.9200,81.9100,79.8600,81.2200,81.2200,1521847,0.0000,1.0000
2018-05-30,79.3500,80.4700,78.3100,79.8300,79.8300,1268689,0.0000,1.0000
2018-05-29,79.0700,81.1900,77.7600,79.0800,79.0800,1219377,0.0000,1.0000
2018-05-25,81.6500,82.2500,80.3300,80.4700,80.4700,959251,0.0000,1.0000
2018-05-24,82.2600,85.4200,76.7500,81.0000,81.0000,3041743,0.0000,1.0000
2018-05-23,82.5000,84.7600,82.5000,84.5500,84.5500,1112227,0.0000,1.0000
2018-05-22,84.1300,84.9900,82.4400,83.2000,83.2000,733013,0.0000,1.0000
2018-05-21,84.1800,86.2000,83.6300,84.0100,84.0100,833158,0.0000,1.0000
2018-05-18,84.6100,84.6400,81.4800,83.1600,83.1600,1535755,0.0000,1.0000
2018-05-17,86.3500,87.0300,85.0500,85.3200,85.3200,517035,0.0000,1.0000
2018-05-16,85.8300,87.4700,85.6300,87.3200,87.3200,394369,0.0000,1.0000
2018-05-15,87.5200,87.9000,84.3400,85.7800,85.7800,851784,0.0000,1.0000
2018-05-14,88.3500,89.5100,87.7400,88.3500,88.3500,561157,0.0000,1.0000
2018-05-11,88.0500,88.5900,87.1800,87.8400,87.8400,481807,0.0000,1.0000
2018-05-10,89.0000,89.4800,87.8500,88.0000,88.0000,566082,0.0000,1.0000
2018-05-09,88.9800,89.0800,87.3200,88.6900,88.6900,714288,0.0000,1.0000
2018-05-08,89.0000,89.4600,88.0000,88.2900,88.2900,467611,0.0000,1.0000
2018-05-07,88.9900,89.9000,88.5100,89.0000,89.0000,995523,0.0000,1.0000
2018-05-04,86.1500,88.3900,85.8700,87.7900,87.7900,495567,0.0000,1.0000
2018-05-03,87.6300,88.3900,85.3300,86.5800,86.5800,977426,0.0000,1.0000
2018-05-02,88.5000,89.2600,86.8000,88.0500,88.0500,941155,0.0000,1.0000
2018-05-01,87.0500,88.9350,86.5000,88.6300,88.6300,803885,0.0000,1.0000
2018-04-30,84.0700,88.3000,83.6900,87.3900,87.3900,1779028,0.0000,1.0000
2018-04-27,84.4800,84.7900,83.2700,84.1100,84.1100,532030,0.0000,1.0000
2018-04-26,81.4600,83.6600,80.8700,83.1800,83.1800,734899,0.0000,1.0000
2018-04-25,81.0000,81.7800,78.7318,80.5200,80.5200,737623,0.0000,1.0000
2018-04-24,84.6500,85.5000,79.3400,81.1200,81.1200,1656818,0.0000,1.0000
2018-04-23,83.8800,84.9900,82.6300,84.0700,84.0700,913879,0.0000,1.0000
2018-04-20,83.8900,84.6600,83.5300,84.0300,84.0300,1010118,0.0000,1.0000
2018-04-19,83.8000,85.0000,83.4900,84.6500,84.6500,1074856,0.0000,1.0000
2018-04-18,82.9500,84.1500,82.0700,83.7100,83.7100,592807,0.0000,1.0000
2018-04-17,79.9900,83.4600,79.7100,82.8800,82.8800,873333,0.0000,1.0000
2018-04-16,79.6600,80.6200,78.4150,79.6800,79.6800,403444,0.0000,1.0000
2018-04-13,81.7900,82.1750,78.0200,79.8600,79.8600,895880,0.0000,1.0000
2018-04-12,82.0000,83.1999,81.7300,82.0300,82.0300,1006758,0.0000,1.0000
2018-04-11,79.2300,82.7500,79.2100,81.4700,81.4700,855482,0.0000,1.0000
2018-04-10,79.5800,79.9300,78.1000,79.7000,79.7000,523810,0.0000,1.0000
2018-04-09,77.7400,79.9400,77.3400,77.5700,77.5700,478616,0.0000,1.0000
2018-04-06,76.9000,78.8200,76.4600,76.9700,76.9700,439363,0.0000,1.0000
2018-04-05,78.8600,80.3400,77.6200,78.1600,78.1600,419138,0.0000,1.0000
2018-04-04,75.0000,78.1000,74.5000,78.0700,78.0700,615775,0.0000,1.0000
2018-04-03,77.7000,78.0937,76.2600,76.8800,76.8800,492594,0.0000,1.0000
2018-04-02,79.5800,79.7000,75.5950,77.0200,77.0200,973728,0.0000,1.0000
2018-03-29,77.9000,80.7600,77.9000,79.8600,79.8600,724100,0.0000,1.0000
2018-03-28,78.7700,79.9700,76.8200,77.6000,77.6000,859532,0.0000,1.0000
2018-03-27,83.9500,84.2300,78.6800,79.3500,79.3500,825731,0.0000,1.0000
2018-03-26,82.4100,84.3200,80.7400,82.6100,82.6100,875431,0.0000,1.0000
2018-03-23,81.6500,83.1200,80.0600,80.2200,80.2200,1150539,0.0000,1.0000
2018-03-22,82.3700,83.9900,80.3900,81.9000,81.9000,1436321,0.0000,1.0000
2018-03-21,84.7300,85.9900,82.8820,84.5100,84.5100,1344050,0.0000,1.0000
2018-03-20,81.8000,85.7700,81.3350,85.1600,85.1600,1507314,0.0000,1.0000
2018-03-19,82.7100,82.8200,79.8216,80.6100,80.6100,966124,0.0000,1.0000
2018-03-16,83.1300,84.5200,82.3100,83.9300,83.9300,2673977,0.0000,1.0000
2018-03-15,81.3200,83.8000,80.0100,83.4000,83.4000,1597910,0.0000,1.0000
2018-03-14,79.2400,81.4800,79.1800,80.4600,80.4600,891164,0.0000,1.0000
2018-03-13,81.3500,81.9300,77.6500,78.8200,78.8200,914804,0.0000,1.0000
2018-03-12,82.8500,83.9100,80.3000,81.2600,81.2600,1406097,0.0000,1.0000
2018-03-09,78.7300,83.0000,78.6600,82.8100,82.8100,2387979,0.0000,1.0000
2018-03-08,80.0000,81.5000,74.1800,76.8500,76.8500,2870506,0.0000,1.0000
2018-03-07,75.8300,77.4800,75.1900,77.1100,77.1100,1364228,0.0000,1.0000
2018-03-06,77.7900,79.0000,76.3800,76.7000,76.7000,723148,0.0000,1.0000
2018-03-05,76.0500,76.8000,73.3000,76.1300,76.1300,836402,0.0000,1.0000
2018-03-02,72.0000,77.3400,71.1400,76.7900,76.7900,896756,0.0000,1.0000
2018-03-01,75.3800,75.6600,73.0319,74.4400,74.4400,727252,0.0000,1.0000
2018-02-28,75.7600,76.0600,73.6000,75.3700,75.3700,1054168,0.0000,1.0000
2018-02-27,76.2000,77.6000,73.8400,75.4300,75.4300,779200,0.0000,1.0000
2018-02-26,80.1000,80.5554,76.0600,77.8000,77.8000,858931,0.0000,1.0000
2018-02-23,77.6500,79.9600,77.2200,79.1800,79.1800,877240,0.0000,1.0000
2018-02-22,78.5000,79.3700,76.6900,77.9200,77.9200,921315,0.0000,1.0000
2018-02-21,78.4700,80.4600,77.9700,78.8200,78.8200,890055,0.0000,1.0000
2018-02-20,77.5400,78.9500,77.1001,77.6400,77.6400,530394,0.0000,1.0000
2018-02-16,78.3900,79.3100,77.3450,78.2600,78.2600,566389,0.0000,1.0000
2018-02-15,78.5100,79.7900,76.5600,78.9900,78.9900,1033943,0.0000,1.0000
2018-02-14,72.6600,77.5000,72.6500,77.2400,77.2400,1431281,0.0000,1.0000
2018-02-13,71.1100,72.9700,70.5900,72.6600,72.6600,621664,0.0000,1.0000
2018-02-12,73.1200,73.4800,69.2600,71.1800,71.1800,953799,0.0000,1.0000
2018-02-09,68.5100,71.7498,67.0856,71.3500,71.3500,1729295,0.0000,1.0000
2018-02-08,70.4300,71.5050,67.3500,67.8200,67.8200,1512164,0.0000,1.0000
2018-02-07,73.1300,73.8300,70.4300,70.5900,70.5900,974322,0.0000,1.0000
2018-02-06,69.7000,73.8000,69.3400,73.1200,73.1200,1479087,0.0000,1.0000
2018-02-05,72.7800,74.7899,71.6500,71.6600,71.6600,1671512,0.0000,1.0000
2018-02-02,75.8100,75.8382,72.0700,73.3600,73.3600,1555238,0.0000,1.0000
2018-02-01,79.0000,79.3100,76.5000,76.8400,76.8400,1314996,0.0000,1.0000
2018-01-31,80.5000,81.9200,79.5650,79.8800,79.8800,1093899,0.0000,1.0000
2018-01-30,82.0000,82.5400,78.2400,79.2900,79.2900,2082528,0.0000,1.0000
2018-01-29,87.2200,87.6500,83.6000,84.0500,84.0500,1183284,0.0000,1.0000
2018-01-26,84.1100,87.1500,84.1100,86.0600,86.0600,1325382,0.0000,1.0000
2018-01-25,84.5600,85.2822,83.7050,84.3700,84.3700,714272,0.0000,1.0000
2018-01-24,83.7000,85.4000,81.8000,83.6200,83.6200,782005,0.0000,1.0000
2018-01-23,80.1800,83.5400,79.4100,83.1200,83.1200,968696,0.0000,1.0000
2018-01-22,80.3400,80.6900,79.0200,80.1800,80.1800,530652,0.0000,1.0000
2018-01-19,80.7000,81.5200,79.5200,80.1300,80.1300,774349,0.0000,1.0000
2018-01-18,81.5600,82.6699,80.0100,80.6300,80.6300,783555,0.0000,1.0000
2018-01-17,80.6000,82.0400,79.5700,81.3300,81.3300,734928,0.0000,1.0000
2018-01-16,82.4200,83.1400,79.1000,79.9900,79.9900,807299,0.0000,1.0000
2018-01-12,81.3700,82.6792,80.5700,81.9800,81.9800,1183620,0.0000,1.0000
2018-01-11,83.4600,83.6900,81.0600,81.8700,81.8700,847175,0.0000,1.0000
2018-01-10,83.7000,83.7600,80.1800,83.3000,83.3000,1266857,0.0000,1.0000
2018-01-09,83.3000,85.0400,83.0001,84.9100,84.9100,1214642,0.0000,1.0000
2018-01-08,80.0000,84.0000,79.5900,83.2800,83.2800,1600717,0.0000,1.0000
2018-01-05,78.7800,81.1600,78.7200,79.5700,79.5700,1591815,0.0000,1.0000
2018-01-04,77.6900,79.1600,76.6995,78.0000,78.0000,1243640,0.0000,1.0000
2018-01-03,77.1300,78.4100,76.1200,76.6100,76.6100,656865,0.0000,1.0000
2018-01-02,72.9900,77.1600,72.8700,76.2600,76.2600,1756286,0.0000,1.0000
2017-12-29,71.8200,72.0800,70.9700,71.5700,71.5700,276572,0.0000,1.0000
2017-12-28,71.9600,72.9600,71.4900,71.5900,71.5900,302850,0.0000,1.0000
2017-12-27,70.6300,72.2700,69.7100,71.8600,71.8600,362178,0.0000,1.0000
2017-12-26,69.9900,70.5547,69.5200,70.0900,70.0900,238487,0.0000,1.0000
2017-12-22,69.8400,70.7021,69.2500,70.3800,70.3800,385384,0.0000,1.0000
2017-12-21,71.3950,71.9800,70.3700,70.5800,70.5800,660888,0.0000,1.0000
2017-12-20,69.9300,71.2000,68.8200,70.9000,70.9000,509114,0.0000,1.0000
2017-12-19,72.2700,72.7300,70.7500,70.9200,70.9200,760958,0.0000,1.0000
2017-12-18,68.8250,72.0000,68.1800,71.6900,71.6900,894495,0.0000,1.0000
