timestamp,open,high,low,close,adjusted close,volume,dividend amount
2018-07-10,7.1490,7.1490,6.9500,6.9500,6.9500,9417,0.0000
2018-07-06,7.1000,7.3485,7.0000,7.1000,7.1000,13444,0.0000
2018-06-29,7.5500,7.5500,7.0000,7.1000,7.1000,38029,0.0000
2018-06-22,7.8000,7.8000,7.3000,7.3500,7.3500,12164,0.0000
2018-06-15,7.9500,7.9500,7.5500,7.6000,7.6000,26999,0.0000
2018-06-08,7.9500,7.9500,7.5500,7.9000,7.9000,62016,0.0000
2018-06-01,7.5000,7.9500,7.5000,7.9500,7.9500,67370,0.0000
2018-05-25,7.6000,7.9000,7.2501,7.6500,7.6500,141281,0.0000
2018-05-18,8.2500,8.2500,7.1000,7.6000,7.6000,72209,0.0000
2018-05-11,6.7838,7.3000,6.6800,7.2000,7.2000,37619,0.0000
2018-05-04,6.8450,6.9500,6.6500,6.7500,6.7500,11570,0.0000
2018-04-27,6.8500,6.9500,6.6500,6.8450,6.8450,7700,0.0000
2018-04-20,6.8000,6.8500,6.6000,6.8099,6.8099,8255,0.0000
2018-04-13,6.9000,7.1000,6.6000,6.8000,6.8000,31732,0.0000
2018-04-06,6.6000,7.3042,6.6000,6.8500,6.8500,25414,0.0000
2018-03-29,7.0100,7.2500,6.6000,7.1500,7.1500,14509,0.0000
2018-03-23,6.7838,7.3000,6.7838,7.1500,7.1500,17843,0.0000
2018-03-16,6.9500,7.3000,6.8000,7.2500,7.2500,36496,0.0000
2018-03-09,6.8500,7.0500,6.6600,6.8500,6.8500,9536,0.0000
2018-03-02,6.8000,6.8500,6.6000,6.7500,6.7500,18871,0.0000
2018-02-23,7.1000,7.1000,6.5999,6.6500,6.6500,26996,0.0000
2018-02-16,7.0500,7.1500,6.9000,7.1000,7.1000,20355,0.0000
2018-02-09,6.7000,7.2500,6.6000,7.0000,7.0000,45767,0.0000
2018-02-02,6.9500,7.0450,6.5511,6.7500,6.7500,25857,0.0000
2018-01-26,7.0500,7.0500,6.6443,7.0500,7.0500,15378,0.0000
2018-01-19,7.1500,7.1515,6.7802,6.9500,6.9500,26100,0.0000
2018-01-12,7.2541,7.2999,6.8912,7.0500,7.0500,42972,0.0000
2018-01-05,7.2000,7.4500,7.1000,7.2085,7.2085,11598,0.0000
2017-12-29,7.2500,7.3000,7.0759,7.2499,7.2499,9354,0.0000
2017-12-22,7.2500,7.3498,7.0140,7.3000,7.3000,15216,0.0000
2017-12-15,7.3000,7.4500,6.8500,7.2000,7.2000,42237,0.0000
2017-12-08,7.3500,7.4500,7.1100,7.3000,7.3000,16023,0.0000
2017-12-01,7.2000,7.5500,7.1452,7.3500,7.3500,21482,0.0000
2017-11-24,7.4500,7.7500,7.0000,7.2500,7.2500,79147,0.0000
2017-11-17,7.0610,7.4000,6.9500,7.4000,7.4000,106442,0.0000
2017-11-10,7.1000,7.1500,6.9500,7.0000,7.0000,26564,0.0000
2017-11-03,7.1500,7.2360,7.0000,7.1750,7.1750,19261,0.0000
2017-10-27,7.3500,7.3700,7.0360,7.1190,7.1190,16322,0.0000
2017-10-20,7.3000,7.6500,7.3000,7.4650,7.4650,16719,0.0000
2017-10-13,7.7000,7.7000,7.3150,7.3510,7.3510,13202,0.0000
2017-10-06,7.7500,7.7500,7.6370,7.7000,7.7000,15278,0.0000
2017-09-29,7.6650,8.0000,7.4730,7.6980,7.6980,19405,0.0000
2017-09-22,7.9490,8.0160,7.4500,7.7500,7.7500,14979,0.0000
2017-09-15,7.3500,8.1500,7.3222,8.0500,8.0500,33460,0.0000
2017-09-08,7.6000,7.6000,7.1220,7.3890,7.3890,33481,0.0000
2017-09-01,7.9500,7.9510,7.4500,7.6000,7.6000,26749,0.0000
2017-08-25,8.2500,8.2500,7.9000,8.0000,8.0000,82354,0.0000
2017-08-18,7.0500,8.2000,7.0500,8.2000,8.2000,159759,0.0000
2017-08-11,7.3000,7.3000,6.8500,7.1000,7.1000,18125,0.0000
2017-08-04,7.6820,7.7000,7.3000,7.3110,7.3110,8023,0.0000
2017-07-28,7.9000,7.9000,7.4000,7.7000,7.7000,42776,0.0000
2017-07-21,7.5390,8.0000,7.5390,7.8500,7.8500,38278,0.0000
2017-07-14,7.8500,7.9500,7.5950,7.8000,7.8000,36483,0.0000
